iem_abbr	orpha_code	orpha_name	hpo_id	hpo_term	frequency	metabolite_parsed	biofluid	direction
AGAT	35704	L-Arginine:glycine amidinotransferase deficiency	HP:0012101	Decreased serum creatinine	Frequent (79-30%)	creatinine	blood	Decreased
AGAT	35704	L-Arginine:glycine amidinotransferase deficiency	HP:0034292	Reduced circulating creatine concentration	Frequent (79-30%)	creatine	blood	Decreased
AGAT	35704	L-Arginine:glycine amidinotransferase deficiency	HP:0034597	Decreased CSF creatinine concentration	Frequent (79-30%)	creatinine	csf	Decreased
AGAT	35704	L-Arginine:glycine amidinotransferase deficiency	HP:6000115	Decreased urine creatinine level	Frequent (79-30%)	creatinine	urine	Decreased
ARG	90	Argininemia	HP:0001987	Hyperammonemia	Frequent (79-30%)	ammonia	blood	Increased
ARG	90	Argininemia	HP:0008339	Diaminoaciduria	Very frequent (99-80%)	diamino acid	urine	Increased
CPS1	147	Carbamoyl-phosphate synthetase 1 deficiency	HP:0001987	Hyperammonemia	Very frequent (99-80%)	ammonia	blood	Increased
CPS1	147	Carbamoyl-phosphate synthetase 1 deficiency	HP:0003355	Aminoaciduria	Very frequent (99-80%)	amino acid	urine	Increased
CPS1	147	Carbamoyl-phosphate synthetase 1 deficiency	HP:0005961	Hypoargininemia	Very frequent (99-80%)	arginin	blood	Decreased
3MGA	67046	3-methylglutaconic aciduria type 1	HP:0001943	Hypoglycemia	Occasional (29-5%)	glucose	blood	Decreased
AADC	35708	Aromatic L-amino acid decarboxylase deficiency	HP:0003785	Decreased CSF homovanillic acid concentration	Very frequent (99-80%)	homovanillic acid	csf	Decreased
AADC	35708	Aromatic L-amino acid decarboxylase deficiency	HP:0025455	Decreased CSF 5-hydroxyindolacetic acid concentration	Very frequent (99-80%)	5-hydroxyindolacetic acid	csf	Decreased
AADC	35708	Aromatic L-amino acid decarboxylase deficiency	HP:0000870	Increased circulating prolactin concentration	Occasional (29-5%)	prolactin	blood	Increased
AADC	35708	Aromatic L-amino acid decarboxylase deficiency	HP:0001943	Hypoglycemia	Occasional (29-5%)	glucose	blood	Decreased
3MCC	6	3-methylcrotonyl-CoA carboxylase deficiency	HP:0001943	Hypoglycemia	Very frequent (99-80%)	glucose	blood	Decreased
3MCC	6	3-methylcrotonyl-CoA carboxylase deficiency	HP:0001987	Hyperammonemia	Frequent (79-30%)	ammonia	blood	Increased
3MCC	6	3-methylcrotonyl-CoA carboxylase deficiency	HP:0001992	Organic aciduria	Very frequent (99-80%)	organic acid	urine	Increased
BTD	79241	Biotinidase deficiency	HP:0001992	Organic aciduria	Very frequent (99-80%)	organic acid	urine	Increased
BTD	79241	Biotinidase deficiency	HP:0001987	Hyperammonemia	Frequent (79-30%)	ammonia	blood	Increased
CMO1	556030	Early-onset familial hypoaldosteronism	HP:0002153	Hyperkalemia	Very frequent (99-80%)	potassium	blood	Increased
CMO1	556030	Early-onset familial hypoaldosteronism	HP:0002902	Hyponatremia	Very frequent (99-80%)	sodium	blood	Decreased
CMO1	556030	Early-onset familial hypoaldosteronism	HP:0000848	Increased circulating renin level	Frequent (79-30%)	renin	blood	Increased
CMO1	556030	Early-onset familial hypoaldosteronism	HP:0025436	Elevated serum 11-deoxycortisol	Frequent (79-30%)	11-deoxycortisol	blood	Increased
EF	2056	Essential fructosuria	HP:0003074	Hyperglycemia	Excluded (0%)	glucose	blood	Increased
FIGLU	51208	Formiminoglutamic aciduria	HP:0032164	Increased blood folate concentration	Frequent (79-30%)	folate	blood	Increased
GSD6	366	Glycogen storage disease due to glycogen debranching enzyme deficiency	HP:0001943	Hypoglycemia	Very frequent (99-80%)	glucose	blood	Decreased
GSD6	366	Glycogen storage disease due to glycogen debranching enzyme deficiency	HP:0002155	Hypertriglyceridemia	Very frequent (99-80%)	triglyceride	blood	Increased
GACR	414	Gyrate atrophy of choroid and retina	HP:0003355	Aminoaciduria	Frequent (79-30%)	amino acid	urine	Increased
HFI	469	Hereditary fructose intolerance	HP:0002148	Hypophosphatemia	Occasional (29-5%)	phosphate	blood	Decreased
