iem_abbr	call_index	iem_name	entrez_gene_ids	knockout_reaction_patterns	biomarker_reaction	vmh_metabolite	model_compartment	biofluid_tested	expected_direction	reported_biofluids_raw	label_raw	also_in_recon3d_branch	source_header_line	source_call_line	gene_symbols	unmapped_entrez	orpha_code	orpha_name	orpha_match_score	orpha_assoc_type	orpha_assoc_status	n_candidate_disorders	omim_ids	icd10	vmh_name	hmdb	chebi	kegg	hpo_check	hpo_evidence
HIS	1	Histidinemia HIS	3034.1	_HISD	EX_hista[u]	hista	u	urine	Increased	blood/urine	Increased (blood/urine)	True	186	220	HAL		2157	Histidinemia	0.857	Disease-causing germline mutation(s) in	Assessed	1	235800	E70.8	Histamine	HMDB00870	CHEBI:18295	C00388	not_in_hpo_annotations	
HIS	1	Histidinemia HIS	3034.1	_HISD	DM_hista[bc]	hista	bc	blood	Increased	blood/urine	Increased (blood/urine)	False	186	220	HAL		2157	Histidinemia	0.857	Disease-causing germline mutation(s) in	Assessed	1	235800	E70.8	Histamine	HMDB00870	CHEBI:18295	C00388	not_in_hpo_annotations	
HIS	1	Histidinemia HIS	3034.1	_HISD	EX_im4ac[u]	im4ac	u	urine	Increased	urine	Increased (urine)	True	186	220	HAL		2157	Histidinemia	0.857	Disease-causing germline mutation(s) in	Assessed	1	235800	E70.8	Imidazol-4-Ylacetate	HMDB02024	CHEBI:16974	C02835	not_in_hpo_annotations	
HIS	1	Histidinemia HIS	3034.1	_HISD	EX_his_L[u]	his_L	u	urine	Increased	blood/urine	Increased (blood/urine)	True	186	220	HAL		2157	Histidinemia	0.857	Disease-causing germline mutation(s) in	Assessed	1	235800	E70.8	L-Histidine	HMDB00177	CHEBI:15971	C00135	corroborated	HP:0002927 Histidinuria [Obligate (100%)]
HIS	1	Histidinemia HIS	3034.1	_HISD	DM_his_L[bc]	his_L	bc	blood	Increased	blood/urine	Increased (blood/urine)	False	186	220	HAL		2157	Histidinemia	0.857	Disease-causing germline mutation(s) in	Assessed	1	235800	E70.8	L-Histidine	HMDB00177	CHEBI:15971	C00135	corroborated	HP:0010906 Hyperhistidinemia [Obligate (100%)]
AGAT	2	AGAT def	2628.1	_GLYAMDTRc	EX_creat[u]	creat	u	urine	Decreased	urine	Decreased (urine)	False	222	238	GATM		35704	L-Arginine:glycine amidinotransferase deficiency	0.696	Disease-causing germline mutation(s) in	Assessed	2	612718	E72.8	Creatine	HMDB00064	CHEBI:16919	C00300	corroborated	HP:6000748 Decreased urinary creatine level [Frequent (79-30%)]
AGAT	2	AGAT def	2628.1	_GLYAMDTRc	EX_gudac[u]	gudac	u	urine	Decreased	urine	Decreased (urine)	False	222	238	GATM		35704	L-Arginine:glycine amidinotransferase deficiency	0.696	Disease-causing germline mutation(s) in	Assessed	2	612718	E72.8	Guanidinoacetic Acid	HMDB00128	CHEBI:16344	C00581	corroborated	HP:0034888 Decreased urine guanidinoacetic acid level [Frequent (79-30%)]
ARG	3	Arginase def ARG	383.1	_ARGN	EX_argsuc[u]	argsuc	u	urine	Increased	urine	Increased (urine)	True	240	284	ARG1		90	Argininemia	0.686	Disease-causing germline mutation(s) in	Assessed	1	207800	E72.2	L-Arginosuccinic Acid	HMDB00052	CHEBI:15682	C03406	not_in_hpo_annotations	
ARG	3	Arginase def ARG	383.1	_ARGN	EX_orot[u]	orot	u	urine	Increased	urine	Increased (urine)	True	240	284	ARG1		90	Argininemia	0.686	Disease-causing germline mutation(s) in	Assessed	1	207800	E72.2	Orotate	HMDB00226	CHEBI:16742	C00295	not_in_hpo_annotations	
ARG	3	Arginase def ARG	383.1	_ARGN	EX_ura[u]	ura	u	urine	Increased	urine	Increased  (urine)	True	240	284	ARG1		90	Argininemia	0.686	Disease-causing germline mutation(s) in	Assessed	1	207800	E72.2	Uracil	HMDB00300	CHEBI:17568	C00106	not_in_hpo_annotations	
