condition	media	wt_growth	n_genes	tp	tn	fp	fn	mcc	aucpr_bernstein	auroc_standard
Sodium L-Lactate	ShewMM_noCarbon	0.4333120311821235	713	589.0	55.0	58.0	11.0	0.5902017786923729	0.5290289771153636	0.7758628318584071
Sodium pyruvate	ShewMM_noCarbon	0.35933192829230226	713	580.0	56.0	67.0	10.0	0.5714273190178628	0.521404664326069	0.8019016122364614
Sodium propionate	ShewMM_noCarbon	0.4121748589235185	713	555.0	56.0	90.0	12.0	0.49787346874827954	0.5826164821965439	0.707273320287019
N-Acetyl-D-Glucosamine	ShewMM_noCarbon	1.1863606315616106	713	576.0	56.0	68.0	13.0	0.5506887917539347	0.5833316598457474	0.7786844843638754
Adenosine	ShewMM_noCarbon	1.1497015594609257	713	572.0	49.0	77.0	15.0	0.48484117332113774	0.5419120289130308	0.7145764040994024
Uridine	ShewMM_noCarbon	0.8445846101520903	713	570.0	50.0	82.0	11.0	0.4997051934962133	0.5727660720871084	0.7762282897825068
Inosine	ShewMM_noCarbon	1.1370703349343936	713	573.0	50.0	76.0	14.0	0.4977050797170731	0.5614047089428573	0.7580649522727887
Cytidine	ShewMM_noCarbon	0.8567203708286752	713	572.0	50.0	80.0	11.0	0.5048920786699262	0.5922304767523515	0.7462923868584246
Sodium D,L-Lactate	ShewMM_noCarbon	0.8665286811989414	713	558.0	59.0	90.0	6.0	0.544285545512367	0.6229796344164485	0.7051144747489171
L-Glutamine	ShewMM_noCarbon	0.680106127460532	713	603.0	53.0	44.0	13.0	0.6213688476199519	0.5560913318627504	0.8083160396304726
L-Isoleucine	ShewMM_noCarbon	0.0	713							
casamino acids	ShewMM_noCarbon	5.359472252232947	713	635.0	29.0	20.0	29.0	0.5072901002984768	0.5395673738648284	0.7935210228669782
