Btheta  Bacteroides_thetaiotaomicron_VPI_5482_xml__shipp WT grows  0/25 | no gene-level scoring (WT grows nowhere)
Btheta  Bacteroides_thetaiotaomicron_VPI_5482_xml_gapfil WT grows 14/25 | AUC-PR 0.421 (card 0.421) MCC 0.483 (card 0.483) | pairs 6608 exp-important 684 pred-no-growth 271
Btheta  Bacteroides_thetaiotaomicron_VPI_5482_xml_gapfil WT grows 14/25 | AUC-PR 0.473 (card 0.473) MCC 0.503 (card 0.503) | pairs 7098 exp-important 938 pred-no-growth 761
Btheta  Bacteroides_thetaiotaomicron_VPI_5482_xml_gapfil WT grows 14/25 | AUC-PR 0.549 (card 0.549) MCC 0.560 (card 0.560) | pairs 7126 exp-important 943 pred-no-growth 817
Btheta  Bacteroides_thetaiotaomicron_VPI_5482_xml_gapfil WT grows 14/25 | AUC-PR 0.544 (card 0.544) MCC 0.554 (card 0.554) | pairs 7126 exp-important 943 pred-no-growth 831
Btheta  Bacteroides_thetaiotaomicron_VPI_5482_xml_gapfil WT grows 14/25 | AUC-PR 0.526 (card 0.526) MCC 0.555 (card 0.555) | pairs 6594 exp-important 662 pred-no-growth 299
Btheta  Bacteroides_thetaiotaomicron_VPI_5482_xml_gapfil WT grows 14/25 | AUC-PR 0.549 (card 0.549) MCC 0.560 (card 0.560) | pairs 7112 exp-important 942 pred-no-growth 817
Btheta  Bacteroides_thetaiotaomicron_VPI_5482_xml_gapfil WT grows 14/25 | AUC-PR 0.549 (card 0.549) MCC 0.560 (card 0.560) | pairs 7126 exp-important 943 pred-no-growth 817
Btheta  Bacteroides_thetaiotaomicron_VPI_5482_xml_gapfil WT grows 14/25 | AUC-PR 0.549 (card 0.549) MCC 0.560 (card 0.560) | pairs 7126 exp-important 943 pred-no-growth 817
Btheta  Bacteroides_thetaiotaomicron_VPI_5482_xml_gapfil WT grows 16/25 | AUC-PR 0.569 (card 0.569) MCC 0.573 (card 0.573) | pairs 8160 exp-important 1094 pred-no-growth 979
Btheta  Bacteroides_thetaiotaomicron_VPI_5482_xml_gapfil WT grows 14/25 | AUC-PR 0.404 (card 0.404) MCC 0.468 (card 0.468) | pairs 6608 exp-important 684 pred-no-growth 285
Keio    iML1515                                          WT grows 32/32 | AUC-PR 0.613 (card 0.613) MCC 0.598 (card 0.598) | pairs 42528 exp-important 3568 pred-no-growth 2579
Keio    iML1515__patched-v0.1+model-v0.1                 WT grows 32/32 | AUC-PR 0.629 (card 0.629) MCC 0.611 (card 0.611) | pairs 42528 exp-important 3568 pred-no-growth 2639
Keio    iML1515__patched-v0.1+model-v0.2                 WT grows 32/32 | AUC-PR 0.629 (card 0.629) MCC 0.611 (card 0.611) | pairs 42528 exp-important 3568 pred-no-growth 2639
Keio    iML1515__patched-v0.1                            WT grows 32/32 | AUC-PR 0.629 (card 0.629) MCC 0.611 (card 0.611) | pairs 42528 exp-important 3568 pred-no-growth 2639
MR1     Shewanella_oneidensis_MR_1_xml__shipped          WT grows  0/12 | no gene-level scoring (WT grows nowhere)
MR1     Shewanella_oneidensis_MR_1_xml_gapfilled__gapfil WT grows  8/12 | AUC-PR 0.298 (card 0.298) MCC 0.411 (card 0.411) | pairs 5408 exp-important 735 pred-no-growth 149
MR1     Shewanella_oneidensis_MR_1_xml_gapfilled__gapfil WT grows  8/12 | AUC-PR 0.415 (card 0.415) MCC 0.458 (card 0.458) | pairs 5704 exp-important 919 pred-no-growth 445
MR1     Shewanella_oneidensis_MR_1_xml_gapfilled__gapfil WT grows  8/12 | AUC-PR 0.524 (card 0.524) MCC 0.535 (card 0.535) | pairs 5704 exp-important 919 pred-no-growth 507
MR1     Shewanella_oneidensis_MR_1_xml_gapfilled__gapfil WT grows  8/12 | AUC-PR 0.512 (card 0.512) MCC 0.524 (card 0.524) | pairs 5704 exp-important 919 pred-no-growth 531
MR1     Shewanella_oneidensis_MR_1_xml_gapfilled__gapfil WT grows  8/12 | AUC-PR 0.391 (card 0.391) MCC 0.463 (card 0.463) | pairs 5352 exp-important 686 pred-no-growth 179
