condition	media	wt_growth	n_genes
Maltotetraose	Varel_Bryant_medium	0.0	469
Maltohexaose	Varel_Bryant_medium	0.0	469
Laminaribiose	Varel_Bryant_medium	0.0	469
Stachyose - 70%	Varel_Bryant_medium	0.0	469
Melibiose	Varel_Bryant_medium	0.0	469
D-Glucose	Varel_Bryant_medium	0.0	469
D-Trehalose dihydrate	Varel_Bryant_medium	0.0	469
D-Arabinose	Varel_Bryant_medium	0.0	469
D-Raffinose pentahydrate	Varel_Bryant_medium	0.0	469
L-Fucose	Varel_Bryant_medium	0.0	469
Beta-Lactose	Varel_Bryant_medium	0.0	469
D-Fructose	Varel_Bryant_medium	0.0	469
D-Maltose monohydrate	Varel_Bryant_medium	0.0	469
L-Rhamnose monohydrate	Varel_Bryant_medium	0.0	469
D-Mannose	Varel_Bryant_medium	0.0	469
D-Xylose	Varel_Bryant_medium	0.0	469
D-Galacturonic Acid monohydrate	Varel_Bryant_medium	0.0	469
N-Acetyl-D-Glucosamine	Varel_Bryant_medium	0.0	469
L-Arabinose	Varel_Bryant_medium	0.0	469
D-Galactose	Varel_Bryant_medium	0.0	469
D-Glucosamine Hydrochloride	Varel_Bryant_medium	0.0	469
D-Ribose	Varel_Bryant_medium	0.0	469
Red Arabinan from sugar-beet	Varel_Bryant_medium	0.0	469
Amylose from potato	Varel_Bryant_medium	0.0	469
Starch	Varel_Bryant_medium	0.0	469
