condition	media	wt_growth	n_genes	tp	tn	fp	fn	mcc	aucpr_bernstein	auroc_standard
Maltotetraose	Varel_Bryant_medium	0.0	472							
Maltohexaose	Varel_Bryant_medium	0.0	472							
Laminaribiose	Varel_Bryant_medium	0.7486927732525583	472	427.0	14.0	28.0	3.0	0.49867902249536933	0.37903815604045765	0.7083056478405314
Stachyose - 70%	Varel_Bryant_medium	0.0	472							
Melibiose	Varel_Bryant_medium	0.0	472							
D-Glucose	Varel_Bryant_medium	0.3853534313943401	472	426.0	15.0	28.0	3.0	0.5136022451723032	0.501687892626752	0.7296037296037297
D-Trehalose dihydrate	Varel_Bryant_medium	0.0	472							
D-Arabinose	Varel_Bryant_medium	0.0	472							
D-Raffinose pentahydrate	Varel_Bryant_medium	1.133405017573047	472	418.0	16.0	36.0	2.0	0.4952277822010515	0.5879748187922319	0.7088369963369964
L-Fucose	Varel_Bryant_medium	0.20575971985969754	472	420.0	14.0	31.0	7.0	0.41978648164883586	0.4359612245791892	0.6956284153005464
Beta-Lactose	Varel_Bryant_medium	0.7059469683280362	472	419.0	15.0	36.0	2.0	0.48210879981657073	0.474364313861238	0.7157328489590611
D-Fructose	Varel_Bryant_medium	0.0	472							
D-Maltose monohydrate	Varel_Bryant_medium	0.0	472							
L-Rhamnose monohydrate	Varel_Bryant_medium	0.20575971985969638	472	412.0	19.0	38.0	3.0	0.5040812702945652	0.5139003989487917	0.7241597970830691
D-Mannose	Varel_Bryant_medium	0.0	472							
D-Xylose	Varel_Bryant_medium	0.31411042318711735	472	414.0	16.0	40.0	2.0	0.4742839551360083	0.588984675943019	0.7292024381868132
D-Galacturonic Acid monohydrate	Varel_Bryant_medium	0.30882181706640616	472	417.0	18.0	33.0	4.0	0.5057773772229692	0.4947467694767261	0.7945833915513949
N-Acetyl-D-Glucosamine	Varel_Bryant_medium	0.0	472							
L-Arabinose	Varel_Bryant_medium	0.31411042318685223	472	414.0	18.0	37.0	3.0	0.4980901272004607	0.5024721150341729	0.7465009810333552
D-Galactose	Varel_Bryant_medium	0.2582240041131938	472	420.0	17.0	34.0	1.0	0.5364569649409215	0.5568222286680881	0.7001536956825485
D-Glucosamine Hydrochloride	Varel_Bryant_medium	0.0	472							
D-Ribose	Varel_Bryant_medium	0.2499917158001041	472	414.0	15.0	40.0	3.0	0.444839907140125	0.38406432415089453	0.6802703291911926
Red Arabinan from sugar-beet	Varel_Bryant_medium	0.941048895412799	472	422.0	15.0	28.0	7.0	0.4539032584789036	0.4458845346142143	0.6924161110207621
Amylose from potato	Varel_Bryant_medium	13.225036964354576	472	427.0	13.0	26.0	6.0	0.4474961423736011	0.4992036596333503	0.6439272813406761
Starch	Varel_Bryant_medium	9.779671658884533	472	424.0	16.0	28.0	4.0	0.5113562867420196	0.4500898771662051	0.7129885301614274
