condition	media	bigg_ids	mapping_confidence	n_experiments	wt_growth	wt_grows	missing_exchanges	n_ko_no_growth	n_genes_fitness_below_threshold
Maltotetraose	Varel_Bryant_medium	maltttr	high	2	0.0	False	EX_maltttr_e	507	64
Maltohexaose	Varel_Bryant_medium	malthx	high	2	0.0	False	EX_malthx_e	507	63
Laminaribiose	Varel_Bryant_medium	lmn2	medium	2	0.7671336628320493	True		52	61
Stachyose - 70%	Varel_Bryant_medium	stys	medium	2	0.0	False	EX_stys_e	507	66
Melibiose	Varel_Bryant_medium	melib	high	2	0.0	False	EX_melib_e	507	52
D-Glucose	Varel_Bryant_medium	glc__D	high	10	0.43836209304689827	True		53	61
D-Trehalose dihydrate	Varel_Bryant_medium	tre	high	4	0.0	False	EX_tre_e	507	70
D-Arabinose	Varel_Bryant_medium	arab__D	high	2	0.0	False		507	79
D-Raffinose pentahydrate	Varel_Bryant_medium	raffin	high	2	1.2054957558789836	True		53	71
L-Fucose	Varel_Bryant_medium	fuc__L	high	2	0.2058812113776028	True		56	63
Beta-Lactose	Varel_Bryant_medium	lcts	high	2	0.7671336628320745	True		52	70
D-Fructose	Varel_Bryant_medium	fru	high	2	0.0	False	EX_fru_e	507	70
D-Maltose monohydrate	Varel_Bryant_medium	malt	high	2	0.0	False		507	69
L-Rhamnose monohydrate	Varel_Bryant_medium	rmn	high	2	0.20588121137760598	True		57	76
D-Mannose	Varel_Bryant_medium	man	high	2	0.0	False	EX_man_e	507	68
D-Xylose	Varel_Bryant_medium	xyl__D	high	2	0.36530174420573946	True		53	75
D-Galacturonic Acid monohydrate	Varel_Bryant_medium	galur	high	2	0.30882181706640965	True		57	68
N-Acetyl-D-Glucosamine	Varel_Bryant_medium	acgam	high	2	0.0	False	EX_acgam_e	507	68
L-Arabinose	Varel_Bryant_medium	arab__L	high	2	0.365301744205739	True		56	74
D-Galactose	Varel_Bryant_medium	gal	high	2	0.30882181706640915	True		53	70
D-Glucosamine Hydrochloride	Varel_Bryant_medium	gam	high	1	0.0	False	EX_gam_e	507	62
D-Ribose	Varel_Bryant_medium	rib__D	high	1	0.2557112209440263	True		53	74
Red Arabinan from sugar-beet	Varel_Bryant_medium	araban__L	medium	3	1.0959052326172285	True		57	59
Amylose from potato	Varel_Bryant_medium	amylose300	medium	2	22.136685146069155	True		54	54
Starch	Varel_Bryant_medium	starch1200	medium	3	9.779671658885318	True		55	62
