condition	media	wt_growth	n_genes	tp	tn	fp	fn	mcc	aucpr_bernstein	auroc_standard
Maltotetraose	Varel_Bryant_medium	0.0	507							
Maltohexaose	Varel_Bryant_medium	0.0	507							
Laminaribiose	Varel_Bryant_medium	0.7486927732525583	507	427.0	33.0	28.0	19.0	0.5344264493712365	0.4297103913387999	0.7825112107623319
Stachyose - 70%	Varel_Bryant_medium	0.0	507							
Melibiose	Varel_Bryant_medium	0.0	507							
D-Glucose	Varel_Bryant_medium	0.3853534313943401	507	426.0	33.0	28.0	20.0	0.5275592178582625	0.5023518757234962	0.7793685216496361
D-Trehalose dihydrate	Varel_Bryant_medium	0.0	507							
D-Arabinose	Varel_Bryant_medium	0.0	507							
D-Raffinose pentahydrate	Varel_Bryant_medium	1.133405017573047	507	418.0	35.0	36.0	18.0	0.5123078582899091	0.5383515087007134	0.7661681095748805
L-Fucose	Varel_Bryant_medium	0.20575971985969754	507	420.0	32.0	31.0	24.0	0.4776643941717246	0.47905306217175314	0.7718432718432718
Beta-Lactose	Varel_Bryant_medium	0.7059469683280362	507	419.0	34.0	36.0	18.0	0.5054496826431131	0.49629682841353945	0.7040699575024518
D-Fructose	Varel_Bryant_medium	0.0	507							
D-Maltose monohydrate	Varel_Bryant_medium	0.0	507							
L-Rhamnose monohydrate	Varel_Bryant_medium	0.20575971985969638	507	412.0	38.0	38.0	19.0	0.5152132589936386	0.5367352738645369	0.746977652949078
D-Mannose	Varel_Bryant_medium	0.0	507							
D-Xylose	Varel_Bryant_medium	0.31411042318711735	507	414.0	35.0	40.0	18.0	0.49316877784160845	0.5342434431552386	0.7312808641975308
D-Galacturonic Acid monohydrate	Varel_Bryant_medium	0.30882181706640616	507	417.0	35.0	33.0	22.0	0.5012042522947994	0.5324848358931223	0.7679887444727321
N-Acetyl-D-Glucosamine	Varel_Bryant_medium	0.0	507							
L-Arabinose	Varel_Bryant_medium	0.31411042318685223	507	414.0	37.0	37.0	19.0	0.5137557874236738	0.5114819652097957	0.7647306660008739
D-Galactose	Varel_Bryant_medium	0.2582240041131938	507	420.0	36.0	34.0	17.0	0.5360046293191315	0.5136678380001105	0.7862046420398824
D-Glucosamine Hydrochloride	Varel_Bryant_medium	0.0	507							
D-Ribose	Varel_Bryant_medium	0.2499917158001041	507	414.0	34.0	40.0	19.0	0.47956570413038796	0.43345106750418894	0.7509986892203983
Red Arabinan from sugar-beet	Varel_Bryant_medium	0.941048895412799	507	422.0	31.0	28.0	26.0	0.4744592297356691	0.4881853130483935	0.7823660714285714
Amylose from potato	Varel_Bryant_medium	13.225036964354576	507	427.0	28.0	26.0	26.0	0.4611233750306598	0.4714452168214883	0.7026612705420652
Starch	Varel_Bryant_medium	9.779671658884533	507	424.0	34.0	28.0	21.0	0.5279988279360103	0.4677922729842272	0.7750090612540776
