condition	media	bigg_ids	mapping_confidence	n_experiments	wt_growth	wt_grows	missing_exchanges	n_ko_no_growth	n_genes_fitness_below_threshold
Maltotetraose	Varel_Bryant_medium	maltttr	high	2	1.0040894931823689e-05	False	EX_maltttr_e	508	64
Maltohexaose	Varel_Bryant_medium	malthx	high	2	1.0040239351656542e-05	False	EX_malthx_e	508	63
Laminaribiose	Varel_Bryant_medium	lmn2	medium	2	0.7933642833461331	True		56	61
Stachyose - 70%	Varel_Bryant_medium	stys	medium	2	1.0026310545924576e-05	False	EX_stys_e	508	66
Melibiose	Varel_Bryant_medium	melib	high	2	1.0026310545924573e-05	False	EX_melib_e	508	52
D-Glucose	Varel_Bryant_medium	glc__D	high	10	0.45340444131087854	True		57	61
D-Trehalose dihydrate	Varel_Bryant_medium	tre	high	4	1.0026310545924085e-05	False	EX_tre_e	508	71
D-Arabinose	Varel_Bryant_medium	arab__D	high	2	1.0026310545924688e-05	False		508	80
D-Raffinose pentahydrate	Varel_Bryant_medium	raffin	high	2	1.2466440727152803	True		57	71
L-Fucose	Varel_Bryant_medium	fuc__L	high	2	0.2125868521491893	True		60	63
Beta-Lactose	Varel_Bryant_medium	lcts	high	2	0.7933642833351876	True		56	70
D-Fructose	Varel_Bryant_medium	fru	high	2	1.0026310545924908e-05	False	EX_fru_e	508	70
D-Maltose monohydrate	Varel_Bryant_medium	malt	high	2	1.002631054592463e-05	False		508	69
L-Rhamnose monohydrate	Varel_Bryant_medium	rmn	high	2	0.2125868521491549	True		61	77
D-Mannose	Varel_Bryant_medium	man	high	2	1.0026310545921847e-05	False	EX_man_e	508	69
D-Xylose	Varel_Bryant_medium	xyl__D	high	2	0.3778578097483311	True		57	76
D-Galacturonic Acid monohydrate	Varel_Bryant_medium	galur	high	2	0.3188112323761988	True		61	68
N-Acetyl-D-Glucosamine	Varel_Bryant_medium	acgam	high	2	1.002631054592526e-05	False	EX_acgam_e	508	68
L-Arabinose	Varel_Bryant_medium	arab__L	high	2	0.3778578097484041	True		60	75
D-Galactose	Varel_Bryant_medium	gal	high	2	0.31881123237663855	True		57	70
D-Glucosamine Hydrochloride	Varel_Bryant_medium	gam	high	1	1.002631054592371e-05	False	EX_gam_e	508	62
D-Ribose	Varel_Bryant_medium	rib__D	high	1	0.2645378624064514	True		57	75
Red Arabinan from sugar-beet	Varel_Bryant_medium	araban__L	medium	3	1.1333241253608275	True		61	59
Amylose from potato	Varel_Bryant_medium	amylose300	medium	2	25.7586268095299	True		58	54
Starch	Varel_Bryant_medium	starch1200	medium	3	15.109450964161569	True		59	62
