condition	media	wt_growth	n_genes	tp	tn	fp	fn	mcc	aucpr_bernstein	auroc_standard
Maltotetraose	Varel_Bryant_medium	0.0	471							
Maltohexaose	Varel_Bryant_medium	0.0	471							
Laminaribiose	Varel_Bryant_medium	0.7735164122649182	471	428.0	16.0	24.0	3.0	0.5568763172786649	0.42230580807953527	0.7685904872389792
Stachyose - 70%	Varel_Bryant_medium	0.0	471							
Melibiose	Varel_Bryant_medium	0.0	471							
D-Glucose	Varel_Bryant_medium	0.39813020020373135	471	427.0	17.0	24.0	3.0	0.5699256719432984	0.5797438713904729	0.7434486670448099
D-Trehalose dihydrate	Varel_Bryant_medium	0.0	471							
D-Arabinose	Varel_Bryant_medium	0.0	471							
D-Raffinose pentahydrate	Varel_Bryant_medium	1.1709841662121203	471	420.0	19.0	31.0	1.0	0.5768769390038934	0.6727306370613815	0.764916864608076
L-Fucose	Varel_Bryant_medium	0.2122941114953225	471	421.0	16.0	27.0	7.0	0.475426410481164	0.47022216934133276	0.7500543360139099
Beta-Lactose	Varel_Bryant_medium	0.729353328493031	471	420.0	17.0	32.0	2.0	0.5309914655430588	0.6175471844773399	0.7072976109875229
D-Fructose	Varel_Bryant_medium	0.0	471							
D-Maltose monohydrate	Varel_Bryant_medium	0.0	471							
L-Rhamnose monohydrate	Varel_Bryant_medium	0.21229411149532412	471	413.0	22.0	34.0	2.0	0.571127124655231	0.7018677895148095	0.7324010327022376
D-Mannose	Varel_Bryant_medium	0.0	471							
D-Xylose	Varel_Bryant_medium	0.32452506058368147	471	415.0	19.0	36.0	1.0	0.5463652257939688	0.7036117275004923	0.695979020979021
D-Galacturonic Acid monohydrate	Varel_Bryant_medium	0.3186731406822778	471	418.0	21.0	29.0	3.0	0.5783414472164875	0.5354527690948486	0.7948456057007126
N-Acetyl-D-Glucosamine	Varel_Bryant_medium	0.0	471							
L-Arabinose	Varel_Bryant_medium	0.32452506058389546	471	415.0	21.0	33.0	2.0	0.5678034993032298	0.614124674053189	0.7319255706545874
D-Galactose	Varel_Bryant_medium	0.26646458001349604	471	422.0	20.0	29.0	0.0	0.6179949302657023	0.6788118648723174	0.65446368120708
D-Glucosamine Hydrochloride	Varel_Bryant_medium	0.0	471							
D-Ribose	Varel_Bryant_medium	0.2582804349260313	471	415.0	18.0	36.0	2.0	0.5190941694140666	0.5460392072833291	0.6926902922106758
Red Arabinan from sugar-beet	Varel_Bryant_medium	0.9722502892385328	471	424.0	18.0	23.0	6.0	0.5449142311048271	0.5139355142330931	0.7692285876347136
Amylose from potato	Varel_Bryant_medium	13.225036964354585	471	429.0	16.0	21.0	5.0	0.5486821293522437	0.5513289302211503	0.7186449121932992
Starch	Varel_Bryant_medium	10.229176344921047	471	425.0	19.0	24.0	3.0	0.5935566754935759	0.5063708600225408	0.6989241469245815
