condition	media	wt_growth	n_genes	tp	tn	fp	fn	mcc	aucpr_bernstein	auroc_standard
Maltotetraose	Varel_Bryant_medium	0.0	508							
Maltohexaose	Varel_Bryant_medium	0.0	508							
Laminaribiose	Varel_Bryant_medium	0.7671336628320493	508	428.0	37.0	24.0	19.0	0.5854292608420215	0.47652011111993847	0.7889756848938277
Stachyose - 70%	Varel_Bryant_medium	0.0	508							
Melibiose	Varel_Bryant_medium	0.0	508							
D-Glucose	Varel_Bryant_medium	0.43836209304689827	508	427.0	37.0	24.0	20.0	0.5786101373868898	0.5698076302134805	0.8108519455752375
D-Trehalose dihydrate	Varel_Bryant_medium	0.0	508							
D-Arabinose	Varel_Bryant_medium	0.0	508							
D-Raffinose pentahydrate	Varel_Bryant_medium	1.2054957558789836	508	420.0	40.0	31.0	17.0	0.5761983798749564	0.6171591769439666	0.7570019660295872
L-Fucose	Varel_Bryant_medium	0.2058812113776028	508	421.0	36.0	27.0	24.0	0.5284971315619889	0.517486941391794	0.8087034064562154
Beta-Lactose	Varel_Bryant_medium	0.7671336628320745	508	420.0	38.0	32.0	18.0	0.5522299605662778	0.5933518744486439	0.7785714285714286
D-Fructose	Varel_Bryant_medium	0.0	508							
D-Maltose monohydrate	Varel_Bryant_medium	0.0	508							
L-Rhamnose monohydrate	Varel_Bryant_medium	0.20588121137760598	508	413.0	43.0	34.0	18.0	0.5700139326576119	0.6328977132142146	0.8073793955464489
D-Mannose	Varel_Bryant_medium	0.0	508							
D-Xylose	Varel_Bryant_medium	0.36530174420573946	508	415.0	40.0	36.0	17.0	0.5503256703403511	0.6143097634283384	0.770970394736842
D-Galacturonic Acid monohydrate	Varel_Bryant_medium	0.30882181706640965	508	418.0	39.0	29.0	22.0	0.5484072666917837	0.5665012565604969	0.796173128342246
N-Acetyl-D-Glucosamine	Varel_Bryant_medium	0.0	508							
L-Arabinose	Varel_Bryant_medium	0.365301744205739	508	415.0	42.0	33.0	18.0	0.5698357667396433	0.605178361225347	0.7814164742109315
D-Galactose	Varel_Bryant_medium	0.30882181706640915	508	422.0	41.0	29.0	16.0	0.5997617032029193	0.5997945440238238	0.7986301369863014
D-Glucosamine Hydrochloride	Varel_Bryant_medium	0.0	508							
D-Ribose	Varel_Bryant_medium	0.2557112209440263	508	415.0	39.0	36.0	18.0	0.5377332447713602	0.5499147078173816	0.7516551193225558
Red Arabinan from sugar-beet	Varel_Bryant_medium	1.0959052326172285	508	424.0	36.0	23.0	25.0	0.546543049216024	0.5528702085988539	0.8249216715110793
Amylose from potato	Varel_Bryant_medium	22.136685146069155	508	429.0	33.0	21.0	25.0	0.5389078594576756	0.5302349432763578	0.8104911078479361
Starch	Varel_Bryant_medium	9.779671658885318	508	425.0	38.0	24.0	21.0	0.5780839017475181	0.5167301057418864	0.8032149573267757
