condition	media	wt_growth	n_genes	tp	tn	fp	fn	mcc	aucpr_bernstein	auroc_standard
Maltotetraose	Varel_Bryant_medium	1.0038995009943025e-05	509							
Maltohexaose	Varel_Bryant_medium	1.0038995009942969e-05	509							
Laminaribiose	Varel_Bryant_medium	0.7735833999124592	509	429.0	37.0	24.0	19.0	0.585534964294397	0.47564893010532505	0.8086760831381732
Stachyose - 70%	Varel_Bryant_medium	1.0026310545924644e-05	509							
Melibiose	Varel_Bryant_medium	1.002631054592459e-05	509							
D-Glucose	Varel_Bryant_medium	0.39819575576755667	509	428.0	37.0	24.0	20.0	0.5787187237915689	0.5696560357438405	0.8108716334894615
D-Trehalose dihydrate	Varel_Bryant_medium	1.0026310545922923e-05	509							
D-Arabinose	Varel_Bryant_medium	1.0026310545924615e-05	509							
D-Raffinose pentahydrate	Varel_Bryant_medium	1.1710526701775332	509	421.0	40.0	31.0	17.0	0.5763163774878096	0.6167443901820572	0.7801787896327737
L-Fucose	Varel_Bryant_medium	0.21235324419350432	509	422.0	36.0	27.0	24.0	0.528624595823401	0.5172782056005687	0.8039896078012669
Beta-Lactose	Varel_Bryant_medium	0.7294201476575386	509	421.0	38.0	32.0	18.0	0.5523524747464207	0.5927633588045549	0.8184022128213472
D-Fructose	Varel_Bryant_medium	1.0026310545923353e-05	509							
D-Maltose monohydrate	Varel_Bryant_medium	1.0026310545924595e-05	509							
L-Rhamnose monohydrate	Varel_Bryant_medium	0.21235324419343052	509	414.0	43.0	34.0	18.0	0.5701442072556073	0.6323512932159889	0.7749819624819625
D-Mannose	Varel_Bryant_medium	1.0026310545923639e-05	509							
D-Xylose	Varel_Bryant_medium	0.3245903353475466	509	415.0	40.0	37.0	17.0	0.5455546080921245	0.613822745099291	0.7962662337662338
D-Galacturonic Acid monohydrate	Varel_Bryant_medium	0.3188112323764078	509	419.0	39.0	29.0	22.0	0.5485357724420453	0.5664779559802543	0.8180105375483526
N-Acetyl-D-Glucosamine	Varel_Bryant_medium	1.0026310545924678e-05	509							
L-Arabinose	Varel_Bryant_medium	0.3245903353434369	509	416.0	42.0	33.0	18.0	0.5699630350290795	0.6048026943596542	0.7990322580645162
D-Galactose	Varel_Bryant_medium	0.2665242501818022	509	423.0	41.0	29.0	16.0	0.5998722718328913	0.5994262510515203	0.7940286365115523
D-Glucosamine Hydrochloride	Varel_Bryant_medium	1.002631054592588e-05	509							
D-Ribose	Varel_Bryant_medium	0.25834545696956557	509	416.0	39.0	36.0	18.0	0.5378656341844691	0.5497011371402897	0.7724884792626728
Red Arabinan from sugar-beet	Varel_Bryant_medium	0.9723180350435419	509	425.0	36.0	23.0	25.0	0.5466622899192085	0.5528559670896792	0.8434839924670432
Amylose from potato	Varel_Bryant_medium	13.225036964354587	509	430.0	33.0	21.0	25.0	0.539019888740978	0.5301364939072628	0.7666056166056167
Starch	Varel_Bryant_medium	10.229257672634038	509	426.0	38.0	24.0	21.0	0.5781958425532706	0.5167026831700653	0.8003536118929062
