condition	media	bigg_ids	mapping_confidence	n_experiments	wt_growth	wt_grows	missing_exchanges	n_ko_no_growth	n_genes_fitness_below_threshold
D-Glucose	M9 minimal media_noCarbon	glc__D	high	3	0.8769972144269741	True		85	103
D-Fructose	M9 minimal media_noCarbon	fru	high	2	0.8769972144269691	True		85	105
D-Maltose monohydrate	M9 minimal media_noCarbon	malt	high	2	1.7797995283262007	True		91	130
D-Xylose	M9 minimal media_noCarbon	xyl__D	high	2	0.7171259713406604	True		87	137
D-Galactose	M9 minimal media_noCarbon	gal	high	2	0.8675930236601787	True		88	105
D-Ribose	M9 minimal media_noCarbon	rib__D	high	2	0.6889133990313095	True		86	132
L-Fucose	M9 minimal media_noCarbon	fuc__L	high	2	0.8621230339781089	True		88	107
a-Ketoglutaric acid disodium salt hydrate	M9 minimal media_noCarbon	akg	high	2	0.5473895816373083	True		85	161
D-Glucuronic Acid	M9 minimal media_noCarbon	glcur	high	2	0.704686134319513	True		90	98
D-Gluconic Acid sodium salt	M9 minimal media_noCarbon	glcn	high	2	0.7971370674613818	True		85	101
D-Glucose-6-Phosphate sodium salt	M9 minimal media_noCarbon	g6p	high	2	0.9052097867363272	True		86	120
Potassium acetate	M9 minimal media_noCarbon	ac	high	2	0.21009920466530851	True		85	145
Sodium D-Lactate	M9 minimal media_noCarbon	lac__D	high	2	0.3773557550515633	True		85	134
Sodium D,L-Lactate	M9 minimal media_noCarbon	lac__D;lac__L	high	2	0.7524253714886622	True		85	109
Sodium pyruvate	M9 minimal media_noCarbon	pyr	high	2	0.3139404722479045	True		85	99
Sodium succinate dibasic hexahydrate	M9 minimal media_noCarbon	succ	high	2	0.4500862572565008	True		89	159
Glycolic Acid	M9 minimal media_noCarbon	glyclt	high	2	0.1530906371120318	True		88	164
D-Galacturonic Acid monohydrate	M9 minimal media_noCarbon	galur	high	3	0.704686134319508	True		91	114
Glycerol	M9 minimal media_noCarbon	glyc	high	2	0.4947134924179235	True		85	100
D-Sorbitol	M9 minimal media_noCarbon	sbt__D	high	2	0.9428265498130748	True		89	117
L-Malic acid disodium salt monohydrate	M9 minimal media_noCarbon	mal__L	high	2	0.41116492750403333	True		85	168
D-Trehalose dihydrate	M9 minimal media_noCarbon	tre	high	2	1.779799528325378	True		85	118
D-Serine	M9 minimal media_noCarbon	ser__D	high	2	0.31805146057044237	True		86	95
casamino acids	M9 minimal media_noCarbon	ala__L;arg__L;asn__L;asp__L;cys__L;glu__L;gln__L;gly;his__L;ile__L;leu__L;lys__L;met__L;phe__L;pro__L;ser__L;thr__L;tyr__L;val__L	medium	2	7.386439704733373	True		46	81
N-Acetyl-D-Glucosamine	M9 minimal media_noCarbon	acgam	high	2	1.1313124713033162	True		87	115
D-Glucosamine Hydrochloride	M9 minimal media_noCarbon	gam	high	2	0.8773090392484592	True		89	108
D-Mannose	M9 minimal media_noCarbon	man	high	2	0.8769972144268148	True		89	104
D-Galacturonic Acid monohydrate	MOPS Rich Defined media_noCarbon	galur	high	2	37.035948935282036	True		17	23
D-Glucose	MOPS Rich Defined media_noCarbon	glc__D	high	2	37.253704519419976	True		17	18
D-Galacturonic Acid monohydrate	MOPS minimal media_noCarbon	galur	high	1	0.7046861343195004	True		91	113
D-Glucose	MOPS minimal media_noCarbon	glc__D	high	1	0.8769972144269848	True		85	108
D-Mannitol	RCH2_defined_noCarbon	mnl	high	6	0.9432548163361564	True		64	77
