condition	media	wt_growth	n_genes	tp	tn	fp	fn	mcc	aucpr_bernstein	auroc_standard
D-Glucose	M9 minimal media_noCarbon	0.8769972144269741	1329	1205	64	39	21	0.6603082589985774	0.6485588573071974	0.8644855002454902
D-Fructose	M9 minimal media_noCarbon	0.8769972144269691	1329	1201	62	43	23	0.6302643775393187	0.6518456239533736	0.8257936507936507
D-Maltose monohydrate	M9 minimal media_noCarbon	1.7797995283262007	1329	1174	66	64	25	0.5726482385247831	0.5657107864469352	0.7863989221787386
D-Xylose	M9 minimal media_noCarbon	0.7171259713406604	1329	1169	64	73	23	0.5505773061715611	0.6166512657509309	0.7919922353402244
D-Galactose	M9 minimal media_noCarbon	0.8675930236601787	1329	1200	64	41	24	0.6399532991901359	0.6736232941662212	0.884313725490196
D-Ribose	M9 minimal media_noCarbon	0.6889133990313095	1329	1173	62	70	24	0.5466644102700707	0.6061513626225488	0.8356655527708159
L-Fucose	M9 minimal media_noCarbon	0.8621230339781089	1329	1196	62	45	26	0.6107465775434145	0.6535415053328798	0.8182197102956699
a-Ketoglutaric acid disodium salt hydrate	M9 minimal media_noCarbon	0.5473895816373083	1329	1148	65	96	20	0.5155614048442075	0.5643910543880734	0.7788889007062026
D-Glucuronic Acid	M9 minimal media_noCarbon	0.704686134319513	1329	1210	69	29	21	0.714588479342537	0.6885034003476858	0.8721505661566008
D-Gluconic Acid sodium salt	M9 minimal media_noCarbon	0.7971370674613818	1329	1205	62	39	23	0.6445451331897518	0.6618300191416326	0.8476593994904376
D-Glucose-6-Phosphate sodium salt	M9 minimal media_noCarbon	0.9052097867363272	1329	1195	72	48	14	0.6854985547588848	0.7058272037939753	0.8332781913427074
Potassium acetate	M9 minimal media_noCarbon	0.21009920466530851	1329	1160	61	84	24	0.5102174330361721	0.5483311365685553	0.791425908667288
Sodium D-Lactate	M9 minimal media_noCarbon	0.3773557550515633	1329	1172	62	72	23	0.5456966349345667	0.601060341323224	0.8203834384562544
Sodium D,L-Lactate	M9 minimal media_noCarbon	0.7524253714886622	1329	1196	61	48	24	0.6055302181752042	0.6248226420229299	0.8155324108888555
Sodium pyruvate	M9 minimal media_noCarbon	0.3139404722479045	1329	1203	58	41	27	0.6051433537424509	0.5752737985842693	0.8307505953847417
Sodium succinate dibasic hexahydrate	M9 minimal media_noCarbon	0.4500862572565008	1329	1146	65	94	24	0.5041320702918265	0.611326477701142	0.7980406386066764
Glycolic Acid	M9 minimal media_noCarbon	0.1530906371120318	1329	1148	71	93	17	0.5533264093067785	0.5635817261224102	0.7480503506751806
D-Galacturonic Acid monohydrate	M9 minimal media_noCarbon	0.704686134319508	1329	1197	73	41	18	0.6936044936164082	0.6991125480165808	0.8465201068514908
Glycerol	M9 minimal media_noCarbon	0.4947134924179235	1329	1196	52	48	33	0.5316604548719227	0.5128768443547668	0.7878925956061839
D-Sorbitol	M9 minimal media_noCarbon	0.9428265498130748	1329	1187	64	53	25	0.5966765902561326	0.6128570722551165	0.7922378776339173
L-Malic acid disodium salt monohydrate	M9 minimal media_noCarbon	0.41116492750403333	1329	1142	66	102	19	0.5113364846331809	0.5768829910526491	0.7513765842254215
D-Trehalose dihydrate	M9 minimal media_noCarbon	1.779799528325378	1329	1188	62	56	23	0.5887268487239873	0.6313615720692441	0.7951510867891782
D-Serine	M9 minimal media_noCarbon	0.31805146057044237	1329	1202	54	41	32	0.5681010974410793	0.537079473718675	0.7922204213938413
casamino acids	M9 minimal media_noCarbon	7.386439704733373	1329	1227	25	56	21	0.38191370886950216	0.46123946974571856	0.8322649572649572
N-Acetyl-D-Glucosamine	M9 minimal media_noCarbon	1.1313124713033162	1329	1191	64	51	23	0.6110514732164284	0.6218042856893218	0.8164601389585273
D-Glucosamine Hydrochloride	M9 minimal media_noCarbon	0.8773090392484592	1329	1197	65	43	24	0.6364040809653854	0.6764897701492869	0.8174538174538173
D-Mannose	M9 minimal media_noCarbon	0.8769972144268148	1329	1201	65	39	24	0.6504698041812494	0.6520207181097619	0.8373037676609104
D-Galacturonic Acid monohydrate	MOPS Rich Defined media_noCarbon	37.035948935282036	1329	1294	5	18	12	0.24161894973948875	0.18639760531884061	0.6321992143285172
D-Glucose	MOPS Rich Defined media_noCarbon	37.253704519419976	1329	1301	7	11	10	0.39216492125040303	0.23579677740786953	0.6892957030256802
D-Galacturonic Acid monohydrate	MOPS minimal media_noCarbon	0.7046861343195004	1329	1202	77	36	14	0.7398382233056233	0.7154169018395404	0.8564494061481135
D-Glucose	MOPS minimal media_noCarbon	0.8769972144269848	1329	1209	73	35	12	0.7438547346362123	0.7226447907487124	0.887046137046137
D-Mannitol	RCH2_defined_noCarbon	0.9432548163361564	1329	1245	57	20	7	0.8016850898129483	0.7162987307265357	0.9085100203311065
