condition	media	wt_growth	n_genes	tp	tn	fp	fn	mcc	aucpr_bernstein	auroc_standard
D-Glucose	M9 minimal media_noCarbon	0.8728824162136276	1329	1205	66	37	21	0.6741908204557471	0.6638858924350689	0.8333795277087062
D-Fructose	M9 minimal media_noCarbon	0.8728824162136488	1329	1201	64	41	23	0.6442525365574137	0.6642983391195548	0.8302248677248678
D-Maltose monohydrate	M9 minimal media_noCarbon	1.7714488565125246	1329	1174	68	62	25	0.5848303944326165	0.5744052921266184	0.8134855969718355
D-Xylose	M9 minimal media_noCarbon	0.7137612757438883	1329	1169	66	71	23	0.562553038526326	0.6259055950863328	0.7825344143438004
D-Galactose	M9 minimal media_noCarbon	0.8635223491272092	1329	1200	66	39	24	0.6537621514594105	0.6991441130396374	0.9109049175225645
D-Ribose	M9 minimal media_noCarbon	0.6856810744847127	1329	1173	64	68	24	0.5590767096820014	0.613543191174495	0.8372826004404952
L-Fucose	M9 minimal media_noCarbon	0.8581716182709719	1329	1196	64	43	26	0.6246499032859213	0.6636526805579884	0.8043616256481637
a-Ketoglutaric acid disodium salt hydrate	M9 minimal media_noCarbon	0.5447326373860244	1329	1148	67	94	20	0.526398800633712	0.5724949815151245	0.779694546073343
D-Glucuronic Acid	M9 minimal media_noCarbon	0.7013044699685417	1329	1210	71	27	21	0.7283616606612154	0.7251193246471206	0.8879664782241086
D-Gluconic Acid sodium salt	M9 minimal media_noCarbon	0.7932989585393077	1329	1205	64	37	23	0.6588214911231329	0.6750492823547904	0.8609910665333634
D-Glucose-6-Phosphate sodium salt	M9 minimal media_noCarbon	0.9009626174729733	1329	1195	74	46	14	0.6974197798046802	0.7398924849085675	0.8344775296388202
Potassium acetate	M9 minimal media_noCarbon	0.20910968867119392	1329	1160	63	82	24	0.5221107276889251	0.5530296650659159	0.8020474137931034
Sodium D-Lactate	M9 minimal media_noCarbon	0.3756740680057495	1329	1172	64	70	23	0.5579913288274657	0.608075948737809	0.8099356772622246
Sodium D,L-Lactate	M9 minimal media_noCarbon	0.7490721855806011	1329	1196	63	46	24	0.6193665881175381	0.6330010358631644	0.8290006015942246
Sodium pyruvate	M9 minimal media_noCarbon	0.31246188921860013	1329	1203	60	39	27	0.6200745605119146	0.5944369368646173	0.8651515151515152
Sodium succinate dibasic hexahydrate	M9 minimal media_noCarbon	0.4479016082712069	1329	1146	67	92	24	0.515127727290176	0.6288135111795428	0.7722249099607591
Glycolic Acid	M9 minimal media_noCarbon	0.1523486223306067	1329	1148	73	91	17	0.5635482061057615	0.5916695577169111	0.7853815555322936
D-Galacturonic Acid monohydrate	M9 minimal media_noCarbon	0.7013044699685639	1329	1197	75	39	18	0.7059188930617966	0.7131655620397059	0.849595697061584
Glycerol	M9 minimal media_noCarbon	0.4923315127727198	1329	1196	54	46	33	0.5472665711338482	0.5394700328570562	0.7883645240032546
D-Sorbitol	M9 minimal media_noCarbon	0.9384028858187559	1329	1187	66	51	25	0.6097379049081803	0.6229723428845478	0.8111830413810611
L-Malic acid disodium salt monohydrate	M9 minimal media_noCarbon	0.4091691966258412	1329	1142	68	100	19	0.5218261758719768	0.5919528145136015	0.7901670358065707
D-Trehalose dihydrate	M9 minimal media_noCarbon	1.7714488565123072	1329	1188	64	54	23	0.6018801683421222	0.6442914855183989	0.8121107363294098
D-Serine	M9 minimal media_noCarbon	0.3165339940860134	1329	1202	56	39	32	0.5838728165517845	0.5470482819547001	0.7951676192100998
casamino acids	M9 minimal media_noCarbon	7.36098460464244	1329	1227	27	54	21	0.40582344088647937	0.47930613862350857	0.872136158594492
N-Acetyl-D-Glucosamine	M9 minimal media_noCarbon	1.1260025685304473	1329	1191	66	49	23	0.6241944420665556	0.6416964032244558	0.7992228350404698
D-Glucosamine Hydrochloride	M9 minimal media_noCarbon	0.873191321271907	1329	1197	67	41	24	0.6499152061434845	0.6871201377187025	0.8199184032517366
D-Mannose	M9 minimal media_noCarbon	0.8728824162136374	1329	1201	67	37	24	0.6642518076472645	0.6650377782237106	0.8110086342229199
D-Galacturonic Acid monohydrate	MOPS Rich Defined media_noCarbon	33.548823008205254	1329	1294	5	18	12	0.24161894973948875	0.18639760531884061	0.6770257673613422
D-Glucose	MOPS Rich Defined media_noCarbon	33.77224413300734	1329	1301	7	11	10	0.39216492125040303	0.23579677740786953	0.7433892702771421
D-Galacturonic Acid monohydrate	MOPS minimal media_noCarbon	0.7013044699685685	1329	1202	79	34	14	0.7517827545041208	0.7354730775807704	0.8793883907778295
D-Glucose	MOPS minimal media_noCarbon	0.8728824162137035	1329	1209	75	33	12	0.7563043632195147	0.7418293838771848	0.853899353899354
D-Mannitol	RCH2_defined_noCarbon	0.9387258675031643	1329	1245	59	18	7	0.8180024273739627	0.7263709617001424	0.9004968673499024
