condition	media	bigg_ids	mapping_confidence	n_experiments	wt_growth	wt_grows	missing_exchanges	n_ko_no_growth	n_genes_fitness_below_threshold
D-Glucose	M9 minimal media_noCarbon	glc__D	high	3	0.8728824162136398	True		87	103
D-Fructose	M9 minimal media_noCarbon	fru	high	2	0.8728824162136499	True		87	105
D-Maltose monohydrate	M9 minimal media_noCarbon	malt	high	2	1.7714488565124376	True		93	130
D-Xylose	M9 minimal media_noCarbon	xyl__D	high	2	0.7137612757440492	True		89	137
D-Galactose	M9 minimal media_noCarbon	gal	high	2	0.8635223491271815	True		90	105
D-Ribose	M9 minimal media_noCarbon	rib__D	high	2	0.685681074484719	True		88	132
L-Fucose	M9 minimal media_noCarbon	fuc__L	high	2	0.8581716182709246	True		90	107
a-Ketoglutaric acid disodium salt hydrate	M9 minimal media_noCarbon	akg	high	2	0.5447326373860019	True		87	161
D-Glucuronic Acid	M9 minimal media_noCarbon	glcur	high	2	0.7013044699685769	True		92	98
D-Gluconic Acid sodium salt	M9 minimal media_noCarbon	glcn	high	2	0.7932989585392906	True		87	101
D-Glucose-6-Phosphate sodium salt	M9 minimal media_noCarbon	g6p	high	2	0.9009626174729881	True		88	120
Potassium acetate	M9 minimal media_noCarbon	ac	high	2	0.20910968867119034	True		87	145
Sodium D-Lactate	M9 minimal media_noCarbon	lac__D	high	2	0.3756740680057566	True		87	134
Sodium D,L-Lactate	M9 minimal media_noCarbon	lac__D;lac__L	high	2	0.7490721855805899	True		87	109
Sodium pyruvate	M9 minimal media_noCarbon	pyr	high	2	0.31246188921859613	True		87	99
Sodium succinate dibasic hexahydrate	M9 minimal media_noCarbon	succ	high	2	0.44790160827160513	True		91	159
Glycolic Acid	M9 minimal media_noCarbon	glyclt	high	2	0.15234862233060745	True		90	164
D-Galacturonic Acid monohydrate	M9 minimal media_noCarbon	galur	high	3	0.701304469968657	True		93	114
Glycerol	M9 minimal media_noCarbon	glyc	high	2	0.49233151277273635	True		87	100
D-Sorbitol	M9 minimal media_noCarbon	sbt__D	high	2	0.9384028858187915	True		91	117
L-Malic acid disodium salt monohydrate	M9 minimal media_noCarbon	mal__L	high	2	0.4091691966258344	True		87	168
D-Trehalose dihydrate	M9 minimal media_noCarbon	tre	high	2	1.771448856512488	True		87	118
D-Serine	M9 minimal media_noCarbon	ser__D	high	2	0.3165339940860139	True		88	95
casamino acids	M9 minimal media_noCarbon	ala__L;arg__L;asn__L;asp__L;cys__L;glu__L;gln__L;gly;his__L;ile__L;leu__L;lys__L;met__L;phe__L;pro__L;ser__L;thr__L;tyr__L;val__L	medium	2	7.36091341007109	True		48	81
N-Acetyl-D-Glucosamine	M9 minimal media_noCarbon	acgam	high	2	1.126002568530355	True		89	115
D-Glucosamine Hydrochloride	M9 minimal media_noCarbon	gam	high	2	0.8731913212719015	True		91	108
D-Mannose	M9 minimal media_noCarbon	man	high	2	0.8728824162134337	True		91	104
D-Galacturonic Acid monohydrate	MOPS Rich Defined media_noCarbon	galur	high	2	12.452524749392936	True		17	23
D-Glucose	MOPS Rich Defined media_noCarbon	glc__D	high	2	12.452524749392943	True		17	18
D-Galacturonic Acid monohydrate	MOPS minimal media_noCarbon	galur	high	1	0.7013044699685729	True		93	113
D-Glucose	MOPS minimal media_noCarbon	glc__D	high	1	0.8728824162136402	True		87	108
D-Mannitol	RCH2_defined_noCarbon	mnl	high	6	0.9387258675031579	True		66	77
