condition	media	wt_growth	n_genes	tp	tn	fp	fn	mcc	aucpr_bernstein	auroc_standard
D-Glucose	M9 minimal media_noCarbon	0.8728824162136515	1329	1205	64	39	21	0.6603082589985774	0.6485588573071974	0.8621097895120289
D-Fructose	M9 minimal media_noCarbon	0.872882416213658	1329	1201	62	43	23	0.6302643775393187	0.6518456239533736	0.8003929349517585
D-Maltose monohydrate	M9 minimal media_noCarbon	1.7714488565127167	1329	1174	66	64	25	0.5726482385247831	0.5657107864469352	0.8146436132674664
D-Xylose	M9 minimal media_noCarbon	0.7137612757006722	1329	1169	64	73	23	0.5505773061715611	0.6166512657509309	0.8084217165531771
D-Galactose	M9 minimal media_noCarbon	0.8635223491258988	1329	1200	64	41	24	0.6399532991901359	0.6736232941662212	0.8860294117647058
D-Ribose	M9 minimal media_noCarbon	0.6856810744847064	1329	1173	62	70	24	0.5466644102700707	0.6061513626225488	0.8300834156097314
L-Fucose	M9 minimal media_noCarbon	0.8581716182709889	1329	1196	62	45	26	0.6107465775434145	0.6535415053328798	0.809936980895422
a-Ketoglutaric acid disodium salt hydrate	M9 minimal media_noCarbon	0.5447326373860092	1329	1148	65	96	20	0.5155614048442075	0.5643910543880734	0.7792372160299499
D-Glucuronic Acid	M9 minimal media_noCarbon	0.7013044699686832	1329	1210	69	29	21	0.714588479342537	0.6885034003476858	0.8821639947611863
D-Gluconic Acid sodium salt	M9 minimal media_noCarbon	0.7932989585392924	1329	1205	62	39	23	0.6445451331897518	0.6618300191416326	0.8314574128422614
D-Glucose-6-Phosphate sodium salt	M9 minimal media_noCarbon	0.9009626174729831	1329	1195	72	48	14	0.6854985547588848	0.7058272037939753	0.8564653984008822
Potassium acetate	M9 minimal media_noCarbon	0.20910968867119772	1329	1160	61	84	24	0.5102174330361721	0.5483311365685553	0.7769833410997204
Sodium D-Lactate	M9 minimal media_noCarbon	0.37567406800575665	1329	1172	62	72	23	0.5456966349345667	0.601060341323224	0.8268500593267971
Sodium D,L-Lactate	M9 minimal media_noCarbon	0.7490721855805892	1329	1196	61	48	24	0.6055302181752042	0.6248226420229299	0.8441118965257933
Sodium pyruvate	M9 minimal media_noCarbon	0.3124618892186019	1329	1203	58	41	27	0.6051433537424509	0.5752737985842693	0.8511907694834524
Sodium succinate dibasic hexahydrate	M9 minimal media_noCarbon	0.44790160827152814	1329	1146	65	94	24	0.5041320702918265	0.611326477701142	0.7770332742030857
Glycolic Acid	M9 minimal media_noCarbon	0.1523486223306078	1329	1148	71	93	17	0.5533264093067785	0.5635817261224102	0.732105097875013
D-Galacturonic Acid monohydrate	M9 minimal media_noCarbon	0.701304469968552	1329	1197	73	41	18	0.6936044936164082	0.6991125480165808	0.8471157317161216
Glycerol	M9 minimal media_noCarbon	0.49233151277271275	1329	1196	52	48	33	0.5316604548719227	0.5128768443547668	0.8126078112286411
D-Sorbitol	M9 minimal media_noCarbon	0.9384028858191414	1329	1187	64	53	25	0.5966765902561326	0.6128570722551165	0.7838460128064089
L-Malic acid disodium salt monohydrate	M9 minimal media_noCarbon	0.4091691966244431	1329	1142	66	102	19	0.5113364846331809	0.5768829910526491	0.7639991181657848
D-Trehalose dihydrate	M9 minimal media_noCarbon	1.7714488565125062	1329	1188	62	56	23	0.5887268487239873	0.6313615720692441	0.7996507998712369
D-Serine	M9 minimal media_noCarbon	0.31653399408601157	1329	1202	54	41	32	0.5681010974410793	0.537079473718675	0.8153459012198243
casamino acids	M9 minimal media_noCarbon	7.360984604642316	1329	1227	25	56	21	0.38191370886950216	0.46123946974571856	0.8345204178537511
N-Acetyl-D-Glucosamine	M9 minimal media_noCarbon	1.126002568530428	1329	1191	64	51	23	0.6110514732164284	0.6218042856893218	0.8292815700881027
D-Glucosamine Hydrochloride	M9 minimal media_noCarbon	0.873191321277082	1329	1197	65	43	24	0.6364040809653854	0.6764897701492869	0.8534178117511453
D-Mannose	M9 minimal media_noCarbon	0.8728824162136466	1329	1201	65	39	24	0.6504698041812494	0.6520207181097619	0.836028257456829
D-Galacturonic Acid monohydrate	MOPS Rich Defined media_noCarbon	37.03594893527464	1329	1294	5	18	12	0.24161894973948875	0.18639760531884061	0.6957187562420933
D-Glucose	MOPS Rich Defined media_noCarbon	37.25370451942013	1329	1301	7	11	10	0.39216492125040303	0.23579677740786953	0.786825154674125
D-Galacturonic Acid monohydrate	MOPS minimal media_noCarbon	0.701304469968605	1329	1202	77	36	14	0.7398382233056233	0.7154169018395404	0.8884053330228225
D-Glucose	MOPS minimal media_noCarbon	0.8728824162136488	1329	1209	73	35	12	0.7438547346362123	0.7226447907487124	0.9084311584311584
D-Mannitol	RCH2_defined_noCarbon	0.938827142081137	1329	1245	57	20	7	0.8016850898129483	0.7162987307265357	0.9109113729720758
