condition	media	wt_growth	n_genes	tp	tn	fp	fn	mcc	aucpr_bernstein	auroc_standard
Sodium L-Lactate	ShewMM_noCarbon	0.09691306733753373	713	589.0	52.0	61.0	11.0	0.5685341015247118	0.47775733135584575	0.787514749262537
Sodium pyruvate	ShewMM_noCarbon	0.09691306733746483	713	580.0	53.0	70.0	10.0	0.5510543229744269	0.47537642386389783	0.7558357447981259
Sodium propionate	ShewMM_noCarbon	3.8890452397934105e-05	713							
N-Acetyl-D-Glucosamine	ShewMM_noCarbon	3.9270773317529175e-05	713							
Adenosine	ShewMM_noCarbon	0.46389145366853096	713	572.0	49.0	77.0	15.0	0.48484117332113774	0.5419120289130308	0.7285227549282063
Uridine	ShewMM_noCarbon	0.390150300250161	713	570.0	47.0	85.0	11.0	0.47899928322089685	0.4819676145451941	0.7184582485787305
Inosine	ShewMM_noCarbon	3.8890452397919645e-05	713							
Cytidine	ShewMM_noCarbon	0.39144472696663357	713	572.0	47.0	83.0	11.0	0.4840030204866946	0.49237260734872135	0.7323327615780446
Sodium D,L-Lactate	ShewMM_noCarbon	0.19363591307829855	713	558.0	56.0	93.0	6.0	0.5269602581656148	0.5539460428976742	0.7096125470036652
L-Glutamine	ShewMM_noCarbon	0.21119462163924077	713	603.0	50.0	47.0	13.0	0.5971626169080737	0.48914278249309	0.7975967331637435
L-Isoleucine	ShewMM_noCarbon	3.9346284413925875e-05	713							
casamino acids	ShewMM_noCarbon	1.229725444672816	713	635.0	26.0	23.0	29.0	0.46170125064163964	0.42238102280564693	0.7883421440865502
