condition	media	wt_growth	n_genes	tp	tn	fp	fn	mcc	aucpr_bernstein	auroc_standard
Sodium L-Lactate	ShewMM_noCarbon	0.09670002256830984	713	587.0	56.0	57.0	13.0	0.5853854398754282	0.5197920190538796	0.7906932153392331
Sodium pyruvate	ShewMM_noCarbon	0.09670002118995082	713	578.0	57.0	66.0	12.0	0.5662249040282231	0.5149698652350648	0.8001240181893344
Sodium propionate	ShewMM_noCarbon	0.0	713							
N-Acetyl-D-Glucosamine	ShewMM_noCarbon	0.0	713							
Adenosine	ShewMM_noCarbon	0.46377447719041626	713	570.0	50.0	76.0	17.0	0.4808821264376393	0.531866594641074	0.7268529785565562
Uridine	ShewMM_noCarbon	0.3899075857098312	713	567.0	50.0	82.0	14.0	0.4819627448513412	0.5559148837401651	0.6942445105095707
Inosine	ShewMM_noCarbon	0.0	713							
Cytidine	ShewMM_noCarbon	0.3912009657259207	713	569.0	50.0	80.0	14.0	0.4871036038990766	0.5746267167359823	0.7158200290275762
Sodium D,L-Lactate	ShewMM_noCarbon	0.1934000423799135	713	556.0	60.0	89.0	8.0	0.5377613456833188	0.6055158943119274	0.6810712075777047
L-Glutamine	ShewMM_noCarbon	0.21097151479435403	713	600.0	53.0	44.0	16.0	0.6034771426334056	0.53740471613155	0.7913710001338867
L-Isoleucine	ShewMM_noCarbon	0.0	713							
casamino acids	ShewMM_noCarbon	1.229291077772149	713	632.0	29.0	20.0	32.0	0.49170874754767546	0.5197332107537677	0.7701469141873618
