condition	media	wt_growth	n_genes	tp	tn	fp	fn	mcc	aucpr_bernstein	auroc_standard
Sodium L-Lactate	ShewMM_noCarbon	0.09670002118994742	669	587.0	24.0	57.0	1.0	0.5066925445330994	0.3850335772777324	0.7096980767615688
Sodium pyruvate	ShewMM_noCarbon	0.09670002118994882	669	578.0	24.0	66.0	1.0	0.47664428970431755	0.3639433432453369	0.714690078679716
Sodium propionate	ShewMM_noCarbon	0.0	669							
N-Acetyl-D-Glucosamine	ShewMM_noCarbon	0.0	669							
Adenosine	ShewMM_noCarbon	0.46377589216949566	669	570.0	23.0	76.0	0.0	0.45275941441788764	0.42529491924664553	0.6541644515328726
Uridine	ShewMM_noCarbon	0.38990758570638756	669	567.0	20.0	82.0	0.0	0.41388919895444043	0.43863964129463057	0.6966836117162915
Inosine	ShewMM_noCarbon	0.0	669							
Cytidine	ShewMM_noCarbon	0.3912009657259001	669	569.0	20.0	80.0	0.0	0.41874417871905273	0.47501948945939226	0.6510017574692444
Sodium D,L-Lactate	ShewMM_noCarbon	0.19340004237969322	669	556.0	24.0	89.0	0.0	0.4278819216516538	0.4046171093479708	0.6305628063920545
L-Glutamine	ShewMM_noCarbon	0.21097151479435305	669	600.0	24.0	44.0	1.0	0.5596658649437724	0.5091217639559587	0.7269134775374377
L-Isoleucine	ShewMM_noCarbon	0.0	669							
casamino acids	ShewMM_noCarbon	1.2293867381136836	669	632.0	13.0	20.0	4.0	0.5334296522996806	0.7334855023496442	0.7040689918048407
