condition	media	bigg_ids	mapping_confidence	n_experiments	wt_growth	wt_grows	missing_exchanges	n_ko_no_growth	n_genes_fitness_below_threshold
Sodium L-Lactate	ShewMM_noCarbon	lac__L	high	2	0.09670002256830984	True		21	86
Sodium pyruvate	ShewMM_noCarbon	pyr	high	2	0.09670002118995082	True		21	95
Sodium propionate	ShewMM_noCarbon	ppa	high	2	0.0	False		674	119
N-Acetyl-D-Glucosamine	ShewMM_noCarbon	acgam	high	2	0.0	False		674	97
Adenosine	ShewMM_noCarbon	adn	high	2	0.46377447719041626	True		19	104
Uridine	ShewMM_noCarbon	uri	high	2	0.3899075857098312	True		17	106
Inosine	ShewMM_noCarbon	ins	high	2	0.0	False		674	103
Cytidine	ShewMM_noCarbon	cytd	high	2	0.3912009657259207	True		17	104
Sodium D,L-Lactate	ShewMM_noCarbon	lac__D;lac__L	high	1	0.1934000423799135	True		20	118
L-Glutamine	ShewMM_noCarbon	gln__L	high	2	0.21097151479435403	True		21	71
L-Isoleucine	ShewMM_noCarbon	ile__L	high	2	0.0	False		674	147
casamino acids	ShewMM_noCarbon	ala__L;arg__L;asn__L;asp__L;cys__L;glu__L;gln__L;gly;his__L;ile__L;leu__L;lys__L;met__L;phe__L;pro__L;ser__L;thr__L;tyr__L;val__L	medium	2	1.229291077772149	True	EX_met__L_e;EX_phe__L_e	13	35
