condition	media	wt_growth	n_genes	tp	tn	fp	fn	mcc	aucpr_bernstein	auroc_standard
Sodium L-Lactate	ShewMM_noCarbon	0.09670002118994742	674	587.0	20.0	66.0	1.0	0.4433182011274287	0.27402200907404817	0.6536347096978325
Sodium pyruvate	ShewMM_noCarbon	0.09670002118994882	674	578.0	20.0	75.0	1.0	0.4181804031990479	0.2727138985326042	0.6177074811380783
Sodium propionate	ShewMM_noCarbon	0.0	674							
N-Acetyl-D-Glucosamine	ShewMM_noCarbon	0.0	674							
Adenosine	ShewMM_noCarbon	0.46377589216949566	674	570.0	19.0	85.0	0.0	0.3987281600606697	0.3364066728261253	0.6108805668016195
Uridine	ShewMM_noCarbon	0.38990758570638756	674	568.0	17.0	89.0	0.0	0.3723599909978966	0.4033795818110382	0.6754667153866596
Inosine	ShewMM_noCarbon	0.0	674							
Cytidine	ShewMM_noCarbon	0.3912009657259001	674	570.0	17.0	87.0	0.0	0.3765845809515668	0.41714035002620137	0.6296221322537112
Sodium D,L-Lactate	ShewMM_noCarbon	0.19340004237969322	674	556.0	20.0	98.0	0.0	0.379596776521555	0.3603086276403842	0.6266385196927203
L-Glutamine	ShewMM_noCarbon	0.21097151479435305	674	602.0	20.0	51.0	1.0	0.49479908946358414	0.43982029714237136	0.6129213089482167
L-Isoleucine	ShewMM_noCarbon	0.0	674							
casamino acids	ShewMM_noCarbon	1.2293867381136836	674	638.0	12.0	23.0	1.0	0.5506027868590502	0.7041338742925025	0.7169237648110888
