condition	media	wt_growth	n_genes	tp	tn	fp	fn	mcc	aucpr_bernstein	auroc_standard
L-Arginine	MOPS minimal media_noCarbon	0.0	1021							
L-Glutamic acid monopotassium salt monohydrate	MOPS minimal media_noCarbon	0.0	1021							
L-Histidine	MOPS minimal media_noCarbon	0.0	1021							
Sodium succinate dibasic hexahydrate	MOPS minimal media_noCarbon	0.0	1021							
a-Ketoglutaric acid disodium salt hydrate	MOPS minimal media_noCarbon	0.0	1021							
Sodium butyrate	MOPS minimal media_noCarbon	0.0	1021							
Vanillin	MOPS minimal media_noCarbon	0.0	1021							
1,2-Propanediol	MOPS minimal media_noCarbon	0.0	1021							
Sodium propionate	MOPS minimal media_noCarbon	0.0	1021							
Hydroxy-L-Proline	MOPS minimal media_noCarbon	0.0	1021							
Vanillic Acid	MOPS minimal media_noCarbon	0.0	1021							
Protocatechuic Acid	MOPS minimal media_noCarbon	0.0	1021							
4-Hydroxybenzoic Acid	MOPS minimal media_noCarbon	0.0	1021							
L-Lysine	MOPS minimal media_noCarbon	0.0	1021							
p-Coumaric acid	MOPS minimal media_noCarbon	0.0	1021							
benzoic acid	MOPS minimal media_noCarbon	0.8024891181458972	1021	954.0	32.0	34.0	1.0	0.6726750197639055	0.5086932525336387	0.7406393780739331
Ferulic Acid	MOPS minimal media_noCarbon	0.0	1021							
D-Glucose	MOPS minimal media_noCarbon	0.0	1021							
Phenylacetic acid	MOPS minimal media_noCarbon	0.0	1021							
3-Methyl-2-Oxobutanoic Acid	MOPS minimal media_noCarbon	0.0	1021							
4-Methyl-2-oxovaleric acid	MOPS minimal media_noCarbon	0.0	1021							
Hexanoic acid	MOPS minimal media_noCarbon	0.0	1021							
Decanoic acid	MOPS minimal media_noCarbon	0.0	1021							
Lauric acid	MOPS minimal media_noCarbon	0.0	1021							
Octanoic acid	MOPS minimal media_noCarbon	0.0	1021							
Myristic acid	MOPS minimal media_noCarbon	0.0	1021							
Oleic acid	MOPS minimal media_noCarbon	0.0	1021							
Butanol	MOPS minimal media_noCarbon	0.0	1021							
3-methyl-1-butanol	MOPS minimal media_noCarbon	0.0	1021							
Ethanol	MOPS minimal media_noCarbon	0.0	1021							
L-Valine	MOPS minimal media_noCarbon	0.0	1021							
L-Leucine	MOPS minimal media_noCarbon	0.0	1021							
L-Isoleucine	MOPS minimal media_noCarbon	0.0	1021							
3-methyl-2-oxopentanoic acid	MOPS minimal media_noCarbon	0.0	1021							
D-Glucose	RCH2_defined_noCarbon	0.0	1021							
Potassium acetate	RCH2_defined_noCarbon	0.0	1021							
D-Galacturonic Acid monohydrate	MOPS minimal media_noCarbon	0.0	1021							
Vanillin	RCH2_defined_noCarbon	0.0	1021							
p-Coumaric acid	RCH2_defined_noCarbon	0.0	1021							
D-Glucuronic Acid	MOPS minimal media_noCarbon	0.0	1021							
4-Aminobutyric acid	MOPS minimal media_noCarbon	0.0	1021							
5-Aminovaleric acid	MOPS minimal media_noCarbon	0.0	1021							
D-Lysine	MOPS minimal media_noCarbon	0.0	1021							
