condition	media	wt_growth	n_genes	tp	tn	fp	fn	mcc	aucpr_bernstein	auroc_standard
L-Arginine	MOPS minimal media_noCarbon	0.8941805345435955	1021	961.0	23.0	33.0	4.0	0.5769219724095899	0.5325992141076412	0.7818745373797188
L-Glutamic acid monopotassium salt monohydrate	MOPS minimal media_noCarbon	0.6881368047425567	1021	962.0	28.0	29.0	2.0	0.6650029168391544	0.5579714637553927	0.7694456577127466
L-Histidine	MOPS minimal media_noCarbon	0.7758902462304038	1021	971.0	22.0	25.0	3.0	0.6305018703224786	0.5798786251509832	0.7847219188256367
Sodium succinate dibasic hexahydrate	MOPS minimal media_noCarbon	0.5004631307218634	1021	972.0	25.0	19.0	5.0	0.6770706875452913	0.7436260040920819	0.8108890853261377
a-Ketoglutaric acid disodium salt hydrate	MOPS minimal media_noCarbon	0.6151525981789465	1021	975.0	23.0	16.0	7.0	0.6612603207422616	0.46394516175628364	0.8582954723484254
Sodium butyrate	MOPS minimal media_noCarbon	0.0	1021							
Vanillin	MOPS minimal media_noCarbon	0.925788486334463	1021	940.0	30.0	47.0	4.0	0.5671719223184066	0.5895241661247965	0.7603868589038081
1,2-Propanediol	MOPS minimal media_noCarbon	0.0	1021							
Sodium propionate	MOPS minimal media_noCarbon	0.40159698201600375	1021	959.0	30.0	29.0	3.0	0.6667692898770541	0.6272475807021072	0.7786391345713379
Hydroxy-L-Proline	MOPS minimal media_noCarbon	0.0	1021							
Vanillic Acid	MOPS minimal media_noCarbon	0.8654109763561241	1021	947.0	29.0	41.0	4.0	0.5859654609860449	0.5385761412291485	0.7141129637975063
Protocatechuic Acid	MOPS minimal media_noCarbon	0.7917985912408669	1021	954.0	34.0	30.0	3.0	0.6849773564286469	0.7078258090958497	0.7608248432601881
4-Hydroxybenzoic Acid	MOPS minimal media_noCarbon	0.7194157504126569	1021	950.0	34.0	34.0	3.0	0.6628718527191896	0.6582898578715117	0.8162922041849269
L-Lysine	MOPS minimal media_noCarbon	0.7457781562874894	1021	951.0	28.0	39.0	3.0	0.5985715579112739	0.5382709744289617	0.739697737726462
p-Coumaric acid	MOPS minimal media_noCarbon	1.0122994647525785	1021	947.0	30.0	42.0	2.0	0.6091338881540679	0.4352735140765386	0.8144464933848496
benzoic acid	MOPS minimal media_noCarbon	0.8024891181458945	1021	954.0	32.0	34.0	1.0	0.6726750197639055	0.5086932525336387	0.8272330636204982
Ferulic Acid	MOPS minimal media_noCarbon	0.0	1021							
D-Glucose	MOPS minimal media_noCarbon	0.9240026512470426	1021	961.0	26.0	30.0	4.0	0.6203700237155674	0.5685764519171367	0.8486028867505553
Phenylacetic acid	MOPS minimal media_noCarbon	1.1125271345282939	1021	945.0	37.0	36.0	3.0	0.6688980168264071	0.7353857848304303	0.7572755910062999
3-Methyl-2-Oxobutanoic Acid	MOPS minimal media_noCarbon	0.0	1021							
4-Methyl-2-oxovaleric acid	MOPS minimal media_noCarbon	0.0	1021							
Hexanoic acid	MOPS minimal media_noCarbon	0.0	1021							
Decanoic acid	MOPS minimal media_noCarbon	1.8019157562935084	1021	960.0	28.0	31.0	2.0	0.6528529787562802	0.5092768020259248	0.8384456816660206
Lauric acid	MOPS minimal media_noCarbon	2.1832254730424467	1021	955.0	28.0	35.0	3.0	0.6188725608102187	0.5065228737180764	0.7599496305133048
Octanoic acid	MOPS minimal media_noCarbon	1.4037023294882551	1021	961.0	28.0	30.0	2.0	0.6588512044378445	0.5634065682359841	0.740591542235113
Myristic acid	MOPS minimal media_noCarbon	2.5470963852162005	1021	956.0	27.0	34.0	4.0	0.6056592979050938	0.5620127118702076	0.7493937841530055
Oleic acid	MOPS minimal media_noCarbon	3.274838209563716	1021	959.0	26.0	31.0	5.0	0.6034056698575294	0.6482598648781567	0.7065862269782339
Butanol	MOPS minimal media_noCarbon	0.0	1021							
3-methyl-1-butanol	MOPS minimal media_noCarbon	0.0	1021							
Ethanol	MOPS minimal media_noCarbon	0.3638709121737423	1021	968.0	27.0	23.0	3.0	0.6861182641817334	0.6695886870758485	0.823264675592173
L-Valine	MOPS minimal media_noCarbon	0.7672406637291195	1021	954.0	32.0	29.0	6.0	0.6490032005797308	0.621089372457975	0.7535262978142077
L-Leucine	MOPS minimal media_noCarbon	0.0	1021							
L-Isoleucine	MOPS minimal media_noCarbon	1.0040800146680398	1021	935.0	34.0	48.0	4.0	0.5891845028612027	0.5358051312521523	0.7182459284656744
3-methyl-2-oxopentanoic acid	MOPS minimal media_noCarbon	0.0	1021							
D-Glucose	RCH2_defined_noCarbon	0.9240894239271275	1021	962.0	24.0	31.0	4.0	0.5974808502115918	0.7088991755170797	0.7721437982307546
Potassium acetate	RCH2_defined_noCarbon	0.24879605606865934	1021	961.0	24.0	32.0	4.0	0.5917065405195734	0.5292514658274279	0.7895540340488528
D-Galacturonic Acid monohydrate	MOPS minimal media_noCarbon	0.0	1021							
Vanillin	RCH2_defined_noCarbon	0.9258742386146835	1021	924.0	26.0	65.0	6.0	0.45666941465917676	0.5235654879596129	0.7737149946827366
p-Coumaric acid	RCH2_defined_noCarbon	1.0123939881752242	1021	949.0	26.0	42.0	4.0	0.5583082789603178	0.6042342115489892	0.7936855749645084
D-Glucuronic Acid	MOPS minimal media_noCarbon	0.0	1021							
4-Aminobutyric acid	MOPS minimal media_noCarbon	0.67771048951919	1021	972.0	25.0	19.0	5.0	0.6770706875452913	0.7208356914100307	0.8257653298594958
5-Aminovaleric acid	MOPS minimal media_noCarbon	0.0	1021							
D-Lysine	MOPS minimal media_noCarbon	0.0	1021							
