condition	media	wt_growth	n_genes	tp	tn	fp	fn	mcc	aucpr_bernstein	auroc_standard
L-Arginine	MOPS minimal media_noCarbon	0.8941805345435955	1038	961.0	23.0	33.0	21.0	0.43656345663275314	0.3687674442308418	0.7426080157113762
L-Glutamic acid monopotassium salt monohydrate	MOPS minimal media_noCarbon	0.6881368047425567	1038	962.0	28.0	29.0	19.0	0.5170105565206118	0.4017316957994377	0.7927463919738182
L-Histidine	MOPS minimal media_noCarbon	0.7758902462304038	1038	971.0	22.0	25.0	20.0	0.4726241077098678	0.3839859948942646	0.7253365394937416
Sodium succinate dibasic hexahydrate	MOPS minimal media_noCarbon	0.5004631307218634	1038	972.0	25.0	19.0	22.0	0.5291336819155672	0.5288783895960762	0.7533953722334005
a-Ketoglutaric acid disodium salt hydrate	MOPS minimal media_noCarbon	0.6151525981789465	1038	975.0	23.0	16.0	24.0	0.5174048444955206	0.3401907636530698	0.7881984548651215
Sodium butyrate	MOPS minimal media_noCarbon	0.0	1038							
Vanillin	MOPS minimal media_noCarbon	0.925788486334463	1038	940.0	30.0	47.0	21.0	0.44588791410710704	0.43202631500429006	0.7688081949268213
1,2-Propanediol	MOPS minimal media_noCarbon	0.0	1038							
Sodium propionate	MOPS minimal media_noCarbon	0.40159698201600375	1038	959.0	30.0	29.0	20.0	0.5277329969899504	0.45067634435494824	0.7596302003081664
Hydroxy-L-Proline	MOPS minimal media_noCarbon	0.0	1038							
Vanillic Acid	MOPS minimal media_noCarbon	0.8654109763561241	1038	947.0	29.0	41.0	21.0	0.4597948642076679	0.3991199498368591	0.7675841204250297
Protocatechuic Acid	MOPS minimal media_noCarbon	0.7917985912408669	1038	954.0	34.0	30.0	20.0	0.5531648827660052	0.5359487220162833	0.7952226642710474
4-Hydroxybenzoic Acid	MOPS minimal media_noCarbon	0.7194157504126569	1038	950.0	34.0	34.0	20.0	0.5341055772374316	0.49981584851215854	0.777630382049727
L-Lysine	MOPS minimal media_noCarbon	0.7457781562874894	1038	951.0	28.0	39.0	20.0	0.4648809101709465	0.38702727099379286	0.7101080590866471
p-Coumaric acid	MOPS minimal media_noCarbon	1.0122994647525785	1038	947.0	30.0	42.0	19.0	0.47560549916055894	0.32093437865528734	0.7940246146767886
benzoic acid	MOPS minimal media_noCarbon	0.8024891181458945	1038	954.0	32.0	34.0	18.0	0.5314163961411019	0.37909670724422134	0.7426112981668537
Ferulic Acid	MOPS minimal media_noCarbon	0.0	1038							
D-Glucose	MOPS minimal media_noCarbon	0.9240026512470426	1038	961.0	26.0	30.0	21.0	0.48124967782430045	0.40447765731214685	0.7929971632237417
Phenylacetic acid	MOPS minimal media_noCarbon	1.1125271345282939	1038	945.0	37.0	36.0	20.0	0.5456324014951375	0.5578032043445198	0.8050961743203916
3-Methyl-2-Oxobutanoic Acid	MOPS minimal media_noCarbon	0.0	1038							
4-Methyl-2-oxovaleric acid	MOPS minimal media_noCarbon	0.0	1038							
Hexanoic acid	MOPS minimal media_noCarbon	0.0	1038							
Decanoic acid	MOPS minimal media_noCarbon	1.8019157562935084	1038	960.0	28.0	31.0	19.0	0.5068786480692338	0.37987388335093175	0.7780682467408806
Lauric acid	MOPS minimal media_noCarbon	2.1832254730424467	1038	955.0	28.0	35.0	20.0	0.4819812917938817	0.3836569694628399	0.7303133903133903
Octanoic acid	MOPS minimal media_noCarbon	1.4037023294882551	1038	961.0	29.0	30.0	18.0	0.526890820930512	0.4237619072685473	0.7745277955714063
Myristic acid	MOPS minimal media_noCarbon	2.5470963852162005	1038	956.0	27.0	34.0	21.0	0.471616183638603	0.4182051492996692	0.6967632598956323
Oleic acid	MOPS minimal media_noCarbon	3.274838209563716	1038	959.0	27.0	31.0	21.0	0.48568927310622095	0.4771873790846583	0.7122361013370865
Butanol	MOPS minimal media_noCarbon	0.0	1038							
3-methyl-1-butanol	MOPS minimal media_noCarbon	0.0	1038							
Ethanol	MOPS minimal media_noCarbon	0.3638709121737423	1038	968.0	27.0	23.0	20.0	0.5352764496768263	0.487775159050132	0.7463765182186235
L-Valine	MOPS minimal media_noCarbon	0.7672406637291195	1038	954.0	32.0	29.0	23.0	0.5260585026572691	0.4673613934057671	0.765894256422303
L-Leucine	MOPS minimal media_noCarbon	0.0	1038							
L-Isoleucine	MOPS minimal media_noCarbon	1.0040800146680398	1038	935.0	34.0	48.0	21.0	0.472827641917008	0.41112805296034266	0.7489603530972547
3-methyl-2-oxopentanoic acid	MOPS minimal media_noCarbon	0.0	1038							
D-Glucose	RCH2_defined_noCarbon	0.9240894239271275	1038	962.0	25.0	31.0	20.0	0.4726521633996399	0.5017367115039387	0.8015529531568227
Potassium acetate	RCH2_defined_noCarbon	0.24879605606865934	1038	961.0	25.0	32.0	20.0	0.4678262229759448	0.38577065913963754	0.8214228231128279
D-Galacturonic Acid monohydrate	MOPS minimal media_noCarbon	0.0	1038							
Vanillin	RCH2_defined_noCarbon	0.9258742386146835	1038	924.0	28.0	65.0	21.0	0.37552303860719005	0.3840059590336686	0.7163907378961142
p-Coumaric acid	RCH2_defined_noCarbon	1.0123939881752242	1038	949.0	27.0	42.0	20.0	0.44410093423224045	0.4340674591088921	0.7462945513827194
D-Glucuronic Acid	MOPS minimal media_noCarbon	0.0	1038							
4-Aminobutyric acid	MOPS minimal media_noCarbon	0.67771048951919	1038	972.0	25.0	19.0	22.0	0.5291336819155672	0.5075928193145118	0.7715154563746113
5-Aminovaleric acid	MOPS minimal media_noCarbon	0.0	1038							
D-Lysine	MOPS minimal media_noCarbon	0.0	1038							
