condition	media	wt_growth	n_genes	tp	tn	fp	fn	mcc	aucpr_bernstein	auroc_standard
L-Arginine	MOPS minimal media_noCarbon	0.8941805345435997	1038	958.0	27.0	29.0	24.0	0.47839848292489867	0.38783233796276617	0.7852778585976141
L-Glutamic acid monopotassium salt monohydrate	MOPS minimal media_noCarbon	0.6846714496950592	1038	959.0	34.0	23.0	22.0	0.5788730665923145	0.4702321721929301	0.8100845896596741
L-Histidine	MOPS minimal media_noCarbon	0.7719610958168355	1038	967.0	28.0	19.0	24.0	0.5447310934144569	0.45523040151863664	0.8094445756489255
Sodium succinate dibasic hexahydrate	MOPS minimal media_noCarbon	0.49794287250551045	1038	968.0	30.0	14.0	26.0	0.5847217974031214	0.5667844619726243	0.8912794951527345
a-Ketoglutaric acid disodium salt hydrate	MOPS minimal media_noCarbon	0.6120547807880228	1038	971.0	28.0	11.0	28.0	0.5807168924064486	0.42896074055343736	0.8857447190780524
Sodium butyrate	MOPS minimal media_noCarbon	0.0	1038							
Vanillin	MOPS minimal media_noCarbon	0.9212880558615415	1038	937.0	36.0	41.0	24.0	0.49697286048620193	0.46736494888180224	0.8005865102639296
1,2-Propanediol	MOPS minimal media_noCarbon	0.0	1038							
Sodium propionate	MOPS minimal media_noCarbon	0.3995994882859396	1038	955.0	36.0	23.0	24.0	0.5810505513404739	0.49841443324023893	0.8321618393033361
Hydroxy-L-Proline	MOPS minimal media_noCarbon	0.0	1038							
Vanillic Acid	MOPS minimal media_noCarbon	0.861204052218397	1038	944.0	35.0	35.0	24.0	0.5146972185557682	0.4385518338794365	0.767443919716647
Protocatechuic Acid	MOPS minimal media_noCarbon	0.7879647942223709	1038	950.0	40.0	24.0	24.0	0.6003593429158111	0.5875732767561317	0.8569285805954825
4-Hydroxybenzoic Acid	MOPS minimal media_noCarbon	0.7157928792266977	1038	947.0	41.0	27.0	23.0	0.5958291991984958	0.5448360810782246	0.8254396604002426
L-Lysine	MOPS minimal media_noCarbon	0.7457781562875528	1038	947.0	33.0	34.0	24.0	0.5046082634790587	0.4237248687503113	0.7704705104754292
p-Coumaric acid	MOPS minimal media_noCarbon	1.0073980280573216	1038	944.0	37.0	35.0	22.0	0.5389149990833884	0.3863798656255327	0.831622383252818
benzoic acid	MOPS minimal media_noCarbon	0.7985011218348194	1038	951.0	38.0	28.0	21.0	0.5840057903441752	0.4359019957781919	0.8367315126574386
Ferulic Acid	MOPS minimal media_noCarbon	0.0	1038							
D-Glucose	MOPS minimal media_noCarbon	0.9192631951466766	1038	958.0	32.0	24.0	24.0	0.5469886528949666	0.5099519525517295	0.8496053971486761
Phenylacetic acid	MOPS minimal media_noCarbon	1.1071404070719224	1038	942.0	43.0	30.0	23.0	0.5922805087645264	0.5965629818059824	0.8108950244871884
3-Methyl-2-Oxobutanoic Acid	MOPS minimal media_noCarbon	0.0	1038							
4-Methyl-2-oxovaleric acid	MOPS minimal media_noCarbon	0.0	1038							
Hexanoic acid	MOPS minimal media_noCarbon	0.0	1038							
Decanoic acid	MOPS minimal media_noCarbon	1.7932495046517725	1038	956.0	33.0	26.0	23.0	0.549153232360011	0.4687990184090104	0.7814961652325964
Lauric acid	MOPS minimal media_noCarbon	2.1832254730424414	1038	951.0	33.0	30.0	24.0	0.5232028835942373	0.49829255937628897	0.8077899877899878
Octanoic acid	MOPS minimal media_noCarbon	1.396951271579552	1038	957.0	34.0	25.0	22.0	0.5675707139493387	0.4917443765239151	0.8432939180415852
Myristic acid	MOPS minimal media_noCarbon	2.5470963852162494	1038	952.0	32.0	29.0	25.0	0.5151601132582841	0.47875394534583743	0.7531167676225314
Oleic acid	MOPS minimal media_noCarbon	3.2748382095637285	1038	955.0	32.0	26.0	25.0	0.5305391617599794	0.5317513286738079	0.7717452498240674
Butanol	MOPS minimal media_noCarbon	0.0	1038							
3-methyl-1-butanol	MOPS minimal media_noCarbon	0.0	1038							
Ethanol	MOPS minimal media_noCarbon	0.3638709121737339	1038	964.0	32.0	18.0	24.0	0.5835645041516194	0.5758620414648756	0.7880668016194332
L-Valine	MOPS minimal media_noCarbon	0.7644493104712482	1038	951.0	39.0	22.0	26.0	0.594798402852946	0.5383374064873686	0.8366864103897849
L-Leucine	MOPS minimal media_noCarbon	0.0	1038							
L-Isoleucine	MOPS minimal media_noCarbon	0.9990597947915927	1038	932.0	41.0	41.0	24.0	0.5287139075558884	0.49085261793502444	0.7734590264312684
3-methyl-2-oxopentanoic acid	MOPS minimal media_noCarbon	0.0	1038							
D-Glucose	RCH2_defined_noCarbon	0.9197596005616518	1038	965.0	30.0	26.0	17.0	0.5632889561264229	0.5507809661313001	0.7851778440500436
Potassium acetate	RCH2_defined_noCarbon	0.24775019823644226	1038	964.0	30.0	27.0	17.0	0.557689499682893	0.4561552123579961	0.8695656061662822
D-Galacturonic Acid monohydrate	MOPS minimal media_noCarbon	0.0	1038							
Vanillin	RCH2_defined_noCarbon	0.921814326232516	1038	927.0	33.0	60.0	18.0	0.4436933127707087	0.4137354034437864	0.7745064573021562
p-Coumaric acid	RCH2_defined_noCarbon	1.0079631488305743	1038	952.0	33.0	36.0	17.0	0.535990640845524	0.5041578135626211	0.8305290079418495
D-Glucuronic Acid	MOPS minimal media_noCarbon	0.0	1038							
4-Aminobutyric acid	MOPS minimal media_noCarbon	0.6742976398512152	1038	967.0	29.0	15.0	27.0	0.5635563201502116	0.5238320217470125	0.829488293396744
5-Aminovaleric acid	MOPS minimal media_noCarbon	0.0	1038							
D-Lysine	MOPS minimal media_noCarbon	0.0	1038							
