condition	media	wt_growth	n_genes	tp	tn	fp	fn	mcc	aucpr_bernstein	auroc_standard
L-Arginine	MOPS minimal media_noCarbon	0.8941805345435955	1038	961.0	26.0	30.0	21.0	0.48124967782430045	0.3967445413602398	0.8166460576083795
L-Glutamic acid monopotassium salt monohydrate	MOPS minimal media_noCarbon	0.6846714496950751	1038	962.0	33.0	24.0	19.0	0.5843775217647956	0.4858755468072416	0.8346477815333441
L-Histidine	MOPS minimal media_noCarbon	0.7719610958154676	1038	971.0	28.0	19.0	20.0	0.5698236137404269	0.4745169374318379	0.8469630933722652
Sodium succinate dibasic hexahydrate	MOPS minimal media_noCarbon	0.4979428725055078	1038	972.0	30.0	14.0	22.0	0.6092790760661513	0.5971883802365702	0.9061528260471923
a-Ketoglutaric acid disodium salt hydrate	MOPS minimal media_noCarbon	0.612054780788025	1038	975.0	28.0	11.0	24.0	0.6049051205657332	0.45648912676643655	0.8924308924308924
Sodium butyrate	MOPS minimal media_noCarbon	0.0	1038							
Vanillin	MOPS minimal media_noCarbon	0.921288055861537	1038	940.0	35.0	42.0	21.0	0.5019233343765663	0.48257082392315465	0.831290457721259
1,2-Propanediol	MOPS minimal media_noCarbon	0.0	1038							
Sodium propionate	MOPS minimal media_noCarbon	0.39959948828593644	1038	959.0	36.0	23.0	20.0	0.604405677127994	0.5154177262841734	0.8285001990962763
Hydroxy-L-Proline	MOPS minimal media_noCarbon	0.0	1038							
Vanillic Acid	MOPS minimal media_noCarbon	0.8612040522183882	1038	947.0	34.0	36.0	21.0	0.5194758484045957	0.45394891109337077	0.7922520661157026
Protocatechuic Acid	MOPS minimal media_noCarbon	0.7879647942223751	1038	954.0	40.0	24.0	20.0	0.6230119487907112	0.6077058324894237	0.8706205082135524
4-Hydroxybenzoic Acid	MOPS minimal media_noCarbon	0.7157928792266802	1038	950.0	40.0	28.0	20.0	0.6017976174258552	0.5644926761178233	0.8324363250454823
L-Lysine	MOPS minimal media_noCarbon	0.7457781562875674	1038	951.0	33.0	34.0	20.0	0.5268387931788779	0.43820406418984065	0.779116774520805
p-Coumaric acid	MOPS minimal media_noCarbon	1.0073980280565613	1038	947.0	36.0	36.0	19.0	0.5448005808034392	0.39368626198719886	0.8717650103519669
benzoic acid	MOPS minimal media_noCarbon	0.7985011218347917	1038	954.0	37.0	29.0	18.0	0.5904952701612401	0.4469414759364025	0.83741738371368
Ferulic Acid	MOPS minimal media_noCarbon	0.0	1038							
D-Glucose	MOPS minimal media_noCarbon	0.9192631951472663	1038	961.0	31.0	25.0	21.0	0.5511546572858689	0.5290284356473223	0.8561790805935409
Phenylacetic acid	MOPS minimal media_noCarbon	1.1071404070719173	1038	945.0	42.0	31.0	20.0	0.598408248042329	0.6168409458260958	0.8378380296685356
3-Methyl-2-Oxobutanoic Acid	MOPS minimal media_noCarbon	0.0	1038							
4-Methyl-2-oxovaleric acid	MOPS minimal media_noCarbon	0.0	1038							
Hexanoic acid	MOPS minimal media_noCarbon	0.0	1038							
Decanoic acid	MOPS minimal media_noCarbon	1.793249504651775	1038	960.0	33.0	26.0	19.0	0.5730627684836849	0.4897654171326689	0.8286387008535171
Lauric acid	MOPS minimal media_noCarbon	2.1832254730424596	1038	955.0	33.0	30.0	20.0	0.5459345981258663	0.5169656718379638	0.7727635327635327
Octanoic acid	MOPS minimal media_noCarbon	1.3969512715795571	1038	961.0	34.0	25.0	18.0	0.5921366847822183	0.5147304327097962	0.863428611000502
Myristic acid	MOPS minimal media_noCarbon	2.5470963852162196	1038	956.0	32.0	29.0	21.0	0.5375351089650532	0.4980700803762304	0.7654831619041227
Oleic acid	MOPS minimal media_noCarbon	3.274838209563664	1038	959.0	32.0	26.0	21.0	0.5533360694692143	0.5555789417523807	0.7426020408163265
Butanol	MOPS minimal media_noCarbon	0.0	1038							
3-methyl-1-butanol	MOPS minimal media_noCarbon	0.0	1038							
Ethanol	MOPS minimal media_noCarbon	0.36387091217374246	1038	968.0	32.0	18.0	20.0	0.6083378596903251	0.607749376691502	0.8372368421052631
L-Valine	MOPS minimal media_noCarbon	0.7644493104712361	1038	954.0	38.0	23.0	23.0	0.5994093662432672	0.5537435589863483	0.8241773914794369
L-Leucine	MOPS minimal media_noCarbon	0.0	1038							
L-Isoleucine	MOPS minimal media_noCarbon	0.9990597947947782	1038	935.0	40.0	42.0	21.0	0.5342676920958479	0.5068428732217369	0.7655628125318911
3-methyl-2-oxopentanoic acid	MOPS minimal media_noCarbon	0.0	1038							
D-Glucose	RCH2_defined_noCarbon	0.9193490799093367	1038	962.0	30.0	26.0	20.0	0.5437341546441641	0.5414241123387801	0.8224469013674717
Potassium acetate	RCH2_defined_noCarbon	0.24759989789535794	1038	961.0	30.0	27.0	20.0	0.5382667353920801	0.43356003556551864	0.8795357404724861
D-Galacturonic Acid monohydrate	MOPS minimal media_noCarbon	0.0	1038							
Vanillin	RCH2_defined_noCarbon	0.9213729764142555	1038	924.0	33.0	60.0	21.0	0.4277664527345598	0.4093317507759178	0.7494339193263926
p-Coumaric acid	RCH2_defined_noCarbon	1.0074916383114692	1038	949.0	33.0	36.0	20.0	0.5178886135057533	0.4893448394314085	0.8153856508278369
D-Glucuronic Acid	MOPS minimal media_noCarbon	0.0	1038							
4-Aminobutyric acid	MOPS minimal media_noCarbon	0.6742976398512057	1038	971.0	29.0	15.0	23.0	0.5873592202171056	0.5560878952942341	0.8378909822571794
5-Aminovaleric acid	MOPS minimal media_noCarbon	0.0	1038							
D-Lysine	MOPS minimal media_noCarbon	0.0	1038							
