condition	media	wt_growth	n_genes	tp	tn	fp	fn	mcc	aucpr_bernstein	auroc_standard
L-Arginine	MOPS minimal media_noCarbon	0.8941805345435955	1021	961.0	26.0	30.0	4.0	0.6203700237155674	0.554053031181719	0.7752405625462621
L-Glutamic acid monopotassium salt monohydrate	MOPS minimal media_noCarbon	0.6846714496950751	1021	962.0	33.0	24.0	2.0	0.7279196389936249	0.6517653291404198	0.8619512994103516
L-Histidine	MOPS minimal media_noCarbon	0.7719610958154676	1021	971.0	27.0	20.0	3.0	0.7090258519396603	0.6546146388515929	0.7843505614050417
Sodium succinate dibasic hexahydrate	MOPS minimal media_noCarbon	0.4979428725055078	1021	972.0	30.0	14.0	5.0	0.7552619777392054	0.803629828648115	0.8874220712757048
a-Ketoglutaric acid disodium salt hydrate	MOPS minimal media_noCarbon	0.612054780788025	1021	975.0	28.0	11.0	7.0	0.7488165874079302	0.6100422098307825	0.9205833202778212
Sodium butyrate	MOPS minimal media_noCarbon	0.0	1021							
Vanillin	MOPS minimal media_noCarbon	0.921288055861537	1021	940.0	35.0	42.0	4.0	0.6203733532044375	0.6350697438620727	0.7956677856042262
1,2-Propanediol	MOPS minimal media_noCarbon	0.0	1021							
Sodium propionate	MOPS minimal media_noCarbon	0.39959948828593644	1021	959.0	35.0	24.0	3.0	0.7273977450357465	0.676254328624766	0.8398992212551534
Hydroxy-L-Proline	MOPS minimal media_noCarbon	0.0	1021							
Vanillic Acid	MOPS minimal media_noCarbon	0.8612040522183882	1021	947.0	34.0	36.0	4.0	0.6427978224789307	0.5918092212945966	0.8120174252666367
Protocatechuic Acid	MOPS minimal media_noCarbon	0.7879647942223751	1021	954.0	39.0	25.0	3.0	0.739902847470313	0.7618748702444937	0.8802818051201672
4-Hydroxybenzoic Acid	MOPS minimal media_noCarbon	0.7157928792266802	1021	950.0	39.0	29.0	3.0	0.7160614844801498	0.7032859180081218	0.8352879451885686
L-Lysine	MOPS minimal media_noCarbon	0.7457781562875674	1021	951.0	33.0	34.0	3.0	0.657051897639665	0.5851525900058591	0.8167965205419444
p-Coumaric acid	MOPS minimal media_noCarbon	1.0073980280565613	1021	947.0	35.0	37.0	2.0	0.6630550110877111	0.507859268735831	0.8217787729774032
benzoic acid	MOPS minimal media_noCarbon	0.7985011218347917	1021	954.0	37.0	29.0	1.0	0.7268602770338176	0.5822519709955588	0.8503252419482786
Ferulic Acid	MOPS minimal media_noCarbon	0.0	1021							
D-Glucose	MOPS minimal media_noCarbon	0.9192631951472663	1021	961.0	31.0	25.0	4.0	0.6875347842020717	0.7219474734175191	0.8355662472242783
Phenylacetic acid	MOPS minimal media_noCarbon	1.1071404070719173	1021	945.0	42.0	31.0	3.0	0.7182332708066073	0.7910550660346097	0.8561788335934339
3-Methyl-2-Oxobutanoic Acid	MOPS minimal media_noCarbon	0.0	1021							
4-Methyl-2-oxovaleric acid	MOPS minimal media_noCarbon	0.0	1021							
Hexanoic acid	MOPS minimal media_noCarbon	0.0	1021							
Decanoic acid	MOPS minimal media_noCarbon	1.793249504651775	1021	960.0	33.0	26.0	2.0	0.7146373468665017	0.6430831514410508	0.8645389196236654
Lauric acid	MOPS minimal media_noCarbon	2.1832254730424596	1021	955.0	33.0	30.0	3.0	0.6792863558857154	0.6747839786142297	0.7726414156476786
Octanoic acid	MOPS minimal media_noCarbon	1.3969512715795571	1021	961.0	33.0	25.0	2.0	0.7211945579689772	0.6658574968075636	0.8317846528449171
Myristic acid	MOPS minimal media_noCarbon	2.5470963852162196	1021	956.0	32.0	29.0	4.0	0.6687873736251908	0.6489054060740409	0.7148992486338797
Oleic acid	MOPS minimal media_noCarbon	3.274838209563664	1021	959.0	31.0	26.0	5.0	0.6705508668515406	0.7292160792388045	0.731355099366674
Butanol	MOPS minimal media_noCarbon	0.0	1021							
3-methyl-1-butanol	MOPS minimal media_noCarbon	0.0	1021							
Ethanol	MOPS minimal media_noCarbon	0.36387091217374246	1021	968.0	32.0	18.0	3.0	0.7554408738814884	0.8097711387951889	0.8266014418125643
L-Valine	MOPS minimal media_noCarbon	0.7644493104712361	1021	954.0	37.0	24.0	6.0	0.7083869617803298	0.6822726295111787	0.8478995901639346
L-Leucine	MOPS minimal media_noCarbon	0.0	1021							
L-Isoleucine	MOPS minimal media_noCarbon	0.9990597947947782	1021	935.0	39.0	43.0	4.0	0.637792622289624	0.6134622170542541	0.8048196057040442
3-methyl-2-oxopentanoic acid	MOPS minimal media_noCarbon	0.0	1021							
D-Glucose	RCH2_defined_noCarbon	0.9193490799093367	1021	962.0	29.0	26.0	4.0	0.667798905603206	0.7240524093530389	0.7910408432147562
Potassium acetate	RCH2_defined_noCarbon	0.24759989789535794	1021	961.0	29.0	27.0	4.0	0.6613661965887438	0.5667225809156923	0.8339655810510733
D-Galacturonic Acid monohydrate	MOPS minimal media_noCarbon	0.0	1021							
Vanillin	RCH2_defined_noCarbon	0.9213729764142555	1021	924.0	31.0	60.0	6.0	0.509542304452487	0.5335352468666086	0.7294044665012408
p-Coumaric acid	RCH2_defined_noCarbon	1.0074916383114692	1021	949.0	31.0	37.0	4.0	0.6189622654322954	0.6165180080621608	0.8039472872044935
D-Glucuronic Acid	MOPS minimal media_noCarbon	0.0	1021							
4-Aminobutyric acid	MOPS minimal media_noCarbon	0.6742976398512057	1021	971.0	29.0	15.0	6.0	0.7287538141341271	0.7529164103544786	0.8234739927421607
5-Aminovaleric acid	MOPS minimal media_noCarbon	0.0	1021							
D-Lysine	MOPS minimal media_noCarbon	0.0	1021							
