condition	media	wt_growth	n_genes	tp	tn	fp	fn	mcc	aucpr_bernstein	auroc_standard
L-Arginine	MOPS minimal media_noCarbon	0.8941805345435857	1038	961.0	26.0	30.0	21.0	0.48124967782430045	0.3967445413602398	0.7855051643875474
L-Glutamic acid monopotassium salt monohydrate	MOPS minimal media_noCarbon	0.6846714496954283	1038	962.0	33.0	24.0	19.0	0.5843775217647956	0.4858755468072416	0.8108088774433535
L-Histidine	MOPS minimal media_noCarbon	0.7719610958168178	1038	971.0	27.0	20.0	20.0	0.5542864503939713	0.4586711331366939	0.8085321081220345
Sodium succinate dibasic hexahydrate	MOPS minimal media_noCarbon	0.4979428725055116	1038	972.0	30.0	14.0	22.0	0.6092790760661513	0.5971883802365702	0.8880098774464971
a-Ketoglutaric acid disodium salt hydrate	MOPS minimal media_noCarbon	0.6120547807880197	1038	975.0	28.0	11.0	24.0	0.6049051205657332	0.45648912676643655	0.9003875670542336
Sodium butyrate	MOPS minimal media_noCarbon	0.0	1038							
Vanillin	MOPS minimal media_noCarbon	0.9212880558615438	1038	940.0	35.0	42.0	21.0	0.5019233343765663	0.48257082392315465	0.7834304093409192
1,2-Propanediol	MOPS minimal media_noCarbon	0.0	1038							
Sodium propionate	MOPS minimal media_noCarbon	0.3995994882859244	1038	959.0	35.0	24.0	20.0	0.5920463167164858	0.5050859451857704	0.8359966067069475
Hydroxy-L-Proline	MOPS minimal media_noCarbon	0.0	1038							
Vanillic Acid	MOPS minimal media_noCarbon	0.8612040522183908	1038	947.0	34.0	36.0	21.0	0.5194758484045957	0.45394891109337077	0.7805489964580874
Protocatechuic Acid	MOPS minimal media_noCarbon	0.787964794222384	1038	954.0	39.0	25.0	20.0	0.6117165677719174	0.594718928783815	0.8425628850102671
4-Hydroxybenzoic Acid	MOPS minimal media_noCarbon	0.7157928792264238	1038	950.0	39.0	29.0	20.0	0.5908511540168242	0.5507257806171111	0.8382883565797453
L-Lysine	MOPS minimal media_noCarbon	0.7457781562875518	1038	951.0	33.0	34.0	20.0	0.5268387931788779	0.43820406418984065	0.7498040180149715
p-Coumaric acid	MOPS minimal media_noCarbon	1.0073980280615353	1038	947.0	35.0	37.0	19.0	0.5336522924637557	0.3858240006822339	0.8642814009661836
benzoic acid	MOPS minimal media_noCarbon	0.7985011218347855	1038	954.0	37.0	29.0	18.0	0.5904952701612401	0.4469414759364025	0.8386488340192043
Ferulic Acid	MOPS minimal media_noCarbon	0.0	1038							
D-Glucose	MOPS minimal media_noCarbon	0.9192631951468386	1038	961.0	31.0	25.0	21.0	0.5511546572858689	0.5290284356473223	0.813963849287169
Phenylacetic acid	MOPS minimal media_noCarbon	1.107140407071983	1038	945.0	42.0	31.0	20.0	0.598408248042329	0.6168409458260958	0.8024061324437505
3-Methyl-2-Oxobutanoic Acid	MOPS minimal media_noCarbon	0.0	1038							
4-Methyl-2-oxovaleric acid	MOPS minimal media_noCarbon	0.0	1038							
Hexanoic acid	MOPS minimal media_noCarbon	0.0	1038							
Decanoic acid	MOPS minimal media_noCarbon	1.7932495046517447	1038	960.0	33.0	26.0	19.0	0.5730627684836849	0.4897654171326689	0.8485483284569173
Lauric acid	MOPS minimal media_noCarbon	2.183225473042502	1038	955.0	33.0	30.0	20.0	0.5459345981258663	0.5169656718379638	0.7864957264957265
Octanoic acid	MOPS minimal media_noCarbon	1.3969512715795298	1038	961.0	34.0	25.0	18.0	0.5921366847822183	0.5147304327097962	0.8298246221498936
Myristic acid	MOPS minimal media_noCarbon	2.547096385216229	1038	956.0	32.0	29.0	21.0	0.5375351089650532	0.4980700803762304	0.7485695588704129
Oleic acid	MOPS minimal media_noCarbon	3.2748382095636606	1038	959.0	32.0	26.0	21.0	0.5533360694692143	0.5555789417523807	0.7612772695285009
Butanol	MOPS minimal media_noCarbon	0.0	1038							
3-methyl-1-butanol	MOPS minimal media_noCarbon	0.0	1038							
Ethanol	MOPS minimal media_noCarbon	0.3638709121737401	1038	968.0	32.0	18.0	20.0	0.6083378596903251	0.607749376691502	0.7594534412955466
L-Valine	MOPS minimal media_noCarbon	0.764449310471253	1038	954.0	37.0	24.0	23.0	0.5875536971227243	0.5283896764624237	0.8322314881621558
L-Leucine	MOPS minimal media_noCarbon	0.0	1038							
L-Isoleucine	MOPS minimal media_noCarbon	0.9990597947903692	1038	935.0	39.0	43.0	21.0	0.5243306588844338	0.4817563875940718	0.7896532809470352
3-methyl-2-oxopentanoic acid	MOPS minimal media_noCarbon	0.0	1038							
D-Glucose	RCH2_defined_noCarbon	0.9193490799078915	1038	962.0	30.0	26.0	20.0	0.5437341546441641	0.5414241123387801	0.7717486179807973
Potassium acetate	RCH2_defined_noCarbon	0.2475998978950313	1038	961.0	30.0	27.0	20.0	0.5382667353920801	0.43356003556551864	0.8279682386394118
D-Galacturonic Acid monohydrate	MOPS minimal media_noCarbon	0.0	1038							
Vanillin	RCH2_defined_noCarbon	0.9213729764142717	1038	924.0	33.0	60.0	21.0	0.4277664527345598	0.4093317507759178	0.7383967685042954
p-Coumaric acid	RCH2_defined_noCarbon	1.0074916383114767	1038	949.0	32.0	37.0	20.0	0.5060294267754883	0.46538069598034854	0.8177188495535515
D-Glucuronic Acid	MOPS minimal media_noCarbon	0.0	1038							
4-Aminobutyric acid	MOPS minimal media_noCarbon	0.6742976398512169	1038	971.0	29.0	15.0	23.0	0.5873592202171056	0.5560878952942341	0.8539646972745564
5-Aminovaleric acid	MOPS minimal media_noCarbon	0.0	1038							
D-Lysine	MOPS minimal media_noCarbon	0.0	1038							
