condition	media	wt_growth	n_genes	tp	tn	fp	fn	mcc	aucpr_bernstein	auroc_standard
L-Arginine	MOPS minimal media_noCarbon	0.8941805345435881	1038	962.0	27.0	29.0	20.0	0.5017594973998311	0.41444943107321147	0.7538369217340704
L-Glutamic acid monopotassium salt monohydrate	MOPS minimal media_noCarbon	0.6846714496950619	1038	963.0	34.0	23.0	18.0	0.6037633916143277	0.49408941496703496	0.8269309869985871
L-Histidine	MOPS minimal media_noCarbon	0.7719610958167958	1038	971.0	28.0	19.0	20.0	0.5698236137404269	0.4853275079739752	0.7846469287416535
Sodium succinate dibasic hexahydrate	MOPS minimal media_noCarbon	0.49794287250549607	1038	972.0	30.0	14.0	22.0	0.6092790760661513	0.6025373671177532	0.8720504847265411
a-Ketoglutaric acid disodium salt hydrate	MOPS minimal media_noCarbon	0.6120547807880211	1038	975.0	28.0	11.0	24.0	0.6049051205657332	0.45633942052416754	0.8751572084905419
Sodium butyrate	MOPS minimal media_noCarbon	0.0	1038							
Vanillin	MOPS minimal media_noCarbon	0.9212880558615387	1038	941.0	36.0	41.0	20.0	0.5181953195437498	0.4919524009021975	0.7990999635120343
1,2-Propanediol	MOPS minimal media_noCarbon	0.0	1038							
Sodium propionate	MOPS minimal media_noCarbon	0.3995994882859516	1038	959.0	36.0	23.0	20.0	0.604405677127994	0.5254130782621774	0.8233929467980123
Hydroxy-L-Proline	MOPS minimal media_noCarbon	0.0	1038							
Vanillic Acid	MOPS minimal media_noCarbon	0.8612040522184033	1038	948.0	35.0	35.0	20.0	0.5366253913930815	0.464411436949342	0.8289625147579693
Protocatechuic Acid	MOPS minimal media_noCarbon	0.7879647942223764	1038	954.0	40.0	24.0	20.0	0.6230119487907112	0.6183002885741208	0.8297773357289528
4-Hydroxybenzoic Acid	MOPS minimal media_noCarbon	0.7157928792266924	1038	951.0	41.0	27.0	19.0	0.6184820706012836	0.5731717516530451	0.8301167374166162
L-Lysine	MOPS minimal media_noCarbon	0.7457781562875434	1038	951.0	33.0	34.0	20.0	0.5268387931788779	0.44449552273715454	0.7634074734463624
p-Coumaric acid	MOPS minimal media_noCarbon	1.0073980280562937	1038	948.0	37.0	35.0	18.0	0.5617277540216494	0.4039068207845498	0.8424919484702093
benzoic acid	MOPS minimal media_noCarbon	0.7985011218348221	1038	955.0	38.0	28.0	17.0	0.6081204740497658	0.4586864464207351	0.8727397431101135
Ferulic Acid	MOPS minimal media_noCarbon	0.0	1038							
D-Glucose	MOPS minimal media_noCarbon	0.9192631951475718	1038	962.0	32.0	24.0	20.0	0.5707028884846227	0.5401182113220984	0.8707448356124527
Phenylacetic acid	MOPS minimal media_noCarbon	1.1071404070719388	1038	946.0	43.0	30.0	19.0	0.614306578256507	0.6252752839986736	0.8377741500461354
3-Methyl-2-Oxobutanoic Acid	MOPS minimal media_noCarbon	0.0	1038							
4-Methyl-2-oxovaleric acid	MOPS minimal media_noCarbon	0.0	1038							
Hexanoic acid	MOPS minimal media_noCarbon	0.0	1038							
Decanoic acid	MOPS minimal media_noCarbon	1.7932495046524564	1038	960.0	33.0	26.0	19.0	0.5730627684836849	0.4959513828730687	0.8389137999688371
Lauric acid	MOPS minimal media_noCarbon	2.1832254730425023	1038	955.0	33.0	30.0	20.0	0.5459345981258663	0.5233332654950856	0.7606837606837606
Octanoic acid	MOPS minimal media_noCarbon	1.396951271579536	1038	961.0	34.0	25.0	18.0	0.5921366847822183	0.5210764729885253	0.843216010803137
Myristic acid	MOPS minimal media_noCarbon	2.5470963852162245	1038	956.0	32.0	29.0	21.0	0.5375351089650532	0.5070601932728994	0.7517660284913671
Oleic acid	MOPS minimal media_noCarbon	3.274838209563698	1038	959.0	32.0	26.0	21.0	0.5533360694692143	0.5629801339612737	0.7997976776917664
Butanol	MOPS minimal media_noCarbon	0.0	1038							
3-methyl-1-butanol	MOPS minimal media_noCarbon	0.0	1038							
Ethanol	MOPS minimal media_noCarbon	0.3638709121737506	1038	968.0	32.0	18.0	20.0	0.6083378596903251	0.6139824762740553	0.8051214574898785
L-Valine	MOPS minimal media_noCarbon	0.7644493104712511	1038	955.0	39.0	22.0	22.0	0.6168263503196469	0.5646586486979484	0.868256791449234
L-Leucine	MOPS minimal media_noCarbon	0.0	1038							
L-Isoleucine	MOPS minimal media_noCarbon	0.999059794795058	1038	936.0	41.0	41.0	20.0	0.5494538979229877	0.5164440798811749	0.7658306970098991
3-methyl-2-oxopentanoic acid	MOPS minimal media_noCarbon	0.0	1038							
D-Glucose	RCH2_defined_noCarbon	0.9197596005616459	1038	969.0	30.0	26.0	13.0	0.592339005970622	0.5921514869451555	0.8135910677916788
Potassium acetate	RCH2_defined_noCarbon	0.24775019823650046	1038	968.0	30.0	27.0	13.0	0.5865401025930693	0.48704752400680024	0.8831840048643524
D-Galacturonic Acid monohydrate	MOPS minimal media_noCarbon	0.0	1038							
Vanillin	RCH2_defined_noCarbon	0.9218143262314797	1038	931.0	33.0	60.0	14.0	0.46706901779121446	0.4432652240507462	0.7835694373328782
p-Coumaric acid	RCH2_defined_noCarbon	1.0079631488304253	1038	956.0	33.0	36.0	13.0	0.5626778564426791	0.5416068928191122	0.8263711281614095
D-Glucuronic Acid	MOPS minimal media_noCarbon	0.0	1038							
4-Aminobutyric acid	MOPS minimal media_noCarbon	0.6742976398522732	1038	971.0	29.0	15.0	23.0	0.5873592202171056	0.5554402781639125	0.8376509054325956
5-Aminovaleric acid	MOPS minimal media_noCarbon	0.0	1038							
D-Lysine	MOPS minimal media_noCarbon	0.0	1038							
