condition	media	wt_growth	n_genes	tp	tn	fp	fn	mcc	aucpr_bernstein	auroc_standard
L-Arginine	MOPS minimal media_noCarbon	0.8941805345435921	1047	971.0	27.0	29.0	20.0	0.5019811783249836	0.4142203741935171	0.7403056076113593
L-Glutamic acid monopotassium salt monohydrate	MOPS minimal media_noCarbon	0.6846714496950624	1047	972.0	34.0	23.0	18.0	0.6039515106199062	0.49396615434458985	0.8368243841928052
L-Histidine	MOPS minimal media_noCarbon	0.7719610958168104	1047	980.0	28.0	19.0	20.0	0.5700008463104085	0.4850684632004248	0.8109574468085107
Sodium succinate dibasic hexahydrate	MOPS minimal media_noCarbon	0.49794287250550884	1047	981.0	30.0	14.0	22.0	0.6094403161242795	0.6022316275930097	0.8666160609081845
a-Ketoglutaric acid disodium salt hydrate	MOPS minimal media_noCarbon	0.61205478078801	1047	984.0	28.0	11.0	24.0	0.6050564913658213	0.45585455575270134	0.9483999796499797
Sodium butyrate	MOPS minimal media_noCarbon	0.6043548054351263	1047	972.0	33.0	22.0	20.0	0.5900832120090564	0.4490430887270106	0.8549853372434018
Vanillin	MOPS minimal media_noCarbon	0.9212880558615423	1047	950.0	36.0	41.0	20.0	0.5184707518875136	0.49184975272824016	0.8265430445842817
1,2-Propanediol	MOPS minimal media_noCarbon	0.0	1047							
Sodium propionate	MOPS minimal media_noCarbon	0.39959948828586445	1047	968.0	36.0	23.0	20.0	0.6046048117716285	0.5250661704914956	0.8199066767309409
Hydroxy-L-Proline	MOPS minimal media_noCarbon	0.0	1047							
Vanillic Acid	MOPS minimal media_noCarbon	0.8612040522184006	1047	957.0	35.0	35.0	20.0	0.536876200811783	0.46425687491830536	0.8264293025296096
Protocatechuic Acid	MOPS minimal media_noCarbon	0.7879647942223772	1047	963.0	40.0	24.0	20.0	0.6232173865900439	0.6180956877416577	0.8628878433367243
4-Hydroxybenzoic Acid	MOPS minimal media_noCarbon	0.7157928792266598	1047	960.0	41.0	27.0	19.0	0.618696247287177	0.5730729290336769	0.8623745718920868
L-Lysine	MOPS minimal media_noCarbon	0.7457781562875806	1047	960.0	33.0	34.0	20.0	0.5270843574622838	0.44428275322414834	0.7529089247639353
p-Coumaric acid	MOPS minimal media_noCarbon	1.0073980280579797	1047	957.0	37.0	35.0	18.0	0.5619676989449599	0.4037793726372202	0.866039886039886
benzoic acid	MOPS minimal media_noCarbon	0.7985011218348225	1047	964.0	38.0	28.0	17.0	0.6083264856661195	0.4584760166508362	0.8802319834429927
Ferulic Acid	MOPS minimal media_noCarbon	0.0	1047							
