condition	media	bigg_ids	mapping_confidence	n_experiments	wt_growth	wt_grows	missing_exchanges	n_ko_no_growth	n_genes_fitness_below_threshold
L-Arginine	MOPS minimal media_noCarbon	arg__L	high	1	0.8941805345435955	True		27	56
L-Glutamic acid monopotassium salt monohydrate	MOPS minimal media_noCarbon	glu__L	high	3	0.6846714496950751	True		32	57
L-Histidine	MOPS minimal media_noCarbon	his__L	high	1	0.7719610958154676	True		27	47
Sodium succinate dibasic hexahydrate	MOPS minimal media_noCarbon	succ	high	1	0.4979428725055078	True		32	44
a-Ketoglutaric acid disodium salt hydrate	MOPS minimal media_noCarbon	akg	high	1	0.612054780788025	True		32	39
Sodium butyrate	MOPS minimal media_noCarbon	but	high	3	0.0	False		1021	54
Vanillin	MOPS minimal media_noCarbon	vanln	high	2	0.921288055861537	True		36	77
1,2-Propanediol	MOPS minimal media_noCarbon	12ppd__S;12ppd__R	high	2	0.0	False	EX_12ppd__S_e;EX_12ppd__R_e	1021	62
Sodium propionate	MOPS minimal media_noCarbon	ppa	high	2	0.39959948828593644	True		35	59
Hydroxy-L-Proline	MOPS minimal media_noCarbon	4hpro_LT	medium	2	0.0	False	EX_4hpro_LT_e	1021	56
Vanillic Acid	MOPS minimal media_noCarbon	vanlt	high	2	0.8612040522183882	True		35	70
Protocatechuic Acid	MOPS minimal media_noCarbon	34dhbz	high	2	0.7879647942223751	True		39	64
4-Hydroxybenzoic Acid	MOPS minimal media_noCarbon	4hbz	high	2	0.7157928792266802	True		39	68
L-Lysine	MOPS minimal media_noCarbon	lys__L	high	3	0.7457781562875674	True		33	67
p-Coumaric acid	MOPS minimal media_noCarbon	T4hcinnm	medium	2	1.0073980280565613	True		34	72
benzoic acid	MOPS minimal media_noCarbon	bz	high	3	0.7985011218347917	True		35	66
Ferulic Acid	MOPS minimal media_noCarbon	fer	medium	3	0.0	False	EX_fer_e	1021	69
D-Glucose	MOPS minimal media_noCarbon	glc__D	high	3	0.9192631951472663	True		32	56
Phenylacetic acid	MOPS minimal media_noCarbon	pac	high	2	1.1071404070719173	True		42	73
3-Methyl-2-Oxobutanoic Acid	MOPS minimal media_noCarbon	3mob	high	2	0.0	False	EX_3mob_e	1021	66
4-Methyl-2-oxovaleric acid	MOPS minimal media_noCarbon	4mop	high	2	0.0	False	EX_4mop_e	1021	56
Hexanoic acid	MOPS minimal media_noCarbon	hxa	high	2	0.0	False	EX_hxa_e	1021	52
Decanoic acid	MOPS minimal media_noCarbon	dca	high	2	1.793249504651775	True		32	59
Lauric acid	MOPS minimal media_noCarbon	ddca	high	2	2.1832254730424596	True		33	63
Octanoic acid	MOPS minimal media_noCarbon	octa	high	2	1.3969512715795571	True		32	58
Myristic acid	MOPS minimal media_noCarbon	ttdca	high	2	2.5470963852162196	True		33	61
Oleic acid	MOPS minimal media_noCarbon	ocdcea	high	2	3.274838209563664	True		33	57
Butanol	MOPS minimal media_noCarbon	btoh	high	2	0.0	False		1021	57
3-methyl-1-butanol	MOPS minimal media_noCarbon	iamoh	medium	2	0.0	False	EX_iamoh_e	1021	72
Ethanol	MOPS minimal media_noCarbon	etoh	high	2	0.36387091217374246	True		32	50
L-Valine	MOPS minimal media_noCarbon	val__L	high	2	0.7644493104712361	True		40	61
L-Leucine	MOPS minimal media_noCarbon	leu__L	high	2	0.0	False		1021	47
L-Isoleucine	MOPS minimal media_noCarbon	ile__L	high	2	0.9990597947947782	True		40	82
3-methyl-2-oxopentanoic acid	MOPS minimal media_noCarbon	3mop	high	2	0.0	False	EX_3mop_e	1021	16
D-Glucose	RCH2_defined_noCarbon	glc__D	high	6	0.9193490799093367	True		30	55
Potassium acetate	RCH2_defined_noCarbon	ac	high	4	0.24759989789535794	True		30	56
D-Galacturonic Acid monohydrate	MOPS minimal media_noCarbon	galur	high	2	0.0	False		1021	63
Vanillin	RCH2_defined_noCarbon	vanln	high	2	0.9213729764142555	True		34	91
p-Coumaric acid	RCH2_defined_noCarbon	T4hcinnm	medium	2	1.0074916383114692	True		32	68
D-Glucuronic Acid	MOPS minimal media_noCarbon	glcur	high	1	0.0	False		1021	42
4-Aminobutyric acid	MOPS minimal media_noCarbon	4abut	high	1	0.6742976398512057	True		32	44
5-Aminovaleric acid	MOPS minimal media_noCarbon	5aptn	medium	2	0.0	False	EX_5aptn_e	1021	48
D-Lysine	MOPS minimal media_noCarbon	lys__D	high	2	0.0	False	EX_lys__D_e	1021	61
