condition	media	wt_growth	n_genes	tp	tn	fp	fn	mcc	aucpr_bernstein	auroc_standard
L-Arginine	MOPS minimal media_noCarbon	0.8941805345435857	1021	961.0	23.0	33.0	4.0	0.5769219724095899	0.5325992141076412	0.7715581051073279
L-Glutamic acid monopotassium salt monohydrate	MOPS minimal media_noCarbon	0.6846714496954283	1021	962.0	30.0	27.0	2.0	0.6907706499371853	0.6006784997518483	0.7845235495377447
L-Histidine	MOPS minimal media_noCarbon	0.7719610958168178	1021	971.0	24.0	23.0	3.0	0.6628865314984421	0.6218998876669728	0.7624513958670104
Sodium succinate dibasic hexahydrate	MOPS minimal media_noCarbon	0.4979428725055116	1021	972.0	27.0	17.0	5.0	0.7092092360647457	0.7671312665768422	0.8172513259514284
a-Ketoglutaric acid disodium salt hydrate	MOPS minimal media_noCarbon	0.6120547807880197	1021	975.0	25.0	14.0	7.0	0.6973227528218414	0.5125722970162893	0.847289675701081
Sodium butyrate	MOPS minimal media_noCarbon	0.0	1021							
Vanillin	MOPS minimal media_noCarbon	0.9212880558615438	1021	940.0	32.0	45.0	4.0	0.5889392011956869	0.6157450880672111	0.7985086946951353
1,2-Propanediol	MOPS minimal media_noCarbon	0.0	1021							
Sodium propionate	MOPS minimal media_noCarbon	0.3995994882859244	1021	959.0	32.0	27.0	3.0	0.6915677651303598	0.6426784409208066	0.8143433524789457
Hydroxy-L-Proline	MOPS minimal media_noCarbon	0.0	1021							
Vanillic Acid	MOPS minimal media_noCarbon	0.8612040522183908	1021	947.0	31.0	39.0	4.0	0.6092365725087147	0.5590133029167998	0.7776175454408893
Protocatechuic Acid	MOPS minimal media_noCarbon	0.787964794222384	1021	954.0	36.0	28.0	3.0	0.7073809425049196	0.7342003103826704	0.8519543495297807
4-Hydroxybenzoic Acid	MOPS minimal media_noCarbon	0.7157928792264238	1021	950.0	36.0	32.0	3.0	0.6845676394995953	0.6737357921243867	0.8012776989074749
L-Lysine	MOPS minimal media_noCarbon	0.7457781562875518	1021	951.0	30.0	37.0	3.0	0.6225321157030936	0.544743460872794	0.7515175693857754
p-Coumaric acid	MOPS minimal media_noCarbon	1.0073980280615353	1021	947.0	32.0	40.0	2.0	0.6311819216519114	0.46648651789059437	0.8320673808687508
benzoic acid	MOPS minimal media_noCarbon	0.7985011218347855	1021	954.0	34.0	32.0	1.0	0.6947882901242713	0.5646268261465166	0.8041964144058384
Ferulic Acid	MOPS minimal media_noCarbon	0.0	1021							
D-Glucose	MOPS minimal media_noCarbon	0.9192631951468386	1021	961.0	28.0	28.0	4.0	0.6479465234210219	0.7130032584413671	0.8169133974833457
Phenylacetic acid	MOPS minimal media_noCarbon	1.107140407071983	1021	945.0	39.0	34.0	3.0	0.6889872810548332	0.7601344281112721	0.7914137911103402
3-Methyl-2-Oxobutanoic Acid	MOPS minimal media_noCarbon	0.0	1021							
4-Methyl-2-oxovaleric acid	MOPS minimal media_noCarbon	0.0	1021							
Hexanoic acid	MOPS minimal media_noCarbon	0.0	1021							
Decanoic acid	MOPS minimal media_noCarbon	1.7932495046517447	1021	960.0	30.0	29.0	2.0	0.6781570926117326	0.6324579202538012	0.8391944747876952
Lauric acid	MOPS minimal media_noCarbon	2.183225473042502	1021	955.0	30.0	33.0	3.0	0.6436249224869034	0.6552396060724802	0.7711999204692315
Octanoic acid	MOPS minimal media_noCarbon	1.3969512715795298	1021	961.0	30.0	28.0	2.0	0.6843841831359104	0.6467795320391807	0.8052959501557633
Myristic acid	MOPS minimal media_noCarbon	2.547096385216229	1021	956.0	29.0	32.0	4.0	0.6315535199558698	0.6373691140733144	0.793041325136612
Oleic acid	MOPS minimal media_noCarbon	3.2748382095636606	1021	959.0	28.0	29.0	5.0	0.6309772767885952	0.7286154682087476	0.7902562422654146
Butanol	MOPS minimal media_noCarbon	0.0	1021							
3-methyl-1-butanol	MOPS minimal media_noCarbon	0.0	1021							
Ethanol	MOPS minimal media_noCarbon	0.3638709121737401	1021	968.0	29.0	21.0	3.0	0.7145454390883887	0.7798770342039899	0.756519052523172
L-Valine	MOPS minimal media_noCarbon	0.764449310471253	1021	954.0	34.0	27.0	6.0	0.6732676714518295	0.6647506064092744	0.8054132513661203
L-Leucine	MOPS minimal media_noCarbon	0.0	1021							
L-Isoleucine	MOPS minimal media_noCarbon	0.9990597947903692	1021	935.0	36.0	46.0	4.0	0.6090168904528219	0.5963582487969958	0.6857385906127432
3-methyl-2-oxopentanoic acid	MOPS minimal media_noCarbon	0.0	1021							
D-Glucose	RCH2_defined_noCarbon	0.9193490799078915	1021	962.0	26.0	29.0	4.0	0.62641509239099	0.7090238902204237	0.7552700922266139
Potassium acetate	RCH2_defined_noCarbon	0.2475998978950313	1021	961.0	26.0	30.0	4.0	0.6203700237155674	0.548578738495154	0.8259529977794228
D-Galacturonic Acid monohydrate	MOPS minimal media_noCarbon	0.0	1021							
Vanillin	RCH2_defined_noCarbon	0.9213729764142717	1021	924.0	28.0	63.0	6.0	0.4783852450950193	0.522600910268425	0.7447949899562804
p-Coumaric acid	RCH2_defined_noCarbon	1.0074916383114767	1021	949.0	28.0	40.0	4.0	0.5832130684778917	0.6034668704169549	0.7754305289796927
D-Glucuronic Acid	MOPS minimal media_noCarbon	0.0	1021							
4-Aminobutyric acid	MOPS minimal media_noCarbon	0.6742976398512169	1021	971.0	26.0	18.0	6.0	0.6815284137847616	0.7135787132685057	0.7937680282869639
5-Aminovaleric acid	MOPS minimal media_noCarbon	0.0	1021							
D-Lysine	MOPS minimal media_noCarbon	0.0	1021							
