condition	media	bigg_ids	mapping_confidence	n_experiments	wt_growth	wt_grows	missing_exchanges	n_ko_no_growth	n_genes_fitness_below_threshold
L-Arginine	MOPS minimal media_noCarbon	arg__L	high	1	0.934234039886192	True		91	56
L-Glutamic acid monopotassium salt monohydrate	MOPS minimal media_noCarbon	glu__L	high	3	0.7429518743862714	True		98	58
L-Histidine	MOPS minimal media_noCarbon	his__L	high	1	0.8330837064553299	True		95	47
Sodium succinate dibasic hexahydrate	MOPS minimal media_noCarbon	succ	high	1	0.5288375134650728	True		97	47
a-Ketoglutaric acid disodium salt hydrate	MOPS minimal media_noCarbon	akg	high	1	0.6649253964977155	True		98	40
Sodium butyrate	MOPS minimal media_noCarbon	but	high	3	0.0	False	EX_but_e	1121	57
Vanillin	MOPS minimal media_noCarbon	vanln	high	2	1.0028399637162633	True		99	73
1,2-Propanediol	MOPS minimal media_noCarbon	12ppd__S;12ppd__R	high	2	0.0	False	EX_12ppd__S_e;EX_12ppd__R_e	1121	64
Sodium propionate	MOPS minimal media_noCarbon	ppa	high	2	0.47006660110057763	True		102	62
Hydroxy-L-Proline	MOPS minimal media_noCarbon	4hpro_LT	medium	2	0.7213015691529603	True		101	62
Vanillic Acid	MOPS minimal media_noCarbon	vanlt	high	2	0.9371011625631726	True		100	68
Protocatechuic Acid	MOPS minimal media_noCarbon	34dhbz	high	2	0.8577165641274301	True		105	65
4-Hydroxybenzoic Acid	MOPS minimal media_noCarbon	4hbz	high	2	0.7783319656691015	True		106	68
L-Lysine	MOPS minimal media_noCarbon	lys__L	high	3	0.982629639964512	True		98	71
p-Coumaric acid	MOPS minimal media_noCarbon	T4hcinnm	medium	2	1.1451147097472456	True		99	70
benzoic acid	MOPS minimal media_noCarbon	bz	high	3	0.8693149336977084	True		98	65
Ferulic Acid	MOPS minimal media_noCarbon	fer	medium	3	1.2983336670114054	True		99	66
D-Glucose	MOPS minimal media_noCarbon	glc__D	high	3	0.9796368101803972	True		97	57
Phenylacetic acid	MOPS minimal media_noCarbon	pac	high	2	1.2545568220787688	True		109	73
3-Methyl-2-Oxobutanoic Acid	MOPS minimal media_noCarbon	3mob	high	2	0.0	False	EX_3mob_e	1121	71
4-Methyl-2-oxovaleric acid	MOPS minimal media_noCarbon	4mop	high	2	0.0	False	EX_4mop_e	1121	63
Hexanoic acid	MOPS minimal media_noCarbon	hxa	high	2	1.1460129939924084	True		99	53
Decanoic acid	MOPS minimal media_noCarbon	dca	high	2	2.0310758923796888	True		99	62
Lauric acid	MOPS minimal media_noCarbon	ddca	high	2	2.4721624419298656	True		99	65
Octanoic acid	MOPS minimal media_noCarbon	octa	high	2	1.587580761140647	True		99	60
Myristic acid	MOPS minimal media_noCarbon	ttdca	high	2	2.913198127028184	True		99	65
Oleic acid	MOPS minimal media_noCarbon	ocdcea	high	2	3.749843195100636	True		99	60
Butanol	MOPS minimal media_noCarbon	btoh	high	2	0.0	False	EX_btoh_e	1121	60
3-methyl-1-butanol	MOPS minimal media_noCarbon	iamoh	medium	2	0.0	False	EX_iamoh_e	1121	88
Ethanol	MOPS minimal media_noCarbon	etoh	high	2	0.46534777815101114	True		98	54
L-Valine	MOPS minimal media_noCarbon	val__L	high	2	0.8331945689785281	True		101	66
L-Leucine	MOPS minimal media_noCarbon	leu__L	high	2	1.0672345543158768	True		102	52
L-Isoleucine	MOPS minimal media_noCarbon	ile__L	high	2	1.1137875829306345	True		103	79
3-methyl-2-oxopentanoic acid	MOPS minimal media_noCarbon	3mop	high	2	0.0	False	EX_3mop_e	1121	15
D-Glucose	RCH2_defined_noCarbon	glc__D	high	6	13.360714751073628	True		67	57
Potassium acetate	RCH2_defined_noCarbon	ac	high	4	12.683832907272127	True		67	59
D-Galacturonic Acid monohydrate	MOPS minimal media_noCarbon	galur	high	2	0.8079027900861977	True		102	62
Vanillin	RCH2_defined_noCarbon	vanln	high	2	13.025117870533412	True		67	88
p-Coumaric acid	RCH2_defined_noCarbon	T4hcinnm	medium	2	13.121815276790716	True		67	71
D-Glucuronic Acid	MOPS minimal media_noCarbon	glcur	high	1	0.807902790086199	True		102	45
4-Aminobutyric acid	MOPS minimal media_noCarbon	4abut	high	1	0.6876067103365545	True		97	46
5-Aminovaleric acid	MOPS minimal media_noCarbon	5aptn	medium	2	0.8255578710151432	True		104	53
D-Lysine	MOPS minimal media_noCarbon	lys__D	high	2	0.9826296399644497	True		98	63
