condition	media	wt_growth	n_genes	tp	tn	fp	fn	mcc	aucpr_bernstein	auroc_standard
L-Arginine	MOPS minimal media_noCarbon	0.934234039886192	1121	1007.0	33.0	23.0	58.0	0.42662049226526216	0.4611212529840124	0.7455063715627096
L-Glutamic acid monopotassium salt monohydrate	MOPS minimal media_noCarbon	0.7429518743862714	1121	1005.0	40.0	18.0	58.0	0.4980429949844799	0.5486490650300871	0.863366529341162
L-Histidine	MOPS minimal media_noCarbon	0.8330837064553299	1121	1013.0	34.0	13.0	61.0	0.47971755272081656	0.46600730982674404	0.8698740045168192
Sodium succinate dibasic hexahydrate	MOPS minimal media_noCarbon	0.5288375134650728	1121	1014.0	37.0	10.0	60.0	0.5213762575542215	0.5925339201120764	0.8829589127936923
a-Ketoglutaric acid disodium salt hydrate	MOPS minimal media_noCarbon	0.6649253964977155	1121	1016.0	33.0	7.0	65.0	0.5023193331764542	0.5633354527532467	0.8778561517113782
Sodium butyrate	MOPS minimal media_noCarbon	0.0	1121							
Vanillin	MOPS minimal media_noCarbon	1.0028399637162633	1121	991.0	42.0	31.0	57.0	0.4529994731147912	0.44935777093353735	0.8569421206734288
1,2-Propanediol	MOPS minimal media_noCarbon	0.0	1121							
Sodium propionate	MOPS minimal media_noCarbon	0.47006660110057763	1121	1005.0	48.0	14.0	54.0	0.5747993834548741	0.624328337481909	0.8790322580645162
Hydroxy-L-Proline	MOPS minimal media_noCarbon	0.7213015691529603	1121	1005.0	47.0	15.0	54.0	0.5644783827341707	0.6274528546460627	0.8996847299643609
Vanillic Acid	MOPS minimal media_noCarbon	0.9371011625631726	1121	994.0	41.0	27.0	59.0	0.45800715251197227	0.4738910810129476	0.8097871627283393
Protocatechuic Acid	MOPS minimal media_noCarbon	0.8577165641274301	1121	999.0	48.0	17.0	57.0	0.5490483659440133	0.565033620508926	0.8704691142191142
4-Hydroxybenzoic Acid	MOPS minimal media_noCarbon	0.7783319656691015	1121	996.0	49.0	19.0	57.0	0.543694500473886	0.5703674265759543	0.844687447628624
L-Lysine	MOPS minimal media_noCarbon	0.982629639964512	1121	992.0	40.0	31.0	58.0	0.43818572088528285	0.4619453622259121	0.8098457411133467
p-Coumaric acid	MOPS minimal media_noCarbon	1.1451147097472456	1121	994.0	42.0	28.0	57.0	0.4653864768529345	0.41451569523862036	0.846819355715645
benzoic acid	MOPS minimal media_noCarbon	0.8693149336977084	1121	998.0	40.0	25.0	58.0	0.46374868824547416	0.4019060714177092	0.8136145104895105
Ferulic Acid	MOPS minimal media_noCarbon	1.2983336670114054	1121	995.0	39.0	27.0	60.0	0.443023274793441	0.4112628947969102	0.8753626310498349
D-Glucose	MOPS minimal media_noCarbon	0.9796368101803972	1121	1007.0	40.0	17.0	57.0	0.5064889843960937	0.50059846076057	0.8723370927318296
Phenylacetic acid	MOPS minimal media_noCarbon	1.2545568220787688	1121	990.0	51.0	22.0	58.0	0.5357264491747662	0.5904615378025162	0.8472302101850884
3-Methyl-2-Oxobutanoic Acid	MOPS minimal media_noCarbon	0.0	1121							
4-Methyl-2-oxovaleric acid	MOPS minimal media_noCarbon	0.0	1121							
Hexanoic acid	MOPS minimal media_noCarbon	1.1460129939924084	1121	1008.0	39.0	14.0	60.0	0.5083679441735517	0.47366347931865793	0.8697088544979155
Decanoic acid	MOPS minimal media_noCarbon	2.0310758923796888	1121	1002.0	42.0	20.0	57.0	0.5023465205857547	0.44993946937910195	0.8319169027384326
Lauric acid	MOPS minimal media_noCarbon	2.4721624419298656	1121	999.0	42.0	23.0	57.0	0.48774947979705835	0.4548981739087939	0.8320221445221444
Octanoic acid	MOPS minimal media_noCarbon	1.587580761140647	1121	1003.0	41.0	19.0	58.0	0.49866808466746776	0.4940282549388178	0.8282595036129436
Myristic acid	MOPS minimal media_noCarbon	2.913198127028184	1121	999.0	42.0	23.0	57.0	0.48774947979705835	0.4752931845280516	0.823149766899767
Oleic acid	MOPS minimal media_noCarbon	3.749843195100636	1121	1002.0	40.0	20.0	59.0	0.48470024471063927	0.45229514226491924	0.8517672007540057
Butanol	MOPS minimal media_noCarbon	0.0	1121							
3-methyl-1-butanol	MOPS minimal media_noCarbon	0.0	1121							
Ethanol	MOPS minimal media_noCarbon	0.46534777815101114	1121	1010.0	41.0	13.0	57.0	0.5350982731661812	0.5009567542978628	0.8687476135929744
L-Valine	MOPS minimal media_noCarbon	0.8331945689785281	1121	994.0	40.0	26.0	61.0	0.4507219398651165	0.4257600299612686	0.7821197759586385
L-Leucine	MOPS minimal media_noCarbon	1.0672345543158768	1121	1002.0	35.0	17.0	67.0	0.44639462521812584	0.4338975305366588	0.8745052889112757
L-Isoleucine	MOPS minimal media_noCarbon	1.1137875829306345	1121	984.0	45.0	34.0	58.0	0.45538905584040434	0.41619853609625623	0.8066097329867101
3-methyl-2-oxopentanoic acid	MOPS minimal media_noCarbon	0.0	1121							
D-Glucose	RCH2_defined_noCarbon	13.360714751073628	1121	1033.0	36.0	21.0	31.0	0.5582991113584136	0.5539246335426512	0.8331107373697401
Potassium acetate	RCH2_defined_noCarbon	12.683832907272127	1121	1031.0	36.0	23.0	31.0	0.54725684794098	0.48590912521200574	0.8809330013725303
D-Galacturonic Acid monohydrate	MOPS minimal media_noCarbon	0.8079027900861977	1121	1000.0	43.0	19.0	59.0	0.5069502017459917	0.4888881020254174	0.8252688172043011
Vanillin	RCH2_defined_noCarbon	13.025117870533412	1121	1005.0	39.0	49.0	28.0	0.47207039910650617	0.40311243485563764	0.829666461321834
p-Coumaric acid	RCH2_defined_noCarbon	13.121815276790716	1121	1020.0	37.0	34.0	30.0	0.5060822924548004	0.43362996321994757	0.8171294433266265
D-Glucuronic Acid	MOPS minimal media_noCarbon	0.807902790086199	1121	1005.0	31.0	14.0	71.0	0.42515389895021494	0.4307121926657265	0.8639198678232135
