condition	media	wt_growth	n_genes	tp	tn	fp	fn	mcc	aucpr_bernstein	auroc_standard
L-Arginine	MOPS minimal media_noCarbon	0.9342340398861912	1121	1007.0	33.0	23.0	58.0	0.42662049226526216	0.4611212529840124	0.7895204560697519
L-Glutamic acid monopotassium salt monohydrate	MOPS minimal media_noCarbon	0.7385096045260531	1121	1005.0	42.0	16.0	58.0	0.5203160581415762	0.5780268261520317	0.8644045804002984
L-Histidine	MOPS minimal media_noCarbon	0.8280814460504636	1121	1013.0	36.0	11.0	61.0	0.5055448803203983	0.4964852260559345	0.8784123776694798
Sodium succinate dibasic hexahydrate	MOPS minimal media_noCarbon	0.5255258434782761	1121	1014.0	39.0	8.0	60.0	0.5466443087077915	0.6186880882627014	0.8787491580490512
a-Ketoglutaric acid disodium salt hydrate	MOPS minimal media_noCarbon	0.6607615211618338	1121	1016.0	35.0	5.0	65.0	0.5302962574990294	0.5981324665587667	0.9280874190564292
Sodium butyrate	MOPS minimal media_noCarbon	0.0	1121							
Vanillin	MOPS minimal media_noCarbon	0.9967782172578568	1121	991.0	44.0	29.0	57.0	0.47254097555314056	0.4714796697298263	0.8464982223151731
1,2-Propanediol	MOPS minimal media_noCarbon	0.0	1121							
Sodium propionate	MOPS minimal media_noCarbon	0.467204103716045	1121	1005.0	50.0	12.0	54.0	0.5952209615428379	0.6432414462028312	0.9168494319047185
Hydroxy-L-Proline	MOPS minimal media_noCarbon	0.7169887511480298	1121	1005.0	49.0	13.0	54.0	0.5850463664949481	0.6505934458025794	0.8875308416339213
Vanillic Acid	MOPS minimal media_noCarbon	0.9312328765289214	1121	994.0	43.0	25.0	59.0	0.4783514317160092	0.4927728390366279	0.8721160829003967
Protocatechuic Acid	MOPS minimal media_noCarbon	0.8523453978804898	1121	999.0	50.0	15.0	57.0	0.5689023930495949	0.588534641937699	0.8951486013986015
4-Hydroxybenzoic Acid	MOPS minimal media_noCarbon	0.77345791923145	1121	996.0	51.0	17.0	57.0	0.5629625399402055	0.5887459325815928	0.8711175353332216
L-Lysine	MOPS minimal media_noCarbon	0.9766799571939689	1121	992.0	42.0	29.0	58.0	0.458276745123494	0.47530212048012804	0.8133199195171026
p-Coumaric acid	MOPS minimal media_noCarbon	1.1381929721944668	1121	994.0	44.0	26.0	57.0	0.48535183640340773	0.43610148188413433	0.8670993611526437
