condition	media	bigg_ids	mapping_confidence	n_experiments	wt_growth	wt_grows	missing_exchanges	n_ko_no_growth	n_genes_fitness_below_threshold
D-Glucose	RCH2_defined_noCarbon	glc__D	high	1	0.0	False		955	73
D-Fructose	RCH2_defined_noCarbon	fru	high	1	0.0	False		955	71
L-Arabinose	RCH2_defined_noCarbon	arab__L	high	1	0.0	False		955	77
D-Arabinose	RCH2_defined_noCarbon	arab__D	high	1	0.0	False		955	72
D-Maltose monohydrate	RCH2_defined_noCarbon	malt	high	1	0.0	False		955	75
D-Xylose	RCH2_defined_noCarbon	xyl__D	high	1	0.0	False		955	74
D-Galactose	RCH2_defined_noCarbon	gal	high	1	0.0	False		955	67
D-Raffinose pentahydrate	RCH2_defined_noCarbon	raffin	high	1	0.0	False		955	70
L-Rhamnose monohydrate	RCH2_defined_noCarbon	rmn	high	1	0.0	False		955	68
D-Ribose	RCH2_defined_noCarbon	rib__D	high	1	0.0	False		955	65
L-Fucose	RCH2_defined_noCarbon	fuc__L	high	1	0.0	False		955	73
D-Cellobiose	RCH2_defined_noCarbon	cellb	high	1	0.0	False		955	71
Sodium L-Lactate	RCH2_defined_noCarbon	lac__L	high	1	0.0	False		955	68
Sodium D,L-Lactate	RCH2_defined_noCarbon	lac__D;lac__L	high	1	0.0	False	EX_lac__D_e	955	71
Sodium pyruvate	RCH2_defined_noCarbon	pyr	high	1	0.0	False		955	68
Sodium succinate dibasic hexahydrate	RCH2_defined_noCarbon	succ	high	1	0.0	False		955	65
m-Inositol	RCH2_defined_noCarbon	inost	high	1	0.0	False		955	70
Glycerol	RCH2_defined_noCarbon	glyc	high	1	0.0	False		955	73
D-Sorbitol	RCH2_defined_noCarbon	sbt__D	high	1	0.0	False		955	74
L-Malic acid disodium salt monohydrate	RCH2_defined_noCarbon	mal__L	high	1	0.0	False		955	64
D-Trehalose dihydrate	RCH2_defined_noCarbon	tre	high	1	0.0	False		955	77
L-Histidine	RCH2_defined_noCarbon	his__L	high	1	0.0	False		955	80
L-Lysine	RCH2_defined_noCarbon	lys__L	high	1	0.0	False		955	81
L-Glutamine	RCH2_defined_noCarbon	gln__L	high	1	0.0	False		955	76
L-Proline	RCH2_defined_noCarbon	pro__L	high	1	0.0	False		955	82
L-Leucine	RCH2_defined_noCarbon	leu__L	high	1	0.0	False		955	67
N-Acetyl-D-Glucosamine	RCH2_defined_noCarbon	acgam	high	1	0.0	False	EX_acgam_e	955	73
D-Glucosamine Hydrochloride	RCH2_defined_noCarbon	gam	high	1	0.0	False	EX_gam_e	955	70
Uridine	RCH2_defined_noCarbon	uri	high	1	0.0	False	EX_uri_e	955	57
D-Salicin	RCH2_defined_noCarbon	salcn	high	1	0.0	False		955	67
Beta-Lactose	RCH2_defined_noCarbon	lcts	high	1	0.0	False		955	68
D-Mannose	RCH2_defined_noCarbon	man	high	1	0.0	False	EX_man_e	955	76
D-(-)-tagatose	RCH2_defined_noCarbon	tagat__D	high	1	0.0	False	EX_tagat__D_e	955	76
