condition	media	wt_growth	n_genes
D-Glucose	RCH2_defined_noCarbon	0.0	955
D-Fructose	RCH2_defined_noCarbon	0.0	955
L-Arabinose	RCH2_defined_noCarbon	0.0	955
D-Arabinose	RCH2_defined_noCarbon	0.0	955
D-Maltose monohydrate	RCH2_defined_noCarbon	0.0	955
D-Xylose	RCH2_defined_noCarbon	0.0	955
D-Galactose	RCH2_defined_noCarbon	0.0	955
D-Raffinose pentahydrate	RCH2_defined_noCarbon	0.0	955
L-Rhamnose monohydrate	RCH2_defined_noCarbon	0.0	955
D-Ribose	RCH2_defined_noCarbon	0.0	955
L-Fucose	RCH2_defined_noCarbon	0.0	955
D-Cellobiose	RCH2_defined_noCarbon	0.0	955
Sodium L-Lactate	RCH2_defined_noCarbon	0.0	955
Sodium D,L-Lactate	RCH2_defined_noCarbon	0.0	955
Sodium pyruvate	RCH2_defined_noCarbon	0.0	955
Sodium succinate dibasic hexahydrate	RCH2_defined_noCarbon	0.0	955
m-Inositol	RCH2_defined_noCarbon	0.0	955
Glycerol	RCH2_defined_noCarbon	0.0	955
D-Sorbitol	RCH2_defined_noCarbon	0.0	955
L-Malic acid disodium salt monohydrate	RCH2_defined_noCarbon	0.0	955
D-Trehalose dihydrate	RCH2_defined_noCarbon	0.0	955
L-Histidine	RCH2_defined_noCarbon	0.0	955
L-Lysine	RCH2_defined_noCarbon	0.0	955
L-Glutamine	RCH2_defined_noCarbon	0.0	955
L-Proline	RCH2_defined_noCarbon	0.0	955
L-Leucine	RCH2_defined_noCarbon	0.0	955
N-Acetyl-D-Glucosamine	RCH2_defined_noCarbon	0.0	955
D-Glucosamine Hydrochloride	RCH2_defined_noCarbon	0.0	955
Uridine	RCH2_defined_noCarbon	0.0	955
D-Salicin	RCH2_defined_noCarbon	0.0	955
Beta-Lactose	RCH2_defined_noCarbon	0.0	955
D-Mannose	RCH2_defined_noCarbon	0.0	955
D-(-)-tagatose	RCH2_defined_noCarbon	0.0	955
