condition	media	wt_growth	n_genes	tp	tn	fp	fn	mcc	aucpr_bernstein	auroc_standard
D-Glucose	RCH2_defined_noCarbon	0.2129296001099355	957	881.0	24.0	49.0	3.0	0.5216105050038229	0.5027279691797492	0.7527738176408603
D-Fructose	RCH2_defined_noCarbon	0.41768392485542616	957	885.0	24.0	47.0	1.0	0.5535647692061446	0.4547426461808988	0.7375528566432454
L-Arabinose	RCH2_defined_noCarbon	0.0	957							
D-Arabinose	RCH2_defined_noCarbon	0.17744133342495028	957	876.0	23.0	50.0	8.0	0.45882726346165315	0.49597942588012833	0.7393231265108783
D-Maltose monohydrate	RCH2_defined_noCarbon	0.5323240002748325	957	881.0	24.0	51.0	1.0	0.5372735588099344	0.5166638214830208	0.6986696900982614
D-Xylose	RCH2_defined_noCarbon	0.2839061334799091	957	881.0	25.0	50.0	1.0	0.5491644872515281	0.506757488278787	0.7376341647770218
D-Galactose	RCH2_defined_noCarbon	0.2129296001099474	957	886.0	23.0	44.0	4.0	0.5220818624672668	0.5261090697255306	0.7257420761361731
D-Raffinose pentahydrate	RCH2_defined_noCarbon	0.9581832004947314	957	886.0	24.0	46.0	1.0	0.5578477100336856	0.5637882018948254	0.718078595587051
L-Rhamnose monohydrate	RCH2_defined_noCarbon	0.2088419624277093	957	879.0	24.0	44.0	10.0	0.4742426175731876	0.4264791836461237	0.6839558658108913
D-Ribose	RCH2_defined_noCarbon	0.1774413334249517	957	889.0	24.0	41.0	3.0	0.555954986778	0.3892800290860529	0.7143152811314246
L-Fucose	RCH2_defined_noCarbon	0.3132629436415721	957	882.0	24.0	49.0	2.0	0.5331083177093202	0.5764867251922647	0.6666537531767185
D-Cellobiose	RCH2_defined_noCarbon	0.7452536003868745	957	885.0	24.0	47.0	1.0	0.5535647692061446	0.46769363724693547	0.7676930658442757
Sodium L-Lactate	RCH2_defined_noCarbon	0.09858768750180982	957	884.0	25.0	43.0	5.0	0.5337534801175426	0.4684496098729079	0.7074124925560776
Sodium D,L-Lactate	RCH2_defined_noCarbon	0.09858768750180735	957	880.0	24.0	47.0	6.0	0.4982066314293855	0.5017613775745046	0.6909992687501987
Sodium pyruvate	RCH2_defined_noCarbon	0.09858768750181168	957	884.0	25.0	43.0	5.0	0.5337534801175426	0.39034695434007194	0.7207371137431349
Sodium succinate dibasic hexahydrate	RCH2_defined_noCarbon	0.0	957							
m-Inositol	RCH2_defined_noCarbon	0.31326294364155555	957	886.0	25.0	45.0	1.0	0.5701881336543073	0.4293065355776706	0.7293525527460138
Glycerol	RCH2_defined_noCarbon	0.20884196242771597	957	883.0	24.0	49.0	1.0	0.5452567953051756	0.5000305263952687	0.664554019711151
D-Sorbitol	RCH2_defined_noCarbon	0.31939440016490633	957	882.0	24.0	50.0	1.0	0.5412259524454225	0.5633760865971345	0.7329818493465152
L-Malic acid disodium salt monohydrate	RCH2_defined_noCarbon	0.10780143270798968	957	890.0	26.0	38.0	3.0	0.5871239504352485	0.4387790107246343	0.7570426231802911
D-Trehalose dihydrate	RCH2_defined_noCarbon	0.5323240002748574	957	875.0	24.0	53.0	5.0	0.4855616225420974	0.48949407068035006	0.6889462809917355
L-Histidine	RCH2_defined_noCarbon	0.0	957							
L-Lysine	RCH2_defined_noCarbon	0.0	957							
L-Glutamine	RCH2_defined_noCarbon	0.0	957							
L-Proline	RCH2_defined_noCarbon	0.0	957							
L-Leucine	RCH2_defined_noCarbon	0.0	957							
N-Acetyl-D-Glucosamine	RCH2_defined_noCarbon	0.0	957							
D-Glucosamine Hydrochloride	RCH2_defined_noCarbon	0.0	957							
Uridine	RCH2_defined_noCarbon	0.0	957							
D-Salicin	RCH2_defined_noCarbon	0.3089836604277483	957	887.0	23.0	44.0	3.0	0.5335048888939318	0.4923973362691718	0.7554502767063558
Beta-Lactose	RCH2_defined_noCarbon	0.5323240002748545	957	884.0	23.0	45.0	5.0	0.507054998630147	0.4759024975700988	0.7301743532058492
D-Mannose	RCH2_defined_noCarbon	0.0	957							
D-(-)-tagatose	RCH2_defined_noCarbon	0.0	957							
