condition	media	wt_growth	n_genes	tp	tn	fp	fn	mcc	aucpr_bernstein	auroc_standard
D-Glucose	RCH2_defined_noCarbon	0.2129296001099355	979	881.0	35.0	49.0	14.0	0.5150889542274834	0.5024468571704503	0.7898909284384145
D-Fructose	RCH2_defined_noCarbon	0.41768392485542616	979	885.0	35.0	47.0	12.0	0.5357604717751957	0.4473842617642522	0.7185605133643309
L-Arabinose	RCH2_defined_noCarbon	0.0	979							
D-Arabinose	RCH2_defined_noCarbon	0.17744133342495028	979	876.0	34.0	50.0	19.0	0.4746902431822063	0.48961212597240034	0.6947259909550413
D-Maltose monohydrate	RCH2_defined_noCarbon	0.5323240002748325	979	881.0	35.0	51.0	12.0	0.521081591534381	0.5028616393941553	0.7388994505065235
D-Xylose	RCH2_defined_noCarbon	0.2839061334799091	979	881.0	36.0	50.0	12.0	0.5311453070052291	0.490912377378113	0.7561980780749498
D-Galactose	RCH2_defined_noCarbon	0.2129296001099474	979	886.0	34.0	44.0	15.0	0.5206459503236204	0.5019390074508446	0.766178604968838
D-Raffinose pentahydrate	RCH2_defined_noCarbon	0.9581832004947314	979	886.0	35.0	46.0	12.0	0.5395899092371174	0.5368121947148649	0.7208611729769859
L-Rhamnose monohydrate	RCH2_defined_noCarbon	0.2088419624277093	979	879.0	35.0	44.0	21.0	0.4922477143747279	0.45769304513572423	0.7274050632911392
D-Ribose	RCH2_defined_noCarbon	0.1774413334249517	979	889.0	35.0	41.0	14.0	0.5461262696923149	0.41231105621486364	0.761139768024713
L-Fucose	RCH2_defined_noCarbon	0.3132629436415721	979	882.0	35.0	49.0	13.0	0.5215964467342329	0.5186718845355915	0.7540303272146848
D-Cellobiose	RCH2_defined_noCarbon	0.7452536003868745	979	885.0	35.0	47.0	12.0	0.5357604717751957	0.4677783820534217	0.7530929657122658
Sodium L-Lactate	RCH2_defined_noCarbon	0.09858768750180982	979	884.0	36.0	43.0	16.0	0.5318467128053356	0.47507223865691983	0.7601336146272856
Sodium D,L-Lactate	RCH2_defined_noCarbon	0.09858768750180735	979	880.0	35.0	47.0	17.0	0.5038381450239191	0.4980591662244728	0.7604413084264622
Sodium pyruvate	RCH2_defined_noCarbon	0.09858768750181168	979	884.0	36.0	43.0	16.0	0.5318467128053356	0.409254805071932	0.7274824191279887
Sodium succinate dibasic hexahydrate	RCH2_defined_noCarbon	0.0	979							
m-Inositol	RCH2_defined_noCarbon	0.31326294364155555	979	886.0	36.0	45.0	12.0	0.5499769887478325	0.4326716332032459	0.7453738073634139
Glycerol	RCH2_defined_noCarbon	0.20884196242771597	979	883.0	35.0	49.0	12.0	0.528297040643332	0.5081072500429585	0.7126562915669062
D-Sorbitol	RCH2_defined_noCarbon	0.31939440016490633	979	882.0	35.0	50.0	12.0	0.5246592251931539	0.5114249636845093	0.7664561126464008
L-Malic acid disodium salt monohydrate	RCH2_defined_noCarbon	0.10780143270798968	979	890.0	37.0	38.0	14.0	0.5719318441764142	0.4590625294613301	0.8158997050147493
D-Trehalose dihydrate	RCH2_defined_noCarbon	0.5323240002748574	979	875.0	35.0	53.0	16.0	0.4888117947922828	0.48446559619439783	0.7514985715743292
L-Histidine	RCH2_defined_noCarbon	0.0	979							
L-Lysine	RCH2_defined_noCarbon	0.0	979							
L-Glutamine	RCH2_defined_noCarbon	0.0	979							
L-Proline	RCH2_defined_noCarbon	0.0	979							
L-Leucine	RCH2_defined_noCarbon	0.0	979							
N-Acetyl-D-Glucosamine	RCH2_defined_noCarbon	0.0	979							
D-Glucosamine Hydrochloride	RCH2_defined_noCarbon	0.0	979							
Uridine	RCH2_defined_noCarbon	0.0	979							
D-Salicin	RCH2_defined_noCarbon	0.3089836604277483	979	887.0	34.0	44.0	14.0	0.5271506396011191	0.46844574015190893	0.7484845897720481
Beta-Lactose	RCH2_defined_noCarbon	0.5323240002748545	979	884.0	34.0	45.0	16.0	0.5104735420382847	0.4745268104671497	0.7772433192686357
D-Mannose	RCH2_defined_noCarbon	0.0	979							
D-(-)-tagatose	RCH2_defined_noCarbon	0.0	979							
