condition	media	bigg_ids	mapping_confidence	n_experiments	wt_growth	wt_grows	missing_exchanges	n_ko_no_growth	n_genes_fitness_below_threshold
D-Glucose	RCH2_defined_noCarbon	glc__D	high	1	0.21027465746108095	True		53	84
D-Fructose	RCH2_defined_noCarbon	fru	high	1	0.41258391906870334	True		51	82
L-Arabinose	RCH2_defined_noCarbon	arab__L	high	1	0.0	False		979	88
D-Arabinose	RCH2_defined_noCarbon	arab__D	high	1	0.17522888122192593	True		57	84
D-Maltose monohydrate	RCH2_defined_noCarbon	malt	high	1	0.5256782496612822	True		51	86
D-Xylose	RCH2_defined_noCarbon	xyl__D	high	1	0.28036620995509276	True		52	86
D-Galactose	RCH2_defined_noCarbon	gal	high	1	0.21027465746629193	True		53	78
D-Raffinose pentahydrate	RCH2_defined_noCarbon	raffin	high	1	0.9461787993353294	True		51	81
L-Rhamnose monohydrate	RCH2_defined_noCarbon	rmn	high	1	0.20629195953437476	True		60	79
D-Ribose	RCH2_defined_noCarbon	rib__D	high	1	0.17522888122187857	True		53	76
L-Fucose	RCH2_defined_noCarbon	fuc__L	high	1	0.3094379393015474	True		52	84
D-Cellobiose	RCH2_defined_noCarbon	cellb	high	1	0.7359285244951482	True		51	82
Sodium L-Lactate	RCH2_defined_noCarbon	lac__L	high	1	0.09745657991559109	True		56	79
Sodium D,L-Lactate	RCH2_defined_noCarbon	lac__D;lac__L	high	1	0.09745657991559335	True	EX_lac__D_e	56	82
Sodium pyruvate	RCH2_defined_noCarbon	pyr	high	1	0.09745657991559074	True		56	79
Sodium succinate dibasic hexahydrate	RCH2_defined_noCarbon	succ	high	1	0.0	False		979	76
m-Inositol	RCH2_defined_noCarbon	inost	high	1	0.30943793930154573	True		52	81
Glycerol	RCH2_defined_noCarbon	glyc	high	1	0.2062919595343652	True		51	84
D-Sorbitol	RCH2_defined_noCarbon	sbt__D	high	1	0.3154119861994547	True		51	85
L-Malic acid disodium salt monohydrate	RCH2_defined_noCarbon	mal__L	high	1	0.10644058052043463	True		55	75
D-Trehalose dihydrate	RCH2_defined_noCarbon	tre	high	1	0.5256782496853142	True		55	88
L-Histidine	RCH2_defined_noCarbon	his__L	high	1	0.0	False		979	91
L-Lysine	RCH2_defined_noCarbon	lys__L	high	1	0.0	False		979	92
L-Glutamine	RCH2_defined_noCarbon	gln__L	high	1	0.0	False		979	87
L-Proline	RCH2_defined_noCarbon	pro__L	high	1	0.0	False		979	93
L-Leucine	RCH2_defined_noCarbon	leu__L	high	1	0.0	False		979	78
N-Acetyl-D-Glucosamine	RCH2_defined_noCarbon	acgam	high	1	0.0	False	EX_acgam_e	979	84
D-Glucosamine Hydrochloride	RCH2_defined_noCarbon	gam	high	1	0.0	False	EX_gam_e	979	81
Uridine	RCH2_defined_noCarbon	uri	high	1	0.0	False	EX_uri_e	979	68
D-Salicin	RCH2_defined_noCarbon	salcn	high	1	0.30526639168841824	True		52	78
Beta-Lactose	RCH2_defined_noCarbon	lcts	high	1	0.5256782496612225	True		54	79
D-Mannose	RCH2_defined_noCarbon	man	high	1	0.0	False	EX_man_e	979	88
D-(-)-tagatose	RCH2_defined_noCarbon	tagat__D	high	1	0.0	False	EX_tagat__D_e	979	87
