condition	media	wt_growth	n_genes	tp	tn	fp	fn	mcc	aucpr_bernstein	auroc_standard
D-Glucose	RCH2_defined_noCarbon	0.21021352747859587	981	882.0	45.0	39.0	15.0	0.6060256211664234	0.5977438324651856	0.8607726814248554
D-Fructose	RCH2_defined_noCarbon	0.4124570609861532	981	886.0	45.0	37.0	13.0	0.6270083663959812	0.5821371635513611	0.83186603000624
L-Arabinose	RCH2_defined_noCarbon	0.0	981							
D-Arabinose	RCH2_defined_noCarbon	0.17517793956549715	981	877.0	44.0	40.0	20.0	0.5682551590966306	0.5743421433246012	0.7955951053777139
D-Maltose monohydrate	RCH2_defined_noCarbon	0.5255338186964811	981	882.0	45.0	41.0	13.0	0.6100055979659991	0.6001272386859077	0.790600233857347
D-Xylose	RCH2_defined_noCarbon	0.28028470330479655	981	882.0	46.0	40.0	13.0	0.6189734170772232	0.583926582765454	0.8097635442380148
D-Galactose	RCH2_defined_noCarbon	0.21021352747859598	981	887.0	44.0	34.0	16.0	0.6168557099933405	0.6073984566226361	0.8489791861884886
D-Raffinose pentahydrate	RCH2_defined_noCarbon	0.9459608736536768	981	887.0	45.0	36.0	13.0	0.6314447672725533	0.6409497431866491	0.7883196159122087
L-Rhamnose monohydrate	RCH2_defined_noCarbon	0.20622853049306733	981	880.0	45.0	34.0	22.0	0.588147244177008	0.568268798922472	0.7864801145134581
D-Ribose	RCH2_defined_noCarbon	0.17517793956550384	981	890.0	45.0	31.0	15.0	0.642087363953238	0.5575784841130752	0.846743239313754
L-Fucose	RCH2_defined_noCarbon	0.3093427957396109	981	883.0	45.0	39.0	14.0	0.612120396183635	0.5913007282510881	0.826996071561289
D-Cellobiose	RCH2_defined_noCarbon	0.7357473461751047	981	886.0	45.0	37.0	13.0	0.6270083663959812	0.5817194980389591	0.8626861824791773
Sodium L-Lactate	RCH2_defined_noCarbon	0.09742207358104579	981	885.0	46.0	33.0	17.0	0.6254121339108982	0.5769849636690002	0.8059375789385052
Sodium D,L-Lactate	RCH2_defined_noCarbon	0.09742207358104202	981	881.0	45.0	37.0	18.0	0.5969697237732998	0.5911205761329998	0.7928728397406332
Sodium pyruvate	RCH2_defined_noCarbon	0.09742207358104202	981	885.0	46.0	33.0	17.0	0.6254121339108982	0.5152970963477351	0.8490134441045215
Sodium succinate dibasic hexahydrate	RCH2_defined_noCarbon	0.0	981							
m-Inositol	RCH2_defined_noCarbon	0.3093427957396127	981	887.0	46.0	35.0	13.0	0.6407019087117574	0.5497144992396269	0.8400274348422497
Glycerol	RCH2_defined_noCarbon	0.20622853049307424	981	884.0	45.0	39.0	13.0	0.6183628152303806	0.6078735367238535	0.7816066783458089
D-Sorbitol	RCH2_defined_noCarbon	0.31532029121788907	981	883.0	45.0	40.0	13.0	0.6141492196532401	0.6084693331441215	0.8104451155462186
L-Malic acid disodium salt monohydrate	RCH2_defined_noCarbon	0.10640930582713469	981	891.0	47.0	28.0	15.0	0.6662688981052433	0.5633176203067211	0.8572111846946284
D-Trehalose dihydrate	RCH2_defined_noCarbon	0.5255338186964128	981	876.0	45.0	43.0	17.0	0.5781850241841274	0.587761692578123	0.8363343683192508
L-Histidine	RCH2_defined_noCarbon	0.0	981							
L-Lysine	RCH2_defined_noCarbon	0.0	981							
L-Glutamine	RCH2_defined_noCarbon	0.0	981							
L-Proline	RCH2_defined_noCarbon	0.0	981							
L-Leucine	RCH2_defined_noCarbon	0.0	981							
N-Acetyl-D-Glucosamine	RCH2_defined_noCarbon	0.0	981							
D-Glucosamine Hydrochloride	RCH2_defined_noCarbon	0.0	981							
Uridine	RCH2_defined_noCarbon	0.0	981							
D-Salicin	RCH2_defined_noCarbon	0.3051692301776801	981	888.0	44.0	34.0	15.0	0.6229840208838933	0.5810679914433932	0.8432859130533549
Beta-Lactose	RCH2_defined_noCarbon	0.5255338186964928	981	885.0	44.0	35.0	17.0	0.6063635634161407	0.5643114242850205	0.8066603048078812
D-Mannose	RCH2_defined_noCarbon	0.0	981							
D-(-)-tagatose	RCH2_defined_noCarbon	0.0	981							
