condition	media	bigg_ids	mapping_confidence	n_experiments	wt_growth	wt_grows	missing_exchanges	n_ko_no_growth	n_genes_fitness_below_threshold
D-Glucose	RCH2_defined_noCarbon	glc__D	high	1	0.21021352747859587	True		34	70
D-Fructose	RCH2_defined_noCarbon	fru	high	1	0.4124570609861532	True		32	68
L-Arabinose	RCH2_defined_noCarbon	arab__L	high	1	0.0	False		954	74
D-Arabinose	RCH2_defined_noCarbon	arab__D	high	1	0.17517793956549715	True		38	70
D-Maltose monohydrate	RCH2_defined_noCarbon	malt	high	1	0.5255338186964811	True		32	72
D-Xylose	RCH2_defined_noCarbon	xyl__D	high	1	0.28028470330479655	True		33	72
D-Galactose	RCH2_defined_noCarbon	gal	high	1	0.21021352747859598	True		34	64
D-Raffinose pentahydrate	RCH2_defined_noCarbon	raffin	high	1	0.9459608736536768	True		32	67
L-Rhamnose monohydrate	RCH2_defined_noCarbon	rmn	high	1	0.20622853049306733	True		41	65
D-Ribose	RCH2_defined_noCarbon	rib__D	high	1	0.17517793956550384	True		34	62
L-Fucose	RCH2_defined_noCarbon	fuc__L	high	1	0.3093427957396109	True		33	70
D-Cellobiose	RCH2_defined_noCarbon	cellb	high	1	0.7357473461751047	True		32	68
Sodium L-Lactate	RCH2_defined_noCarbon	lac__L	high	1	0.09742207358104579	True		37	65
Sodium D,L-Lactate	RCH2_defined_noCarbon	lac__D;lac__L	high	1	0.09742207358104202	True	EX_lac__D_e	37	68
Sodium pyruvate	RCH2_defined_noCarbon	pyr	high	1	0.09742207358104202	True		37	65
Sodium succinate dibasic hexahydrate	RCH2_defined_noCarbon	succ	high	1	0.0	False		954	62
m-Inositol	RCH2_defined_noCarbon	inost	high	1	0.3093427957396127	True		33	67
Glycerol	RCH2_defined_noCarbon	glyc	high	1	0.20622853049307424	True		32	70
D-Sorbitol	RCH2_defined_noCarbon	sbt__D	high	1	0.31532029121788907	True		32	71
L-Malic acid disodium salt monohydrate	RCH2_defined_noCarbon	mal__L	high	1	0.10640930582713469	True		36	61
D-Trehalose dihydrate	RCH2_defined_noCarbon	tre	high	1	0.5255338186964128	True		36	74
L-Histidine	RCH2_defined_noCarbon	his__L	high	1	0.0	False		954	77
L-Lysine	RCH2_defined_noCarbon	lys__L	high	1	0.0	False		954	78
L-Glutamine	RCH2_defined_noCarbon	gln__L	high	1	0.0	False		954	73
L-Proline	RCH2_defined_noCarbon	pro__L	high	1	0.0	False		954	79
L-Leucine	RCH2_defined_noCarbon	leu__L	high	1	0.0	False		954	64
N-Acetyl-D-Glucosamine	RCH2_defined_noCarbon	acgam	high	1	0.0	False	EX_acgam_e	954	70
D-Glucosamine Hydrochloride	RCH2_defined_noCarbon	gam	high	1	0.0	False	EX_gam_e	954	67
Uridine	RCH2_defined_noCarbon	uri	high	1	0.0	False	EX_uri_e	954	54
D-Salicin	RCH2_defined_noCarbon	salcn	high	1	0.3051692301776801	True		33	64
Beta-Lactose	RCH2_defined_noCarbon	lcts	high	1	0.5255338186964928	True		35	65
D-Mannose	RCH2_defined_noCarbon	man	high	1	0.0	False	EX_man_e	954	74
D-(-)-tagatose	RCH2_defined_noCarbon	tagat__D	high	1	0.0	False	EX_tagat__D_e	954	73
