condition	media	wt_growth	n_genes	tp	tn	fp	fn	mcc	aucpr_bernstein	auroc_standard
D-Glucose	RCH2_defined_noCarbon	0.21021352747859587	954	881.0	31.0	39.0	3.0	0.6181082902349506	0.6169103860871408	0.8351648351648351
D-Fructose	RCH2_defined_noCarbon	0.4124570609861532	954	885.0	31.0	37.0	1.0	0.6498409787780607	0.6033764793918824	0.8002506307263312
L-Arabinose	RCH2_defined_noCarbon	0.0	954							
D-Arabinose	RCH2_defined_noCarbon	0.17517793956549715	954	876.0	30.0	40.0	8.0	0.5593581889235065	0.5758795473566244	0.7539673561732385
D-Maltose monohydrate	RCH2_defined_noCarbon	0.5255338186964811	954	881.0	31.0	41.0	1.0	0.6300052194119847	0.6142530510149451	0.7591805240614764
D-Xylose	RCH2_defined_noCarbon	0.28028470330479655	954	881.0	32.0	40.0	1.0	0.6407991514897862	0.6139323207833943	0.8176886495338876
D-Galactose	RCH2_defined_noCarbon	0.21021352747859598	954	886.0	30.0	34.0	4.0	0.6264822720092499	0.6459825558348529	0.8181794241573034
D-Raffinose pentahydrate	RCH2_defined_noCarbon	0.9459608736536768	954	886.0	31.0	36.0	1.0	0.6550676409211668	0.6738737010734409	0.7741170135792289
L-Rhamnose monohydrate	RCH2_defined_noCarbon	0.20622853049306733	954	879.0	31.0	34.0	10.0	0.5785790216226963	0.5463531879922382	0.7963744916500822
D-Ribose	RCH2_defined_noCarbon	0.17517793956550384	954	889.0	31.0	31.0	3.0	0.6603645809797793	0.5510452331932075	0.7928540431071892
L-Fucose	RCH2_defined_noCarbon	0.3093427957396109	954	882.0	31.0	39.0	2.0	0.6286770918579373	0.6364460259042328	0.791645119586296
D-Cellobiose	RCH2_defined_noCarbon	0.7357473461751047	954	885.0	31.0	37.0	1.0	0.6498409787780607	0.5919178728490343	0.8141930022573364
Sodium L-Lactate	RCH2_defined_noCarbon	0.09742207358104579	954	884.0	32.0	33.0	5.0	0.635138674248864	0.5676219336595029	0.8346543220558971
Sodium D,L-Lactate	RCH2_defined_noCarbon	0.09742207358104202	954	880.0	31.0	37.0	6.0	0.5984651221159786	0.6167018472867569	0.8136120701102111
Sodium pyruvate	RCH2_defined_noCarbon	0.09742207358104202	954	884.0	32.0	33.0	5.0	0.635138674248864	0.5020761361792787	0.7719044734792766
Sodium succinate dibasic hexahydrate	RCH2_defined_noCarbon	0.0	954							
m-Inositol	RCH2_defined_noCarbon	0.3093427957396127	954	886.0	32.0	35.0	1.0	0.6662868538278233	0.5703524413940996	0.7777095357485402
Glycerol	RCH2_defined_noCarbon	0.20622853049307424	954	883.0	31.0	39.0	1.0	0.6397165521504227	0.6467781861578878	0.7341548157724628
D-Sorbitol	RCH2_defined_noCarbon	0.31532029121788907	954	882.0	31.0	40.0	1.0	0.6348110626874407	0.6405952122200332	0.7667921458536041
L-Malic acid disodium salt monohydrate	RCH2_defined_noCarbon	0.10640930582713469	954	890.0	33.0	28.0	3.0	0.6902347499394929	0.5483566161488096	0.819874066051071
D-Trehalose dihydrate	RCH2_defined_noCarbon	0.5255338186964128	954	875.0	31.0	43.0	5.0	0.5800746822936746	0.6005985891509511	0.7662853194103194
L-Histidine	RCH2_defined_noCarbon	0.0	954							
L-Lysine	RCH2_defined_noCarbon	0.0	954							
L-Glutamine	RCH2_defined_noCarbon	0.0	954							
L-Proline	RCH2_defined_noCarbon	0.0	954							
L-Leucine	RCH2_defined_noCarbon	0.0	954							
N-Acetyl-D-Glucosamine	RCH2_defined_noCarbon	0.0	954							
D-Glucosamine Hydrochloride	RCH2_defined_noCarbon	0.0	954							
Uridine	RCH2_defined_noCarbon	0.0	954							
D-Salicin	RCH2_defined_noCarbon	0.3051692301776801	954	887.0	30.0	34.0	3.0	0.6370964521044568	0.6168863528772458	0.8020452949438203
Beta-Lactose	RCH2_defined_noCarbon	0.5255338186964928	954	884.0	30.0	35.0	5.0	0.6110811204166227	0.5698903819668426	0.7975685731591244
D-Mannose	RCH2_defined_noCarbon	0.0	954							
D-(-)-tagatose	RCH2_defined_noCarbon	0.0	954							
