condition	media	wt_growth	n_genes	tp	tn	fp	fn	mcc	aucpr_bernstein	auroc_standard
D-Glucose	RCH2_defined_noCarbon	0.21021352747859381	979	881.0	45.0	39.0	14.0	0.612060805915232	0.603237730218307	0.8753591380686352
D-Fructose	RCH2_defined_noCarbon	0.41245706098615187	979	885.0	45.0	37.0	12.0	0.6334038574126901	0.5910448722967915	0.8112407211028632
L-Arabinose	RCH2_defined_noCarbon	0.0	979							
D-Arabinose	RCH2_defined_noCarbon	0.17517793956553235	979	876.0	44.0	40.0	19.0	0.5736391192367816	0.5804813888900534	0.7878691141260973
D-Maltose monohydrate	RCH2_defined_noCarbon	0.5255338186964891	979	881.0	45.0	41.0	12.0	0.6162929517802049	0.6084812021471065	0.8245592333133674
D-Xylose	RCH2_defined_noCarbon	0.28028470330479205	979	881.0	46.0	40.0	12.0	0.62523081738113	0.5923817825285549	0.8232831584155836
D-Galactose	RCH2_defined_noCarbon	0.21021352747859567	979	886.0	44.0	34.0	15.0	0.6229278162609255	0.6149170283840586	0.8262187313241698
D-Raffinose pentahydrate	RCH2_defined_noCarbon	0.945960873653669	979	886.0	45.0	36.0	12.0	0.6378687360387691	0.6480142895121473	0.8474868706865737
L-Rhamnose monohydrate	RCH2_defined_noCarbon	0.20622853049307815	979	879.0	45.0	34.0	21.0	0.5934009616920026	0.5751011329533893	0.8229887482419128
D-Ribose	RCH2_defined_noCarbon	0.17517793956424307	979	889.0	45.0	31.0	14.0	0.6483454011995999	0.5649036445441521	0.8382584367896486
L-Fucose	RCH2_defined_noCarbon	0.30934279573961954	979	882.0	45.0	39.0	13.0	0.6183049332519293	0.6002244339479305	0.794293695131684
D-Cellobiose	RCH2_defined_noCarbon	0.7357473461740549	979	885.0	45.0	37.0	12.0	0.6334038574126901	0.5897256387938139	0.8224977567501428
Sodium L-Lactate	RCH2_defined_noCarbon	0.09742207358104549	979	884.0	46.0	33.0	16.0	0.6312752681871606	0.5832787908088729	0.8425105485232068
Sodium D,L-Lactate	RCH2_defined_noCarbon	0.09742207358104234	979	880.0	45.0	37.0	17.0	0.6026399101588024	0.598764933772746	0.8338091742121434
Sodium pyruvate	RCH2_defined_noCarbon	0.09742207358104199	979	884.0	46.0	33.0	16.0	0.6312752681871606	0.5219140164249967	0.8330450070323487
Sodium succinate dibasic hexahydrate	RCH2_defined_noCarbon	0.0	979							
m-Inositol	RCH2_defined_noCarbon	0.30934279573960904	979	886.0	46.0	35.0	12.0	0.6470954389048281	0.557581497094552	0.8618947455250351
Glycerol	RCH2_defined_noCarbon	0.20622853049307588	979	883.0	45.0	39.0	12.0	0.6247031176904393	0.6167882355510007	0.8050611864857674
D-Sorbitol	RCH2_defined_noCarbon	0.31532029121787747	979	882.0	45.0	40.0	12.0	0.6204627761403709	0.6138602653520226	0.830582971443611
L-Malic acid disodium salt monohydrate	RCH2_defined_noCarbon	0.10640930582714202	979	890.0	47.0	28.0	14.0	0.6725083500575879	0.5704466973707198	0.8427507374631269
D-Trehalose dihydrate	RCH2_defined_noCarbon	0.5255338186965152	979	875.0	45.0	43.0	16.0	0.5838464007868225	0.5950313805578983	0.8118814406693193
L-Histidine	RCH2_defined_noCarbon	0.0	979							
L-Lysine	RCH2_defined_noCarbon	0.0	979							
L-Glutamine	RCH2_defined_noCarbon	0.0	979							
L-Proline	RCH2_defined_noCarbon	0.0	979							
L-Leucine	RCH2_defined_noCarbon	0.0	979							
N-Acetyl-D-Glucosamine	RCH2_defined_noCarbon	0.0	979							
D-Glucosamine Hydrochloride	RCH2_defined_noCarbon	0.0	979							
Uridine	RCH2_defined_noCarbon	0.0	979							
D-Salicin	RCH2_defined_noCarbon	0.3051692301776739	979	887.0	44.0	34.0	14.0	0.6292067957543079	0.5897227632044976	0.8206551125530037
Beta-Lactose	RCH2_defined_noCarbon	0.5255338186965021	979	884.0	44.0	35.0	16.0	0.6122638458477053	0.5714517274544869	0.8187060478199718
D-Mannose	RCH2_defined_noCarbon	0.0	979							
D-(-)-tagatose	RCH2_defined_noCarbon	0.0	979							
