condition	media	wt_growth	n_genes	tp	tn	fp	fn	mcc	aucpr_bernstein	auroc_standard
D-Glucose	RCH2_defined_noCarbon	0.7271032224472053	984	896.0	45.0	39.0	4.0	0.6824521639812631	0.7024082128529648	0.8248214285714286
D-Fructose	RCH2_defined_noCarbon	0.8312524217187031	984	898.0	45.0	37.0	4.0	0.6916419142140272	0.6710685691424387	0.8091503974906711
L-Arabinose	RCH2_defined_noCarbon	0.0	984							
D-Arabinose	RCH2_defined_noCarbon	0.6059334885081687	984	891.0	44.0	40.0	9.0	0.6359899785365495	0.6613491716205884	0.8101653439153439
D-Maltose monohydrate	RCH2_defined_noCarbon	1.5147064930498078	984	894.0	45.0	41.0	4.0	0.6735731194627959	0.6837208090293423	0.7729968405241622
D-Xylose	RCH2_defined_noCarbon	0.6513721387352582	984	894.0	46.0	40.0	4.0	0.6821133088629006	0.665342851687988	0.8532073859222045
D-Galactose	RCH2_defined_noCarbon	0.7271032224470553	984	901.0	44.0	34.0	5.0	0.6937386504605009	0.7082866840449342	0.8094823682572028
D-Raffinose pentahydrate	RCH2_defined_noCarbon	2.362822452289661	984	899.0	45.0	36.0	4.0	0.696359238733237	0.7320015215652151	0.8537932543100503
L-Rhamnose monohydrate	RCH2_defined_noCarbon	0.7696843250677391	984	894.0	45.0	34.0	11.0	0.6538646720927068	0.6533892816411444	0.8042660325896915
D-Ribose	RCH2_defined_noCarbon	0.6059334885071013	984	904.0	45.0	31.0	4.0	0.7212761112292057	0.6477583122870815	0.8499159517737075
L-Fucose	RCH2_defined_noCarbon	0.8158603975559532	984	895.0	45.0	39.0	5.0	0.6745410352521283	0.675096434382815	0.8355555555555555
D-Cellobiose	RCH2_defined_noCarbon	1.6358687956552682	984	898.0	45.0	37.0	4.0	0.6916419142140272	0.6680753019136048	0.8336488021199503
Sodium L-Lactate	RCH2_defined_noCarbon	0.33868663343554367	984	899.0	46.0	33.0	6.0	0.6991746848172257	0.660027197893681	0.8258619483879992
Sodium D,L-Lactate	RCH2_defined_noCarbon	0.3386866334355387	984	895.0	45.0	37.0	7.0	0.6683652341325548	0.6919094037819372	0.8048915688713429
Sodium pyruvate	RCH2_defined_noCarbon	0.2771072455381678	984	899.0	46.0	33.0	6.0	0.6991746848172257	0.6003691533044112	0.8346247989369886
Sodium succinate dibasic hexahydrate	RCH2_defined_noCarbon	0.0	984							
m-Inositol	RCH2_defined_noCarbon	0.7446541240526383	984	899.0	46.0	35.0	4.0	0.7051799274920207	0.6282897954627267	0.8127503657219419
Glycerol	RCH2_defined_noCarbon	0.47943130796859484	984	896.0	45.0	39.0	4.0	0.6824521639812631	0.7010824210002604	0.8213558201058201
D-Sorbitol	RCH2_defined_noCarbon	0.8331267396436094	984	895.0	45.0	40.0	4.0	0.6779749416162169	0.6873196896396855	0.8204279264542302
L-Malic acid disodium salt monohydrate	RCH2_defined_noCarbon	0.3628397469465814	984	904.0	47.0	28.0	5.0	0.7367339834775293	0.6367312580133302	0.8270847084708471
D-Trehalose dihydrate	RCH2_defined_noCarbon	1.514706493049826	984	888.0	45.0	43.0	8.0	0.6351298244096242	0.6620370060211312	0.839558390827922
L-Histidine	RCH2_defined_noCarbon	0.034827581172895986	984	887.0	45.0	46.0	6.0	0.6374562068794805	0.6435382318037168	0.723619605478508
L-Lysine	RCH2_defined_noCarbon	0.0	984							
L-Glutamine	RCH2_defined_noCarbon	0.0	984							
L-Proline	RCH2_defined_noCarbon	0.0	984							
L-Leucine	RCH2_defined_noCarbon	0.0	984							
N-Acetyl-D-Glucosamine	RCH2_defined_noCarbon	0.0	984							
D-Glucosamine Hydrochloride	RCH2_defined_noCarbon	0.0	984							
Uridine	RCH2_defined_noCarbon	0.0	984							
D-Salicin	RCH2_defined_noCarbon	0.7806897257053361	984	900.0	44.0	34.0	6.0	0.6857760097970222	0.6666975193846642	0.8361422425991962
Beta-Lactose	RCH2_defined_noCarbon	1.514706493049798	984	897.0	44.0	35.0	8.0	0.6657415091023773	0.6427406114110299	0.8103923351283306
D-Mannose	RCH2_defined_noCarbon	0.0	984							
D-(-)-tagatose	RCH2_defined_noCarbon	0.0	984							
