condition	media	wt_growth	n_genes	tp	tn	fp	fn	mcc	aucpr_bernstein	auroc_standard
D-Glucose	RCH2_defined_noCarbon	0.21021352747859381	957	881.0	26.0	47.0	3.0	0.546269691062444	0.5018394260662554	0.7697111510568401
D-Fructose	RCH2_defined_noCarbon	0.41245706098615187	957	885.0	26.0	45.0	1.0	0.5778259714288029	0.4550054731224825	0.7114345213493148
L-Arabinose	RCH2_defined_noCarbon	0.0	957							
D-Arabinose	RCH2_defined_noCarbon	0.17517793956553235	957	876.0	25.0	48.0	8.0	0.48504386683417744	0.49823336617703295	0.7104304841009111
D-Maltose monohydrate	RCH2_defined_noCarbon	0.5255338186964891	957	881.0	26.0	49.0	1.0	0.5608296264756701	0.5180562219495308	0.7277324263038548
D-Xylose	RCH2_defined_noCarbon	0.28028470330479205	957	881.0	27.0	48.0	1.0	0.5722827079754118	0.5092228554894632	0.8014058956916099
D-Galactose	RCH2_defined_noCarbon	0.21021352747859567	957	886.0	25.0	42.0	4.0	0.5487339261278787	0.5263468850078358	0.7079070937447594
D-Raffinose pentahydrate	RCH2_defined_noCarbon	0.945960873653669	957	886.0	26.0	44.0	1.0	0.5822943343665277	0.5606702894317048	0.6948381381865035
L-Rhamnose monohydrate	RCH2_defined_noCarbon	0.20622853049307815	957	879.0	26.0	42.0	10.0	0.5010952814245456	0.4340668435384139	0.7335902865083042
D-Ribose	RCH2_defined_noCarbon	0.17517793956424307	957	889.0	26.0	39.0	3.0	0.5821824275291783	0.39624613604945774	0.742385305277682
L-Fucose	RCH2_defined_noCarbon	0.30934279573961954	957	882.0	26.0	47.0	2.0	0.5574213944305468	0.5707533501231209	0.7271663670736999
D-Cellobiose	RCH2_defined_noCarbon	0.7357473461740549	957	885.0	26.0	45.0	1.0	0.5778259714288029	0.4710746105228898	0.7332766349791753
Sodium L-Lactate	RCH2_defined_noCarbon	0.09742207358104549	957	884.0	27.0	41.0	5.0	0.5593950400953142	0.47192384034840945	0.7274862700985906
Sodium D,L-Lactate	RCH2_defined_noCarbon	0.09742207358104234	957	880.0	26.0	45.0	6.0	0.5239727139102649	0.5056175370393149	0.7150748736209582
Sodium pyruvate	RCH2_defined_noCarbon	0.09742207358104199	957	884.0	27.0	41.0	5.0	0.5593950400953142	0.3986761726004962	0.7294713160854892
Sodium succinate dibasic hexahydrate	RCH2_defined_noCarbon	0.0	957							
m-Inositol	RCH2_defined_noCarbon	0.30934279573960904	957	886.0	27.0	43.0	1.0	0.5941805520705364	0.44943100462747587	0.7766226445482365
Glycerol	RCH2_defined_noCarbon	0.20622853049307588	957	883.0	26.0	47.0	1.0	0.5691583692976419	0.5042386327814521	0.7209911361804996
D-Sorbitol	RCH2_defined_noCarbon	0.31532029121787747	957	882.0	26.0	48.0	1.0	0.5649530675373541	0.5646027353048937	0.7817865997367694
L-Malic acid disodium salt monohydrate	RCH2_defined_noCarbon	0.10640930582714202	957	890.0	28.0	36.0	3.0	0.6125756306396636	0.44806478355495644	0.7403677911534154
D-Trehalose dihydrate	RCH2_defined_noCarbon	0.5255338186965152	957	875.0	26.0	51.0	5.0	0.5100502427329808	0.4929922574731191	0.6851239669421486
L-Histidine	RCH2_defined_noCarbon	0.0	957							
L-Lysine	RCH2_defined_noCarbon	0.0	957							
L-Glutamine	RCH2_defined_noCarbon	0.0	957							
L-Proline	RCH2_defined_noCarbon	0.0	957							
L-Leucine	RCH2_defined_noCarbon	0.0	957							
N-Acetyl-D-Glucosamine	RCH2_defined_noCarbon	0.0	957							
D-Glucosamine Hydrochloride	RCH2_defined_noCarbon	0.0	957							
Uridine	RCH2_defined_noCarbon	0.0	957							
D-Salicin	RCH2_defined_noCarbon	0.3051692301776739	957	887.0	25.0	42.0	3.0	0.5598473413321252	0.4979189983682832	0.79194197551568
Beta-Lactose	RCH2_defined_noCarbon	0.5255338186965021	957	884.0	25.0	43.0	5.0	0.5337534801175426	0.48014544733886577	0.6920614702573943
D-Mannose	RCH2_defined_noCarbon	0.0	957							
D-(-)-tagatose	RCH2_defined_noCarbon	0.0	957							
