reaction	n_organisms	n_genes_total	organisms
Growth	4	43	Btheta;Putida;MR1;Smeli
ANS	4	17	Btheta;Putida;MR1;Smeli
GLUPRT	4	13	Btheta;Putida;MR1;Smeli
ASNS1	4	13	Btheta;Putida;MR1;Smeli
IG3PS	4	12	Btheta;Putida;MR1;Smeli
PRFGS	4	12	Btheta;Putida;MR1;Smeli
GF6PTA	4	12	Btheta;Putida;MR1;Smeli
ACHBS	4	9	Btheta;Putida;MR1;Smeli
ACLS	4	9	Btheta;Putida;MR1;Smeli
DXPS	4	7	Btheta;Putida;MR1;Smeli
DHDPS	4	6	Btheta;Putida;MR1;Smeli
ALAR	4	4	Btheta;Putida;MR1;Smeli
ADCL	3	8	Btheta;MR1;Smeli
ALATA_L	3	7	Btheta;Putida;Smeli
GHMT2r	3	6	Btheta;MR1;Smeli
ANPRT	3	5	Btheta;Putida;MR1
SERAT	3	5	Btheta;MR1;Smeli
ADSS	3	5	Btheta;MR1;Smeli
MOHMT	3	5	Btheta;MR1;Smeli
ALAD_syn	3	5	Btheta;MR1;Smeli
AMMQLT8	3	4	Btheta;Putida;MR1
PAPSR	3	4	Putida;MR1;Smeli
DHORTS	3	4	Putida;MR1;Smeli
MTHFD	3	3	Btheta;MR1;Smeli
ALAALAr	3	3	Btheta;MR1;Smeli
UAMAS	3	3	Btheta;MR1;Smeli
ASPCT	3	3	Btheta;MR1;Smeli
AICART	3	3	Btheta;MR1;Smeli
GTPCII	3	3	Btheta;MR1;Smeli
GTPCI	3	3	Btheta;MR1;Smeli
DHFR	3	3	Btheta;MR1;Smeli
TMDS	3	3	Btheta;MR1;Smeli
TPI	3	3	Btheta;Putida;Smeli
ADSK	3	3	Putida;MR1;Smeli
DHAD1	3	3	Putida;MR1;Smeli
ADCS	2	8	MR1;Smeli
CBPS	2	6	Btheta;MR1
PYK	2	5	Btheta;Smeli
PFL	2	5	Btheta;MR1
PRAGSr	2	5	MR1;Smeli
SHCHCS	2	4	Btheta;Smeli
ASPK	2	4	Btheta;MR1
CTPS2	2	4	Putida;MR1
CBMKr	2	4	Putida;Smeli
STPT1	2	4	Putida;MR1
PPNCL	2	4	MR1;Smeli
GARFT	2	4	MR1;Smeli
CHORM	2	3	Btheta;MR1
FTHFLi	2	3	Btheta;MR1
ARGSS	2	3	Btheta;MR1
IPPS	2	3	Btheta;Smeli
PC	2	3	Btheta;Smeli
RNDR3	2	3	Putida;Smeli
OCBT	2	3	Putida;Smeli
HSERTA	2	3	MR1;Smeli
AHSERL2	2	3	MR1;Smeli
IMPD	2	3	MR1;Smeli
SADT2	2	3	MR1;Smeli
ASP1DC	2	2	Btheta;MR1
PRASCSi	2	2	Btheta;MR1
MTHFC	2	2	Btheta;Smeli
METS_1	2	2	Btheta;MR1
NACODA	2	2	Btheta;MR1
IPPMIb	2	2	Btheta;Smeli
IPPMIa	2	2	Btheta;Smeli
PDX5PS	2	2	Btheta;MR1
PDHa	2	2	Btheta;Smeli
FBA	2	2	Btheta;MR1
RNDR4	2	2	Putida;Smeli
PGCD	2	2	Putida;Smeli
PSP_L	2	2	Putida;MR1
UMPK	2	2	MR1;Smeli
GK1	2	2	MR1;Smeli
MDH	2	2	MR1;Smeli
AMMQT8_2	2	2	MR1;Smeli
SUCDi	1	5	MR1
NADH16	1	5	MR1
DHORD2	1	5	MR1
ASPTA6	1	4	MR1
THZPSN	1	4	MR1
GMPS2	1	4	MR1
CAt6pp	1	4	MR1
GLYCL_2	1	3	Btheta
LDH_L	1	3	MR1
SHCHCS3	1	3	MR1
FMNAT	1	3	MR1
PABB	1	2	Btheta
ICHORS	1	2	Btheta
ANS2	1	2	Btheta
ASPTA	1	2	Btheta
DHORD6	1	2	Btheta
PGM	1	2	Btheta
TRPAS2	1	2	Btheta
HSST	1	2	Putida
TKT1	1	2	MR1
TRPS1	1	2	MR1
SDPDS	1	2	MR1
ICL	1	2	MR1
AHCi	1	2	MR1
CYSS	1	2	MR1
HPPK2	1	2	MR1
AKP1	1	2	MR1
SULR	1	2	MR1
RBFK	1	2	MR1
PPS	1	2	MR1
SPTc	1	2	Smeli
SPT_syn	1	2	Smeli
ASPO2y	1	1	Btheta
TYRTA	1	1	Btheta
PHETA1	1	1	Btheta
AMPMS2	1	1	Btheta
DB4PS	1	1	Btheta
MTHFR3	1	1	Btheta
RPE	1	1	Btheta
P5CRx	1	1	Btheta
POR3b	1	1	Btheta
SUCOAS	1	1	Btheta
TRPS3	1	1	Btheta
TALA	1	1	Btheta
UAAGDS	1	1	Putida
ORNTAC	1	1	Putida
RNDR1	1	1	Putida
DHAD2	1	1	Putida
DHPS	1	1	Putida
ORNCD	1	1	Putida
DLYSPYRAT	1	1	Putida
OXOADLR	1	1	Putida
SULR_1	1	1	Putida
GAPD	1	1	Putida
TKT2	1	1	Putida
PGI	1	1	Putida
OHPBAT	1	1	MR1
RPI	1	1	MR1
THRAi	1	1	MR1
HSDy	1	1	MR1
PDX5POi	1	1	MR1
GLYCTO1	1	1	MR1
FUM	1	1	MR1
BPNT	1	1	MR1
COBALT2tex	1	1	MR1
PPNDH	1	1	MR1
CITt15	1	1	MR1
CYTBD	1	1	MR1
SULRi	1	1	MR1
DHNPA2r	1	1	MR1
AHMMPS_1	1	1	MR1
DPR	1	1	MR1
E4PD	1	1	MR1
EX_pi_e	1	1	MR1
RNTR2c2	1	1	MR1
NDPK1	1	1	MR1
GLNS	1	1	MR1
THDPS	1	1	MR1
OMCDC	1	1	MR1
ME1	1	1	MR1
PPC	1	1	MR1
ORPT	1	1	MR1
ATPPRT	1	1	MR1
NICRNS	1	1	MR1
CYTK1	1	1	MR1
DTMPK	1	1	MR1
PPA	1	1	MR1
PGK	1	1	MR1
ENO	1	1	MR1
DDPA	1	1	MR1
UAGCVT	1	1	MR1
PSCVT	1	1	MR1
PPCK	1	1	MR1
THRD_L	1	1	MR1
TMPK	1	1	MR1
DXPRIi	1	1	MR1
AHCYSNS	1	1	Smeli
PUNP1	1	1	Smeli
RHCYS	1	1	Smeli
ALATA_D	1	1	Smeli
EDA	1	1	Smeli
THIORDXi	1	1	Smeli
RNDR2	1	1	Smeli
TSULR3e	1	1	Smeli
CPK1	1	1	Smeli
DHAD3	1	1	Smeli
QULNS	1	1	Smeli
MI1PS	1	1	Smeli
GLU5K	1	1	Smeli
HISTD	1	1	Smeli
HSK	1	1	Smeli
SSCOARy	1	1	Smeli
CYSTS_2	1	1	Smeli
METS	1	1	Smeli
MTHFR	1	1	Smeli
PFOR	1	1	Smeli
AGTi	1	1	Smeli
POX2	1	1	Smeli
PPND	1	1	Smeli
PRATPP	1	1	Smeli
PRAMPC_1	1	1	Smeli
SADT	1	1	Smeli
FESR	1	1	Smeli
