gene	model_gene	n_conditions_important	desc	gene_reactions	ko_growth	bypass
BT2076	NP_810989_1	14	acetohydroxyacid synthase small subunit (NCBI ptt file)	ACHBS;ACLS	0.4383620930468901	ACHBS:isozyme[(NP_809485_1 and NP_810990_1) or (NP_810] | ACLS:isozyme[NP_810990_1 or (NP_809485_1 and NP_81099]
BT0531	NP_809444_1	10	anthranilate synthase component II (NCBI ptt file)	ANS2;ADCS;ANS;ANPRT	0.4380978008347246	CHORM[uses chor_c; v=0.137; rev=False; gpr=yes] | PABB[uses chor_c; v=0.000284; rev=False; gpr=yes] | ICHORS[uses chor_c; v=4.24e-05; rev=True; gpr=yes] | PYK[makes pyr_c; v=18.1; rev=False; gpr=yes] | ALATA_L[makes pyr_c; v=2.66; rev=True; gpr=yes] | ADCL[makes pyr_c; v=0.000284; rev=False; gpr=yes] | SHCHCS[makes pyr_c; v=4.24e-05; rev=False; gpr=none] | IG3PS[uses gln__L_c; v=0.0402; rev=False; gpr=yes] | PRFGS[uses gln__L_c; v=0.19; rev=False; gpr=yes] | Growth[uses gln__L_c; v=0.438; rev=False; gpr=none] | GLUPRT[uses gln__L_c; v=0.19; rev=False; gpr=yes] | GF6PTA[uses gln__L_c; v=0.0849; rev=False; gpr=yes] | CBPS[uses gln__L_c; v=0.266; rev=False; gpr=yes] | PABB[makes 4adcho_c; v=0.000284; rev=False; gpr=yes] | ANS:isozyme[NP_809444_1 or NP_809445_1 or (NP_809444] | ANPRT:isozyme[NP_809443_1 or NP_809444_1 or NP_809445_]
BT0738	NP_809651_1	14	serine hydroxymethyltransferase (NCBI ptt file)	THFAT;THRA2i;GHMT2r;THRAi;ALATA_D2;ALATA_L2	0.4383620930468958	MTHFD[uses methf_c; v=-0.527; rev=True; gpr=yes] | GLYCL_2[makes gly_c; v=0.45; rev=False; gpr=yes] | Growth[uses ser__L_c; v=0.438; rev=False; gpr=none] | SERAT[uses ser__L_c; v=0.0392; rev=True; gpr=yes] | FTHFLi[uses thf_c; v=0.757; rev=False; gpr=yes] | Growth[uses thf_c; v=0.438; rev=False; gpr=none] | MTHFD[makes mlthf_c; v=-0.527; rev=True; gpr=yes] | Growth[uses thr__L_c; v=0.438; rev=False; gpr=none] | ALAALAr[uses ala__D_c; v=0.0425; rev=True; gpr=yes] | Growth[uses pydx5p_c; v=0.438; rev=False; gpr=none] | PYK[makes pyr_c; v=18; rev=False; gpr=yes] | ALATA_L[makes pyr_c; v=2.75; rev=True; gpr=yes] | ANS2[makes pyr_c; v=0.0241; rev=False; gpr=yes] | ADCL[makes pyr_c; v=0.000284; rev=False; gpr=yes] | SHCHCS[makes pyr_c; v=4.25e-05; rev=False; gpr=none] | ALAR[uses ala__L_c; v=0.0849; rev=True; gpr=yes] | UAMAS[uses ala__L_c; v=0.0425; rev=False; gpr=yes] | Growth[uses ala__L_c; v=0.438; rev=False; gpr=none] | ALATA_L[uses ala__L_c; v=2.75; rev=True; gpr=yes]
BT1476	NP_810389_1	13	aspartate aminotransferase (NCBI ptt file)	ASPTA;ALATA_L	0.438362093046428	ASPTA:isozyme[NP_809460_1 or NP_810389_1 or NP_810631_] | ALATA_L:isozyme[NP_810389_1 or NP_812287_1 or NP_812631_]
BT0532	NP_809445_1	14	anthranilate synthase component I (NCBI ptt file)	ANPRT;ANS	0.438362093046428	ANPRT:isozyme[NP_809443_1 or NP_809444_1 or NP_809445_] | ANS2[uses chor_c; v=0.0241; rev=False; gpr=yes] | CHORM[uses chor_c; v=0.137; rev=False; gpr=yes] | PABB[uses chor_c; v=0.000284; rev=False; gpr=yes] | ICHORS[uses chor_c; v=4.25e-05; rev=True; gpr=yes] | IG3PS[uses gln__L_c; v=0.0402; rev=False; gpr=yes] | PRFGS[uses gln__L_c; v=0.19; rev=False; gpr=yes] | Growth[uses gln__L_c; v=0.438; rev=False; gpr=none] | GLUPRT[uses gln__L_c; v=0.19; rev=False; gpr=yes] | GF6PTA[uses gln__L_c; v=0.0849; rev=False; gpr=yes] | CBPS[uses gln__L_c; v=0.266; rev=False; gpr=yes] | ANS2[makes anth_c; v=0.0241; rev=False; gpr=yes] | PYK[makes pyr_c; v=18.1; rev=False; gpr=yes] | ALATA_L[makes pyr_c; v=2.66; rev=True; gpr=yes] | ANS2[makes pyr_c; v=0.0241; rev=False; gpr=yes] | ADCL[makes pyr_c; v=0.000284; rev=False; gpr=yes] | SHCHCS[makes pyr_c; v=4.25e-05; rev=False; gpr=none]
BT0530	NP_809443_1	14	anthranilate phosphoribosyltransferase (NCBI ptt file)	ANPRT	0.438362093046428	ANPRT:isozyme[NP_809443_1 or NP_809444_1 or NP_809445_]
BT3394	NP_812306_1	9	putative arginine decarboxylase (NCBI ptt file)	ARGDCpp;ARGDC	0.43836209304695045	Growth[uses arg__L_c; v=0.438; rev=False; gpr=none]
BT2129	NP_811042_1	14	aspartate--ammonia ligase (NCBI ptt file)	ASNS2	0.4372434905142947	ASNS1[uses asp__L_c; v=0.102; rev=False; gpr=yes] | Growth[uses asp__L_c; v=0.437; rev=False; gpr=none] | ASP1DC[uses asp__L_c; v=0.000244; rev=False; gpr=yes] | ASPO2y[uses asp__L_c; v=0.000965; rev=False; gpr=none] | PRASCSi[uses asp__L_c; v=0.189; rev=False; gpr=yes] | ASPCT[uses asp__L_c; v=0.14; rev=False; gpr=yes] | ASPK[uses asp__L_c; v=0.36; rev=True; gpr=yes] | ADSS[uses asp__L_c; v=0.127; rev=False; gpr=yes] | ARGSS[uses asp__L_c; v=0.125; rev=False; gpr=yes] | ASNS1[makes asn__L_c; v=0.102; rev=False; gpr=yes]
BT1375	NP_810288_1	7	aspartokinase (NCBI ptt file)	ASPK	0.438362093046428	ASPK:isozyme[NP_810288_1 or NP_811316_1]
BT2415	NP_811328_1	14	aspartate aminotransferase (NCBI ptt file)	TYRTA;PHETA1;ASPTA	0.438362093046428	TYRTA:isozyme[NP_809460_1 or NP_811328_1 or NP_812287_] | PHETA1:isozyme[NP_809460_1 or NP_811328_1 or NP_812287_] | ASPTA:isozyme[NP_809460_1 or NP_810389_1 or NP_810631_]
