gene	model_gene	n_conditions_important	desc	gene_reactions	ko_growth	bypass
SO3414	NP_718967_1	7	homoserine kinase (NCBI ptt file)	4HTHRK;HSK	0.09670002118994783	OHPBAT[makes phthr_c; v=2.09e-05; rev=True; gpr=yes] | HSERTA[uses hom__L_c; v=0.0144; rev=True; gpr=yes] | STPT1[uses hom__L_c; v=0.051; rev=False; gpr=yes] | STPT1[makes phom_c; v=0.051; rev=False; gpr=yes]
SO0276	NP_715916_1	7	acetylglutamate kinase (NCBI ptt file)	ACGK	0.09670002118995029	
SO4245	NP_719772_1	5	amino-acid acetyltransferase (NCBI ptt file)	ACGS	0.09670002118995029	
SO4347	NP_719871_1	5	acetolactate synthase II, large subunit (NCBI ptt file)	ACHBS;ACLS	0.09670002118994972	ACHBS:isozyme[(NP_717874_1 and NP_717875_1) or (NP_719] | ACLS:isozyme[(NP_717874_1 and NP_717875_1) or (NP_719]
SO2279	NP_717875_1	4	acetolactate synthase III, large subunit (NCBI ptt file)	ACHBS;ACLS	0.09670002118994972	ACHBS:isozyme[(NP_717874_1 and NP_717875_1) or (NP_719] | ACLS:isozyme[(NP_717874_1 and NP_717875_1) or (NP_719]
SO2615	NP_718200_1	4	4-amino-4-deoxychorismate lyase (NCBI ptt file)	ADCL	0.09670002118994972	ADCL:isozyme[NP_718199_1 or NP_718200_1]
SO1979	NP_717586_1	5	MutT/nudix family protein (NCBI ptt file)	ADPRDP	0.09670002118994972	TKT1[makes r5p_c; v=-0.0172; rev=True; gpr=yes] | RPI[makes r5p_c; v=-0.0701; rev=True; gpr=yes]
SO3723	NP_719263_1	7	adenylylsulfate kinase (NCBI ptt file)	ADSK	0.09670002118994972	ADSK:isozyme[NP_718203_1 or NP_719263_1]
SO0275	NP_715915_1	7	N-acetyl-gamma-glutamyl-phosphate reductase (NCBI ptt file)	AGPR	0.09670002118994908	
SO3471	NP_719020_1	7	serine hydroxymethyltransferase (NCBI ptt file)	THFAT;ALATA_D2;THRA2i;GHMT2r;ALATA_L2;THRAi	0.09559038289959218	MTHFD[uses methf_c; v=-0.0168; rev=True; gpr=yes] | ALAALAr[uses ala__D_c; v=0.00926; rev=True; gpr=yes] | Growth[uses pydx5p_c; v=0.0956; rev=False; gpr=none] | LDH_L[makes pyr_c; v=10; rev=True; gpr=none] | SHCHCS3[makes pyr_c; v=9.26e-06; rev=False; gpr=yes] | ANS[makes pyr_c; v=0.00526; rev=False; gpr=yes] | ADCL[makes pyr_c; v=6.19e-05; rev=False; gpr=yes] | ASPTA6[makes pyr_c; v=0.376; rev=True; gpr=yes] | SERAT[uses ser__L_c; v=0.00855; rev=True; gpr=yes] | Growth[uses ser__L_c; v=0.0956; rev=False; gpr=none] | TRPS1[uses ser__L_c; v=0.00526; rev=False; gpr=yes] | Growth[uses thf_c; v=0.0956; rev=False; gpr=none] | FTHFLi[uses thf_c; v=0.067; rev=False; gpr=yes] | MTHFD[makes mlthf_c; v=-0.0168; rev=True; gpr=yes] | UAMAS[uses ala__L_c; v=0.00926; rev=False; gpr=yes] | Growth[uses ala__L_c; v=0.0956; rev=False; gpr=none] | ALAR[uses ala__L_c; v=0.0185; rev=True; gpr=yes] | ASPTA6[uses ala__L_c; v=0.376; rev=True; gpr=yes] | THRAi:isozyme[NP_718892_1 or NP_719020_1]
