gene	model_gene	n_conditions_important	desc	gene_reactions	ko_growth	bypass
PP_4799	NP_746904_1	25	putative Muramoyltetrapeptide carboxypeptidase	AGM4PCP;UM4PCP;4PCP;AM4PCP	588.3097869912965	ALAALAr[makes ala__D_c; v=0.0895; rev=True; gpr=yes] | UGMDDS[makes ugmd_c; v=0.0895; rev=False; gpr=yes]
PP_5185	NP_747286_1	27	acetylglutamate kinase-like protein (regulatory domain)/amino acid N-acetyltransferase	ACGS	588.3097869949844	ACGK[makes acglu_c; v=0.265; rev=False; gpr=yes]
PP_0421	NP_742587_1	28	Anthranilate phosphoribosyltransferase	ANPRT	588.3097869949844	ANPRT:isozyme[NP_742587_1 or NP_746127_1]
PP_0420	NP_742586_1	23	aminodeoxychorismate synthase / para-aminobenzoate synthase multi-enzyme complex	ANS	588.3097869949844	ANS:isozyme[NP_742888_1 or (NP_742583_1 and NP_74258]
PP_0417	NP_742583_1	28	Anthranilate synthase component 1	ANS	588.3097869949844	ANS:isozyme[NP_742888_1 or (NP_742583_1 and NP_74258]
PP_2328	NP_744477_1	23	Phosphoadenosine phosphosulfate reductase	APSR	589.2149162256333	SADT[uses aps_c; v=0.22; rev=False; gpr=yes] | TRDR[uses trdrd_c; v=0.291; rev=False; gpr=yes] | SULRi[makes so3_c; v=0.22; rev=False; gpr=yes] | TRDR[makes trdox_c; v=0.291; rev=False; gpr=yes]
PP_4724	NP_746832_1	27	Carbamoyl-phosphate synthase small chain	CBPS	588.3097869949844	GLNS[uses gln__L_c; v=1.71; rev=False; gpr=yes] | ASPCT[makes cbp_c; v=0.296; rev=False; gpr=yes] | OCBT[makes cbp_c; v=0.265; rev=True; gpr=yes]
PP_4723	NP_746831_3	28	Carbamoyl-phosphate synthase large chain	CBPS	588.3097869949844	GLNS[uses gln__L_c; v=1.71; rev=False; gpr=yes] | ASPCT[makes cbp_c; v=0.296; rev=False; gpr=yes] | OCBT[makes cbp_c; v=0.265; rev=True; gpr=yes]
PP_5128	NP_747229_1	28	Dihydroxy-acid dehydratase	DHAD1;DHAD2	588.3097869949844	DHAD1:isozyme[NP_746602_1 or NP_747229_1] | DHAD2:isozyme[NP_746602_1 or NP_747229_1]
PP_4999	NP_747101_1	24	dihydroorotase-like protein	DHORTS	588.3097869949844	DHORTS:isozyme[NP_743247_1 or NP_747101_1]
PP_0393	NP_742560_1	14	putative 2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase	HPPK;FOLD3	588.3097869949844	DHNPA_1[uses 2ahhmp_c; v=0.000599; rev=False; gpr=none] | ADCL[uses 4abz_c; v=0.000599; rev=False; gpr=yes] | DHFS[makes dhpt_c; v=0.000599; rev=False; gpr=yes]
PP_0691	NP_742852_1	27	Glutamate 5-kinase	GLU5K	588.7053966235827	
PP_5097	NP_747198_1	26	homoserine O-acetyltransferase	HSERTA	588.3097869855827	HSDx[uses hom__L_c; v=-0.625; rev=True; gpr=yes]
PP_5098	NP_747199_1	26	methionine biosynthesis protein MetW	HSERTA	588.3097869855827	HSDx[uses hom__L_c; v=-0.625; rev=True; gpr=yes]
PP_0735	NP_742896_1	14	molybdopterin-synthase adenylyltransferase	MPTSS	588.3097869921146	
PP_1079	NP_743240_1	27	Ornithine carbamoyltransferase	OCBT	588.3097869949844	OCBT:isozyme[NP_743161_1 or NP_743240_1]
PP_5095	NP_747196_1	26	pyrroline-5-carboxylate reductase	P5CR	588.7053966235817	Growth[makes pro__L_c; v=0.924; rev=False; gpr=none]
PP_0339	NP_742506_1	17	Pyruvate dehydrogenase E1 component	PDHa;PDH	667.4369227653694	EDA[uses pyr_c; v=1.98; rev=False; gpr=yes] | PYK[uses pyr_c; v=1.92; rev=False; gpr=yes] | ANS[uses pyr_c; v=0.0493; rev=False; gpr=yes] | ADCL[uses pyr_c; v=0.000581; rev=False; gpr=yes] | PDHcr[uses lpam_c; v=0.134; rev=False; gpr=yes]
PP_5155	NP_747256_1	27	D-3-phosphoglycerate dehydrogenase / alpha-ketoglutarate reductase	PGCD	588.3097869949844	PGCD:isozyme[NP_743864_1 or NP_744678_1 or NP_746432_]
PP_4909	NP_747012_1	28	phosphoserine phosphatase	PSP_L	588.3097869949844	PSP_L:isozyme[NP_742426_1 or NP_747012_1 or NP_747248_]
PP_3999	NP_746129_1	27	Uroporphyrinogen-III C-methyltransferase/Precorrin-2 dehydrogenase/Sirohydrochlorin ferrochelatase	SHCHD2;UPP3MT;SHCHF	588.3097869921255	METAT[uses amet_c; v=0.000289; rev=False; gpr=yes] | AHCYSNS[makes ahcys_c; v=8.95e-05; rev=False; gpr=yes] | FE2tpp[uses fe2_c; v=0.00601; rev=False; gpr=yes]
PP_2371	NP_744520_1	28	Sulphite reductase hemoprotein, beta subunit	SULRi	588.8116512604029	APSR[uses so3_c; v=0.22; rev=False; gpr=yes] | SHSL2r[makes h2s_c; v=0.22; rev=False; gpr=yes]
PP_2168	NP_744317_1	17	Transaldolase	TALA	590.62384494902	TRPS1[uses g3p_c; v=0.0508; rev=False; gpr=yes] | EDA[uses g3p_c; v=8.99; rev=False; gpr=yes] | DDPA[makes e4p_c; v=0.341; rev=False; gpr=yes] | E4PD[makes e4p_c; v=0.000199; rev=True; gpr=yes] | TKT2[makes f6p_c; v=-0.341; rev=True; gpr=yes] | GF6PTA[makes f6p_c; v=0.179; rev=False; gpr=yes]
