gene	model_gene	n_conditions_important	desc	gene_reactions	ko_growth	bypass
SMc02755	NP_384145_1	21	S-adenosyl-L-homocysteine hydrolase	AHCi	444.28556769473136	AMMQLT8[uses ahcys_c; v=2.06e-05; rev=False; gpr=yes] | ADNK1[makes adn_c; v=2.06e-05; rev=False; gpr=yes] | CYSTS_2[makes hcys__L_c; v=0.0599; rev=False; gpr=none] | METS_1[makes hcys__L_c; v=0.0318; rev=False; gpr=yes]
SMc01770	NP_385314_1	21	serine hydroxymethyltransferase	ALATA_L2;GHMT2r;THFAT;ALATA_D2;THRAi;THRA2i	444.28547107280997	THZPSN[uses ala__L_c; v=4.6e-05; rev=False; gpr=yes] | ALAD_syn[uses ala__L_c; v=1.75; rev=False; gpr=yes] | PYDXK[uses pydx5p_c; v=4.6e-05; rev=False; gpr=yes] | PC[makes pyr_c; v=0.639; rev=False; gpr=yes] | POX2[makes pyr_c; v=8.8; rev=False; gpr=yes] | DHDPS[makes pyr_c; v=0.0914; rev=False; gpr=yes] | PFOR[makes pyr_c; v=0.0054; rev=False; gpr=yes] | ACHBS[makes pyr_c; v=0.0599; rev=False; gpr=yes] | DXPS[makes pyr_c; v=0.227; rev=False; gpr=none] | ACLS[makes pyr_c; v=0.18; rev=False; gpr=yes] | PDHa[makes pyr_c; v=8.45; rev=False; gpr=yes] | ALAD_syn[makes pyr_c; v=1.75; rev=False; gpr=yes] | GHMT2r:isozyme[NP_385314_1 or NP_436409_1] | MTHFD[uses methf_c; v=0.204; rev=True; gpr=yes] | ALAR[uses ala__D_c; v=0.0619; rev=True; gpr=yes] | THRS[uses thr__L_c; v=0.0523; rev=False; gpr=yes] | PRAGSr[makes gly_c; v=0.0923; rev=True; gpr=yes] | GCCa[makes gly_c; v=0.0112; rev=False; gpr=none] | Growth[makes gly_c; v=0.213; rev=False; gpr=none]
SMc00294	NP_385829_1	21	aminotransferase	ALATA_L	444.28547107285743	ALATA_L:isozyme[NP_384661_1 or NP_385829_1]
SMc00092	NP_385050_1	21	phosphoadenosine phosphosulfate reductase	APSR	444.4215224568994	SADT[uses aps_c; v=0.0507; rev=False; gpr=yes] | TRDR[uses trdrd_c; v=17.6; rev=False; gpr=yes] | AHSERL4[uses trdrd_c; v=-0.0408; rev=True; gpr=none] | AHSERL4[makes so3_c; v=-0.0408; rev=True; gpr=none] | SULRi[makes so3_c; v=0.0507; rev=False; gpr=none] | TRDR[makes trdox_c; v=17.6; rev=False; gpr=yes] | AHSERL4[makes trdox_c; v=-0.0408; rev=True; gpr=none]
SMc01215	NP_385682_1	21	carbamoyl phosphate synthase large subunit	CBPS	444.28547107285743	GLNS[uses gln__L_c; v=0.361; rev=False; gpr=yes] | HCO3E[uses hco3_c; v=0.639; rev=True; gpr=yes] | ASPCT[makes cbp_c; v=0.0682; rev=False; gpr=yes] | OCBT[makes cbp_c; v=0.061; rev=True; gpr=yes]
SMc01569	NP_386426_1	21	carbamoyl phosphate synthase small subunit	CBPS	444.28547107285743	GLNS[uses gln__L_c; v=0.361; rev=False; gpr=yes] | HCO3E[uses hco3_c; v=0.639; rev=True; gpr=yes] | ASPCT[makes cbp_c; v=0.0682; rev=False; gpr=yes] | OCBT[makes cbp_c; v=0.061; rev=True; gpr=yes]
SMc00334	NP_384360_1	11	cytidylate kinase	CYTK2;UMPK;CYTK1	444.51246161396193	NDPK7[makes dcdp_c; v=0.00557; rev=True; gpr=yes] | UMPK:isozyme[NP_384360_1 or NP_385603_1] | MECDPS[uses cmp_c; v=0.227; rev=False; gpr=yes] | NDPK3[makes cdp_c; v=0.449; rev=True; gpr=yes] | RNDR3[makes cdp_c; v=0.00557; rev=False; gpr=yes]
SMc04045	NP_386934_1	21	dihydroxy-acid dehydratase	DHAD2;DHAD1	444.28547107285743	KARA2[uses 23dhmp_c; v=0.0599; rev=True; gpr=yes] | DHAD1:isozyme[NP_386934_1 or NP_436655_1 or NP_437724_]
SMc01361	NP_385409_1	21	dihydroorotase	DHORTS	444.28547107285743	DHORTS:isozyme[NP_384586_1 or NP_385409_1]
SMc02166	NP_384586_1	21	dihydroorotase	DHORTS	444.28547107285743	DHORTS:isozyme[NP_384586_1 or NP_385409_1]
SMc03229	NP_387183_1	19	NAD(P)H-dependent glycerol-3-phosphate dehydrogenase	G3PD2_1;G3PD1;G3PD2	444.2854710728694	TPI[uses dhap_c; v=-0.00047; rev=True; gpr=yes] | QULNS[makes dhap_c; v=0.00047; rev=False; gpr=yes]
SMc03777	NP_387267_1	19	gamma-glutamyl phosphate reductase	G5SD	444.37663639633223	
SMc03070	NP_384810_1	15	glucose-6-phosphate 1-dehydrogenase	G6PBDH;G6PDH2r	442.5043602842499	HEX1[uses g6p_c; v=9.46; rev=False; gpr=yes]
SMc00614	NP_385289_1	21	phosphoribosylglycinamide formyltransferase	GARFT	444.28547107285743	GARFT:isozyme[NP_385289_1 or NP_386086_1]
SMc03776	NP_387266_1	19	gamma-glutamyl kinase	GLU5K	444.28547107285743	GLU5K:isozyme[NP_387212_1 or NP_387266_1]
SMc04028	NP_386917_1	21	glutamate synthase	GLUSy	444.28547107285743	GLNS[uses gln__L_c; v=0.361; rev=False; gpr=yes]
SMc04026	NP_386916_2	21	glutamate synthase	GLUSy	444.28547107285743	GLNS[uses gln__L_c; v=0.361; rev=False; gpr=yes]
SMc02307	NP_384717_1	21	histidinol dehydrogenase	HISTD	444.28547107285743	HISTD:isozyme[NP_384717_1 or NP_435458_3]
SMc00641	NP_386836_1	21	D-3-phosphoglycerate dehydrogenase	HPYRRx;PGCD	444.28547107285743	HPYRI[uses hpyr_c; v=-0.000138; rev=True; gpr=yes] | PGCD:isozyme[NP_384366_1 or NP_386340_1 or NP_386663_]
SMc03797	NP_387286_1	21	homoserine O-succinyltransferase	HSST;HSERTA	444.28547107282714	HSDx[uses hom__L_c; v=-0.144; rev=True; gpr=yes] | SUCOAS[uses succoa_c; v=2.06e-05; rev=True; gpr=yes] | HSERTA:isozyme[NP_385354_1 or NP_387286_1 or NP_437810_]
SMc00815	NP_384866_1	21	inosine 5'-monophosphate dehydrogenase	IMPD	444.28547107285743	IMPD:isozyme[NP_384866_1 or NP_435580_1 or NP_435834_]
SMc03795	NP_387284_1	21	isopropylmalate isomerase small subunit	IPPMIa;IPPMIb	444.28547107285743	IPPMIa:isozyme[NP_387312_1 or (NP_387284_1 and NP_38731] | IPPMIb:isozyme[NP_387312_1 or (NP_387284_1 and NP_38731]
SMc02717	NP_386485_3	21	2-isopropylmalate synthase	IPPS	444.28547107285743	IPPS:isozyme[NP_385222_1 or NP_386485_3]
SMc03112	NP_387087_1	21	B12-dependent methionine synthase	METS_1;METS	444.32993148409935	MTHFR2[uses 5mthf_c; v=0.0318; rev=False; gpr=yes] | AHSERL2[uses hcys__L_c; v=0.0916; rev=False; gpr=yes] | AHCi[uses hcys__L_c; v=2.06e-05; rev=True; gpr=yes] | METAT[makes met__L_c; v=6.66e-05; rev=False; gpr=yes] | Growth[makes met__L_c; v=0.213; rev=False; gpr=none] | GHMT2r[makes thf_c; v=0.23; rev=True; gpr=yes] | Growth[makes thf_c; v=0.213; rev=False; gpr=none] | GCCb[makes thf_c; v=0.0111; rev=False; gpr=yes] | FTHFLi[makes thf_c; v=0.000506; rev=False; gpr=yes] | METS:isozyme[NP_386092_1 or NP_387087_1]
