org	condition	media	bigg_ids	exchange_added	gapfill_status	growth_after	n_added	added_reactions	added_transport	n_condition_specific_genes	condition_specific_genes	seconds
Btheta	Maltotetraose	Varel_Bryant_medium	maltttr	maltttr	Optimal	1.6999	1	MALTTTRabc	MALTTTRabc	3	BT0490(-2.51);BT4098(-2.51);BT4102(-2.02)	4
Btheta	Maltohexaose	Varel_Bryant_medium	malthx	malthx	Optimal	2.6065	1	MALTHXabc	MALTHXabc	3	BT1561(-2.46);BT1976(-2.23);BT3702(-2.11)	4
Btheta	Stachyose - 70%	Varel_Bryant_medium	stys		Optimal	9.3135	4	ATPS4rpp;G3PD;GCDH;OIVD1r	ATPS4rpp	4	BT0652(-3.12);BT0771(-2.98);BT0790(-2.23);BT1363(-2.05)	16
Btheta	Melibiose	Varel_Bryant_medium	melib	melib	Optimal	0.7934	1	MELIB_Et	MELIB_Et	4	BT0944(-2.55);BT1680(-2.43);BT0572(-2.25);BT2449(-2.07)	1
Btheta	D-Trehalose dihydrate	Varel_Bryant_medium	tre	tre	Optimal	0.9067	1	TREpts	TREpts	6	BT4102(-3.4);BT4103(-2.66);BT2160(-2.55);BT2157(-2.39);BT2159(-2.32);BT0652(-2.08)	6
Btheta	D-Arabinose	Varel_Bryant_medium	arab__D		Optimal	0.3779	1	RBK_Dr_1		17	BT0350(-5.31);BT0352(-5.05);BT1273(-4.59);BT0351(-4.16);BT1275(-3.82);BT1274(-3.76);BT1277(-3.72);BT0652(-3.11);BT3729(-3.08);BT1276(-3.06);BT0356(-2.62);BT0173(-2.4)	1
Btheta	D-Fructose	Varel_Bryant_medium	fru	fru	Optimal	0.4534	1	FRUpts2	FRUpts2	7	BT1758(-4.96);BT1754(-4.09);BT1757(-3.83);BT1759(-2.95);BT2417(-2.29);BT2006(-2.2);BT3911(-2.02)	7
Btheta	D-Maltose monohydrate	Varel_Bryant_medium	malt		Optimal	0.7934	1	MALTabc	MALTabc	6	BT3197(-2.57);BT1363(-2.3);BT1976(-2.3);BT4610(-2.16);BT3911(-2.11);BT0185(-2.06)	5
Btheta	D-Mannose	Varel_Bryant_medium	man	man	Optimal	0.4534	1	MANt2	MANt2	8	BT2006(-3.0);BT1363(-2.96);BT3915(-2.93);BT0322(-2.25);BT3077(-2.19);BT3168(-2.17);BT2299(-2.15);BT3911(-2.11)	7
Btheta	N-Acetyl-D-Glucosamine	Varel_Bryant_medium	acgam	acgam	Optimal	0.4544	1	ACGApts	ACGApts	2	BT0258(-4.38);BT3911(-2.19)	4
Btheta	D-Glucosamine Hydrochloride	Varel_Bryant_medium	gam	gam	Optimal	0.4544	1	GAMpts	GAMpts	9	BT0585(-4.47);BT2430(-3.81);BT1854(-3.46);BT1363(-3.31);BT3077(-2.84);BT2299(-2.33);BT0443(-2.24);BT4753(-2.13);BT1229(-2.1)	6
