org	condition	media	bigg_ids	exchange_added	gapfill_status	growth_after	n_added	added_reactions	added_transport	n_condition_specific_genes	condition_specific_genes	seconds
Putida	Sodium butyrate	MOPS minimal media_noCarbon	but		Optimal	0.7277	1	BUTCT		23	PP_4116(-4.5);PP_0356(-4.26);PP_3553(-4.21);PP_3754(-3.71);PP_1826(-3.7);PP_2217(-3.61);PP_5659(-3.55);PP_3756(-3.54);PP_3552(-3.04);PP_2414(-3.0);PP_3554(-2.98);PP_3755(-2.8)	3
Putida	1,2-Propanediol	MOPS minimal media_noCarbon	12ppd__S;12ppd__R	12ppd__S;12ppd__R	Optimal	0.7277	1	12PPDt	12PPDt	18	PP_4736(-4.99);PP_5348(-4.73);PP_4735(-4.32);PP_3484(-4.22);PP_4994(-2.92);PP_0362(-2.78);PP_5217(-2.74);PP_1898(-2.54);PP_2414(-2.36);PP_0363(-2.33);PP_0356(-2.25);PP_0365(-2.21)	2
Putida	Hydroxy-L-Proline	MOPS minimal media_noCarbon	4hpro_LT	4hpro_LT	Optimal	3.651	2	MECDPDH4E;OBTFL		15	PP_1255(-8.57);PP_1257(-7.54);PP_1259(-7.23);PP_4602(-7.17);PP_1258(-6.92);PP_1256(-5.95);PP_1215(-3.02);PP_5217(-2.64);PP_0888(-2.6);PP_4828(-2.27);PP_1679(-2.25);PP_2414(-2.16)	8
Putida	Ferulic Acid	MOPS minimal media_noCarbon	fer	fer	Optimal	3.651	2	MECDPDH4E;OBTFL		25	PP_3952(-6.12);PP_1377(-6.07);PP_3951(-5.74);PP_1379(-4.75);PP_1381(-4.57);PP_4656(-4.57);PP_3736(-4.52);PP_1380(-4.21);PP_1375(-4.1);PP_4655(-3.92);PP_3737(-3.55);PP_1616(-3.31)	7
Putida	3-Methyl-2-Oxobutanoic Acid	MOPS minimal media_noCarbon	3mob		Optimal	3.651	2	MECDPDH4E;OBTFL		31	PP_2217(-6.62);PP_4666(-6.41);PP_4403(-6.03);PP_4667(-5.35);PP_4401(-5.29);PP_5348(-5.19);PP_4400(-5.16);PP_2335(-5.06);PP_4668(-5.01);PP_4402(-4.69);PP_3491(-4.69);PP_2334(-4.59)	4
Putida	4-Methyl-2-oxovaleric acid	MOPS minimal media_noCarbon	4mop		Optimal	3.651	2	MECDPDH4E;OBTFL		30	PP_2433(-6.02);PP_4066(-5.85);PP_4400(-5.61);PP_4116(-5.59);PP_4402(-5.44);PP_4067(-5.4);PP_4065(-5.03);PP_0356(-5.02);PP_4401(-4.99);PP_4064(-4.95);PP_5659(-4.52);PP_4403(-4.45)	4
Putida	Hexanoic acid	MOPS minimal media_noCarbon	hxa	hxa	Optimal	1.0916	1	HXAtex	HXAtex	14	PP_2903(-4.5);PP_4116(-4.37);PP_2433(-4.19);PP_0356(-3.84);PP_5659(-3.76);PP_3286(-2.82);PP_3946(-2.8);PP_5216(-2.66);PP_4549(-2.55);PP_0763(-2.5);PP_0370(-2.36);PP_2302(-2.22)	5
Putida	Butanol	MOPS minimal media_noCarbon	btoh		Optimal	0.7277	1	BUTCT		15	PP_5659(-4.36);PP_0356(-4.03);PP_4116(-4.01);PP_5217(-3.29);PP_3553(-2.9);PP_3554(-2.46);PP_3484(-2.32);PP_1656(-2.29);PP_5348(-2.21);PP_3754(-2.21);PP_3755(-2.17);PP_3551(-2.13)	2
Putida	3-methyl-1-butanol	MOPS minimal media_noCarbon	iamoh		Optimal	3.651	2	MECDPDH4E;OBTFL		60	PP_4065(-5.93);PP_5659(-5.93);PP_4116(-5.57);PP_4067(-5.13);PP_0356(-4.88);PP_3505(-4.76);PP_4066(-4.72);PP_1428(-4.66);PP_4064(-4.6);PP_2475(-4.42);PP_0949(-4.4);PP_0366(-4.29)	7
Putida	L-Leucine	MOPS minimal media_noCarbon	leu__L		Optimal	3.8947	2	MECDPDH4E;OBTFL		24	PP_4403(-4.2);PP_4067(-3.99);PP_4065(-3.91);PP_4116(-3.84);PP_4400(-3.64);PP_4064(-3.48);PP_0356(-3.44);PP_4402(-3.4);PP_4401(-3.33);PP_0949(-3.28);PP_2868(-3.2);PP_4814(-2.9)	10
