org	condition	media	bigg_ids	exchange_added	gapfill_status	growth_after	n_added	added_reactions	added_transport	n_condition_specific_genes	condition_specific_genes	seconds
Smeli	L-Arabinose	RCH2_defined_noCarbon	arab__L		Optimal	0.2804	2	ARAI;RBK_L1		17	SMc02562(-6.48);SM_b20890(-5.45);SM_b20892(-5.0);SMc00588(-4.38);SM_b20895(-4.22);SMc00296(-3.94);SM_b20891(-3.72);SMc02975(-3.19);SM_b20894(-3.03);SMc03878(-2.82);SM_b20893(-2.61);SMc02683(-2.59)	14
Smeli	Sodium succinate dibasic hexahydrate	RCH2_defined_noCarbon	succ		Optimal	0.1064	1	SUCDi		5	SMc02562(-6.66);SMc01139(-4.4);SM_b20611(-3.85);SM_b20612(-3.73);SM_b20613(-3.57)	3
Smeli	L-Histidine	RCH2_defined_noCarbon	his__L		Optimal	0.1075	1	SUCDi		48	SMc00673(-6.49);SM_b21166(-6.28);SMc02562(-6.23);SM_b20048(-6.11);SMc02975(-6.0);SMc00012(-5.48);SM_b21163(-5.43);SMc04085(-5.3);SMc03974(-5.13);SM_b21165(-4.86);SM_b21164(-4.44);SMc01495(-3.42)	2
Smeli	L-Lysine	RCH2_defined_noCarbon	lys__L		Optimal	0.085	1	ACOAD4		35	SMc02048(-10.99);SMc04882(-9.39);SMc02562(-7.27);SMc03974(-6.53);SMc02503(-6.42);SMc02049(-6.1);SMc00768(-5.97);SMc02047(-5.95);SMc00025(-5.91);SMc04385(-5.67);SMc04085(-5.58);SMc02504(-5.57)	4
Smeli	L-Glutamine	RCH2_defined_noCarbon	gln__L		Optimal	0.1091	1	SUCDi		22	SMc02562(-7.61);SMc02975(-5.88);SMc04085(-5.65);SMc00486(-5.48);SMc03974(-3.35);SMc01592(-3.29);SMc02308(-3.21);SMc01951(-2.96);SMc02119(-2.93);SMc02118(-2.86);SMc01950(-2.82);SMc02120(-2.78)	3
Smeli	L-Proline	RCH2_defined_noCarbon	pro__L		Optimal	0.2134	2	FE3Ri;SUCDi		25	SMc02562(-7.51);SM_b20198(-6.6);SMc00681(-6.27);SMc03974(-6.17);SMc02181(-5.66);SMc04085(-5.57);SM_b20197(-5.52);SM_b20200(-5.09);SM_b20196(-4.86);SMc02975(-4.64);SMc02048(-4.3);SMc02049(-4.23)	12
Smeli	L-Leucine	RCH2_defined_noCarbon	leu__L		Optimal	1.1684	3	CYS;FNOR;MECDPDH4E		25	SMc00768(-6.99);SM_b21125(-6.75);SMc02562(-6.11);SMc00769(-5.5);SM_b21124(-5.13);SM_b21126(-4.94);SM_b21122(-4.7);SM_b20757(-4.67);SMc00025(-4.2);SMc01930(-4.18);SMc03201(-4.04);SMc03203(-3.81)	15
Smeli	N-Acetyl-D-Glucosamine	RCH2_defined_noCarbon	acgam	acgam	Optimal	0.3059	2	ACGApts;G6PDA	ACGApts	15	SMc02877(-7.31);SMc02875(-5.22);SMc02874(-4.51);SMc02873(-3.9);SMc02871(-3.88);SMc02869(-3.55);SMc02872(-3.48);SMc00010(-3.26);SMc02870(-2.95);SMa1924(-2.93);SMc03068(-2.87);SMc02683(-2.67)	9
Smeli	D-Glucosamine Hydrochloride	RCH2_defined_noCarbon	gam	gam	Optimal	0.3059	2	G6PDA;GAMpts	GAMpts	9	SMc02877(-7.43);SMc01495(-4.5);SMc02690(-3.02);SMc03068(-2.7);SM_b20903(-2.43);SM_b20902(-2.28);SMc02835(-2.13);SMc02683(-2.01);SMc00492(-2.01)	16
Smeli	Uridine	RCH2_defined_noCarbon	uri	uri	Optimal	0.3908	2	3A2OA;URIt2	URIt2	6	SMc01103(-5.27);SMc00511(-4.48);SMc02407(-2.97);SMc03850(-2.96);SMc00781(-2.41);SMc02171(-2.13)	10
Smeli	D-Mannose	RCH2_defined_noCarbon	man	man	Optimal	0.3053	1	MANpts	MANpts	10	SMc03111(-7.29);SMc02978(-5.72);SMc03109(-5.39);SMc04245(-3.8);SMc04243(-3.6);SMc04244(-3.31);SMc03068(-2.91);SMc02979(-2.29);SMc00882(-2.26);SMc02055(-2.26)	7
Smeli	D-(-)-tagatose	RCH2_defined_noCarbon	tagat__D		Optimal	1.1198	3	ACOAD7;CYS;GCDH		9	SM_b21374(-6.82);SM_b21373(-5.2);SMc03068(-4.29);SM_b21377(-4.03);SM_b21376(-3.07);SM_b21375(-2.73);SMc01207(-2.5);SMc03153(-2.36);SMc02055(-2.19)	19
