org	target_gene	reaction	rule	genes_in_rule (browser id : RefSeq definition : mean fitness)
Btheta	BT2076	ACLS	NP_810990_1 or (NP_809485_1 and NP_810990_1) or (NP_810989_1 and NP_81	BT0572:hypothetical protein BT_0572:fit=-0.5 || BT2076:acetohydroxyacid synthase small subunit:fit=-4.4 || BT2077:acetolactate synthase large subunit:fit=nan
Btheta	BT2076	ACHBS	(NP_809485_1 and NP_810990_1) or (NP_810989_1 and NP_810990_1)	BT0572:hypothetical protein BT_0572:fit=-0.5 || BT2076:acetohydroxyacid synthase small subunit:fit=-4.4 || BT2077:acetolactate synthase large subunit:fit=nan
Btheta	BT0531	ANS	NP_809444_1 or NP_809445_1 or (NP_809444_1 and NP_809445_1) or (NP_809	BT0531:anthranilate synthase component II:fit=-2.3 || BT0532:anthranilate synthase component I:fit=-3.6 || BT0767:para-aminobenzoate synthase component I:fit=nan
Btheta	BT0531	ANPRT	NP_809443_1 or NP_809444_1 or NP_809445_1	BT0530:anthranilate phosphoribosyltransferase:fit=-4.2 || BT0531:anthranilate synthase component II:fit=-2.3 || BT0532:anthranilate synthase component I:fit=-3.6
Btheta	BT1476	ALATA_L	NP_810389_1 or NP_812287_1 or NP_812631_1	BT1476:aspartate aminotransferase:fit=-3.4 || BT3375:aspartate aminotransferase:fit=-0.4 || BT3720:aspartate aminotransferase:fit=-0.0
Btheta	BT1476	ASPTA	NP_809460_1 or NP_810389_1 or NP_810631_1 or NP_811328_1 or NP_812287_	BT0547:L,L-diaminopimelate aminotransferase:fit=-0.1 || BT1476:aspartate aminotransferase:fit=-3.4 || BT1718:2-aminoethylphosphonate pyruvate aminotransfe:fit=-0.4 || BT2415:aspartate aminotransferase:fit=-4.5 || BT3375:aspartate aminotransferase:fit=-0.4 || BT3935:aminotransferase:fit=nan
Btheta	BT1375	ASPK	NP_810288_1 or NP_811316_1	BT1375:aspartokinase:fit=-2.0 || BT2403:bifunctional aspartokinase I/homoserine dehyd:fit=nan
Btheta	BT2415	PHETA1	NP_809460_1 or NP_811328_1 or NP_812287_1 or NP_812846_1	BT0547:L,L-diaminopimelate aminotransferase:fit=-0.1 || BT2415:aspartate aminotransferase:fit=-4.5 || BT3375:aspartate aminotransferase:fit=-0.4 || BT3935:aminotransferase:fit=nan
Btheta	BT2415	TYRTA	NP_809460_1 or NP_811328_1 or NP_812287_1 or NP_812846_1	BT0547:L,L-diaminopimelate aminotransferase:fit=-0.1 || BT2415:aspartate aminotransferase:fit=-4.5 || BT3375:aspartate aminotransferase:fit=-0.4 || BT3935:aminotransferase:fit=nan
Btheta	BT1607	FTHFLi	NP_809650_1 or NP_810520_1	BT0737:formate--tetrahydrofolate ligase:fit=0.1 || BT1607:bifunctional 5,10-methylene-tetrahydrofolate :fit=-4.3
Btheta	BT1859	IPPMIb	NP_810773_1 or (NP_810772_1 and NP_810773_1)	BT1859:3-isopropylmalate dehydratase small subunit:fit=-4.4 || BT1860:isopropylmalate isomerase large subunit:fit=-4.1
Btheta	BT1859	IPPMIa	NP_810773_1 or (NP_810772_1 and NP_810773_1)	BT1859:3-isopropylmalate dehydratase small subunit:fit=-4.4 || BT1860:isopropylmalate isomerase large subunit:fit=-4.1
Btheta	BT1861	IPPS	NP_810771_1 or NP_810774_1	BT1858:2-isopropylmalate synthase:fit=-3.9 || BT1861:2-isopropylmalate synthase:fit=-4.1
Btheta	BT3757	P5CRx	NP_810815_1 or NP_812668_1	BT1902:pyrroline-5-carboxylate reductase:fit=0.0 || BT3757:pyrroline-5-carboxylate reductase:fit=-4.2
Btheta	BT3918	PDX5PS	NP_813285_1 or (NP_812829_1 and NP_813285_1)	BT3918:pyridoxine 5'-phosphate synthase:fit=-3.3 || BT4374:4-hydroxythreonine-4-phosphate dehydrogenase:fit=nan
Btheta	BT2402	PGM	NP_810573_1 or NP_811315_1 or NP_812331_1 or NP_813510_1	BT1660:phosphoglyceromutase:fit=0.1 || BT2402:cofactor-independent phosphoglycerate mutase:fit=-4.3 || BT3419:phosphoglyceromutase:fit=nan || BT4599:transcriptional regulator:fit=-0.1
Putida	PP_0421	ANPRT	NP_742587_1 or NP_746127_1	PP_0421:anthranilate phosphoribosyltransferase:fit=-3.9 || PP_3997:glycosyl transferase:fit=-0.0
Putida	PP_0420	ANS	NP_742888_1 or (NP_742583_1 and NP_742586_1)	PP_0417:anthranilate synthase component 1:fit=-4.5 || PP_0420:para-aminobenzoate synthase multi-enzyme comp:fit=-3.8 || PP_0727:hypothetical protein PP_0727:fit=-0.0
Putida	PP_5128	DHAD1	NP_746602_1 or NP_747229_1	PP_4491:pterin-4-alpha-carbinolamine dehydratase:fit=nan || PP_5128:dihydroxy-acid dehydratase:fit=-4.2
Putida	PP_5128	DHAD2	NP_746602_1 or NP_747229_1	PP_4491:pterin-4-alpha-carbinolamine dehydratase:fit=nan || PP_5128:dihydroxy-acid dehydratase:fit=-4.2
