reaction	reaction_name	rule	n_alternatives	flagged_genes	or_joined_subunits	score
ACLS	Acetolactate synthase	NP_810990_1 or (NP_809485_1 and NP_810990_1) or (NP_810989_1 and NP_810990_1)	3	BT0572 (hypothetical protein BT_0572) — non-enzyme/family/domain annotation; no word in common with the reaction name while another alternative has | BT2076 (acetohydroxyacid synthase small subunit) — no word in common with the reaction name while another alternative has	BT2076 (acetohydroxyacid synthase small subunit) | BT2077 (acetolactate synthase large subunit)	4
DGUNC	Diguanylate cyclase	NP_809595_1 or NP_810667_1 or NP_811835_1 or NP_812712_1	4	BT0682 (two-component system response regulator) — non-enzyme/family/domain annotation | BT1754 (two-component system sensor histidine kinase/response regulator) — non-enzyme/family/domain annotation | BT2923 (two-component system sensor histidine kinase/response regulator) — non-enzyme/family/domain annotation | BT3801 (rteB, two-component system response regulator) — non-enzyme/family/domain annotation		4
MAN6PI	Mannose-6-phosphate isomerase	NP_809286_1 or NP_809389_1 or NP_809471_1 or NP_811061_1	4	BT0476 (D-mannose-1-phosphate guanyltransferase) — no word in common with the reaction name while another alternative has | BT0558 (mannose-1-phosphate guanylyltransferase) — no word in common with the reaction name while another alternative has | BT2148 (glycosyltransferase) — no word in common with the reaction name while another alternative has		3
PGM	Phosphoglycerate mutase	NP_810573_1 or NP_811315_1 or NP_812331_1 or NP_813510_1	4	BT1660 (phosphoglyceromutase) — no word in common with the reaction name while another alternative has | BT3419 (phosphoglyceromutase) — no word in common with the reaction name while another alternative has | BT4599 (transcriptional regulator) — non-enzyme/family/domain annotation; no word in common with the reaction name while another alternative has		3
ASPTA	Aspartate transaminase	NP_809460_1 or NP_810389_1 or NP_810631_1 or NP_811328_1 or NP_812287_1 or NP_812846_1	6	BT0547 (L,L-diaminopimelate aminotransferase) — no word in common with the reaction name while another alternative has | BT1718 (2-aminoethylphosphonate pyruvate aminotransferase) — no word in common with the reaction name while another alternative has | BT3935 (aminotransferase) — no word in common with the reaction name while another alternative has		3
HEX1	Hexokinase (D-glucose:ATP)	NP_811017_1 or NP_811343_1 or NP_811406_1 or NP_813565_1	4	BT2104 (transcriptional repressor) — non-enzyme/family/domain annotation; no word in common with the reaction name while another alternative has | BT2493 (ROK family transcriptional repressor) — non-enzyme/family/domain annotation; no word in common with the reaction name while another alternative has | BT4654 (ROK family transcriptional repressor) — non-enzyme/family/domain annotation; no word in common with the reaction name while another alternative has		3
HEX7	Hexokinase (D-fructose:ATP)	NP_810670_1 or NP_811343_1 or NP_812217_1 or NP_812488_1	4	BT1757 (fructokinase) — no word in common with the reaction name while another alternative has | BT3305 (fructokinase) — no word in common with the reaction name while another alternative has | BT3576 (ribokinase) — no word in common with the reaction name while another alternative has		3
Kt2r	Potassium reversible transport  via proton symport	NP_810014_1 or NP_813008_1 or NP_813577_1 or (NP_813576_1 and NP_813577_1)	4	BT4097 (Trk system K+ uptake protein trkH) — no word in common with the reaction name while another alternative has | BT4665 (K+ uptake protein) — no word in common with the reaction name while another alternative has | BT4666 (K+ uptake system protein) — no word in common with the reaction name while another alternative has		3
IPPMIa	3-isopropylmalate dehydratase	NP_810773_1 or (NP_810772_1 and NP_810773_1)	2	BT1860 (isopropylmalate isomerase large subunit) — no word in common with the reaction name while another alternative has	BT1859 (3-isopropylmalate dehydratase small subunit) | BT1860 (isopropylmalate isomerase large subunit)	3
ANS	Anthranilate synthase	NP_809444_1 or NP_809445_1 or (NP_809444_1 and NP_809445_1) or (NP_809444_1 and NP_809680_1)	4	BT0767 (para-aminobenzoate synthase component I) — no word in common with the reaction name while another alternative has	BT0531 (anthranilate synthase component II) | BT0532 (anthranilate synthase component I) | BT0767 (para-aminobenzoate synthase component I)	3
THIORDXi	Hydrogen peroxide reductase (thioredoxin)	(NP_809131_1 and NP_813522_1) or (NP_810369_1 and NP_813522_1) or (NP_811142_1 and NP_813522_1) or (NP_811724_1 and NP_8	4	BT2812 (alkyl hydroperoxide reductase) — no word in common with the reaction name while another alternative has | BT3069 (disulfide-isomerase) — no word in common with the reaction name while another alternative has | BT4611 (bacterioferritin co-migratory protein) — no word in common with the reaction name while another alternative has		3
ADCS	4-amino-4-deoxychorismate synthase	NP_809680_1 or (NP_809444_1 and NP_809680_1)	2		BT0531 (anthranilate synthase component II) | BT0767 (para-aminobenzoate synthase component I)	2
HISTP	Histidinol-phosphatase	NP_809116_1 or NP_811713_1 or NP_813168_1	3	BT0203 (imidazole glycerol-phosphate dehydratase/histidinol phosphatase) — no word in common with the reaction name while another alternative has | BT2801 (inositol monophosphatase) — no word in common with the reaction name while another alternative has		2
TRDR	Thioredoxin reductase (NADPH)	NP_809131_1 or NP_809132_1 or NP_811723_1 or NP_811981_1 or NP_813247_1 or (NP_809131_1 and NP_813247_1) or (NP_810369_1	9	BT2811 (alkyl hydroperoxide reductase) — no word in common with the reaction name while another alternative has | BT3069 (disulfide-isomerase) — no word in common with the reaction name while another alternative has		2
RNDR1	Ribonucleoside-diphosphate reductase (ADP)	NP_809131_1 or NP_811058_1 or NP_811142_1	3	BT0218 (thioredoxin) — no word in common with the reaction name while another alternative has | BT2229 (thioredoxin) — no word in common with the reaction name while another alternative has		2
RNDR3	Ribonucleoside-diphosphate reductase (CDP)	NP_809131_1 or NP_811058_1 or NP_811142_1	3	BT0218 (thioredoxin) — no word in common with the reaction name while another alternative has | BT2229 (thioredoxin) — no word in common with the reaction name while another alternative has		2
RNDR4	Ribonucleoside-diphosphate reductase (UDP)	NP_809131_1 or NP_811058_1 or NP_811142_1	3	BT0218 (thioredoxin) — no word in common with the reaction name while another alternative has | BT2229 (thioredoxin) — no word in common with the reaction name while another alternative has		2
ROO	Rubredoxin oxygen reductase	(NP_809129_1 and NP_813037_1) or (NP_811452_1 and NP_813037_1)	2	BT0216 (rubrerythrin) — no word in common with the reaction name while another alternative has | BT4126 (flavoprotein) — no word in common with the reaction name while another alternative has		2
TOLtex	Toluene  outer membrane porin transport	NP_810107_1 or NP_812041_1	2	BT1194 (OmpA family outer membrane protein) — non-enzyme/family/domain annotation | BT3129 (flagellar motor protein MotB) — no word in common with the reaction name while another alternative has		2
SADT2	Sulfate adenyltransferase	NP_811652_1 or (NP_809327_1 and NP_809328_1) or (NP_809327_1 and NP_810642_1)	3	BT1729 (peptide chain release factor 3) — no word in common with the reaction name while another alternative has | BT2740 (elongation factor Tu) — non-enzyme/family/domain annotation; no word in common with the reaction name while another alternative has		2
RNDR2	Ribonucleoside-diphosphate reductase (GDP)	NP_809131_1 or NP_811058_1 or NP_811142_1	3	BT0218 (thioredoxin) — no word in common with the reaction name while another alternative has | BT2229 (thioredoxin) — no word in common with the reaction name while another alternative has		2
NORRDX	Nitric oxide reductase (rubredoxin)	(NP_809129_1 and NP_813037_1) or (NP_811452_1 and NP_813037_1)	2	BT0216 (rubrerythrin) — no word in common with the reaction name while another alternative has | BT4126 (flavoprotein) — no word in common with the reaction name while another alternative has		2
TRPS2	Tryptophan synthase (indole)	NP_809446_1 or NP_813575_2	2		BT0533 (tryptophan synthase subunit beta) | BT4664 (tryptophan synthase subunit beta)	2
UDPG4E	UDPglucose 4-epimerase	NP_809294_1 or NP_809536_1 or NP_810283_1	3	BT0381 (capsular polysaccharide biosynthesis protein capD) — no word in common with the reaction name while another alternative has | BT1370 (NAD dependent nucleotide-diphosphate-sugar epimerase) — no word in common with the reaction name while another alternative has		2
GLUN	Glutaminase	NP_809680_1 or NP_811484_1 or NP_811669_1	3	BT0767 (para-aminobenzoate synthase component I) — no word in common with the reaction name while another alternative has | BT2757 (L-asparaginase II) — no word in common with the reaction name while another alternative has		2
CHORM	Chorismate mutase	NP_812844_1 or NP_812845_1 or NP_812847_1	3	BT3934 (phospho-2-dehydro-3-deoxyheptonate aldolase) — no word in common with the reaction name while another alternative has | BT3936 (prephenate dehydratase) — no word in common with the reaction name while another alternative has		2
FEDCabc	Iron  III  dicitrate transport via ABC system	NP_810333_1 or NP_811717_1	2	BT1420 (hypothetical protein BT_1420) — non-enzyme/family/domain annotation | BT2805 (hypothetical protein BT_2805) — non-enzyme/family/domain annotation		2
IPPMIb	2-isopropylmalate hydratase	NP_810773_1 or (NP_810772_1 and NP_810773_1)	2		BT1859 (3-isopropylmalate dehydratase small subunit) | BT1860 (isopropylmalate isomerase large subunit)	2
CDGUNPD	3,5-cyclic-nucleotide phosphodiesterase	NP_809971_1 or NP_810382_1 or NP_810511_1 or NP_811346_1	4	BT1469 (two-component system response regulator) — non-enzyme/family/domain annotation | BT2433 (two-component system response regulator) — non-enzyme/family/domain annotation		2
TRPS1	Tryptophan synthase (indoleglycerol phosphate)	NP_809440_1 or (NP_809440_1 and NP_809446_1) or (NP_809440_1 and NP_813575_2)	3		BT0527 (tryptophan synthase subunit alpha) | BT0533 (tryptophan synthase subunit beta) | BT4664 (tryptophan synthase subunit beta)	2
PC	Pyruvate carboxylase	NP_810361_1 or NP_810601_1 or (NP_810610_1 and NP_810828_1)	3	BT1448 (biotin carboxyl carrier protein) — no word in common with the reaction name while another alternative has | BT1688 (biotin carboxyl carrier protein) — no word in common with the reaction name while another alternative has		2
