reaction	reaction_name	rule	n_alternatives	flagged_genes	or_joined_subunits	score
CDGUNPD	3,5-cyclic-nucleotide phosphodiesterase	NP_715783_1 or NP_715981_1 or NP_716064_1 or NP_716491_2 or NP_716832_1 or NP_717956_1 or NP_718127_1 or NP_718434_1 or 	11	SO0141 (nitrate/nitrite-responsive bifunctional diguanylate cyclase/phosphodiesterase with PAS sensory domain) — non-enzyme/family/domain annotation | SO0341 (multifunctional sensory protein/diguanylate cyclase/signalling protein with EAL domain) — non-enzyme/family/domain annotation; no word in common with the reaction name while another alternative has | SO0427 (bifunctional diguanylate cyclase / phosphodiesterase with PAS sensory domain) — non-enzyme/family/domain annotation | SO0860 (two component signal transduction system response regulator with HD domain) — non-enzyme/family/domain annotation; no word in common with the reaction name while another alternative has | SO2366 (two component signal transduction system response regulator with DUF3369 and HD domains) — non-enzyme/family/domain annotation; no word in common with the reaction name while another alternative has | SO2541 (two component signal transduction system response regulator) — non-enzyme/family/domain annotation; no word in common with the reaction name while another alternative has | SO2862 (cyclic di-GMP hydrolase) — no word in common with the reaction name while another alternative has | SO3491 (cyclic di-GMP hydrolase) — no word in common with the reaction name while another alternative has | SO4711 (cyclic di-GMP hydrolase) — no word in common with the reaction name while another alternative has | SO4657 (diguanylate cyclase/phosphodiesterase with PAS and LOV sensory domains and Chase small molecule binding site) — non-enzyme/family/domain annotation		10
DGUNC	Diguanylate cyclase	NP_715783_1 or NP_715981_1 or NP_716064_1 or NP_716191_1 or NP_716204_1 or NP_717183_1 or NP_717257_1 or NP_717774_1 or 	16	SO0141 (nitrate/nitrite-responsive bifunctional diguanylate cyclase/phosphodiesterase with PAS sensory domain) — non-enzyme/family/domain annotation | SO0341 (multifunctional sensory protein/diguanylate cyclase/signalling protein with EAL domain) — non-enzyme/family/domain annotation | SO0427 (bifunctional diguanylate cyclase / phosphodiesterase with PAS sensory domain) — non-enzyme/family/domain annotation | SO0569 (diguanylate cyclase with PAS sensory domain) — non-enzyme/family/domain annotation | SO1570 (7TM intracellular signalling protein with GGDEF domain) — non-enzyme/family/domain annotation; no word in common with the reaction name while another alternative has | SO2174 (diguanylate cyclase with PAS sensory domain) — non-enzyme/family/domain annotation | SO3759 (diguanylate cyclase with GAF sensory domain) — non-enzyme/family/domain annotation | SO4217 (cell division protein FtsQ) — no word in common with the reaction name while another alternative has | SO4657 (diguanylate cyclase/phosphodiesterase with PAS and LOV sensory domains and Chase small molecule binding site) — non-enzyme/family/domain annotation		9
ECOAH3	3-hydroxyacyl-CoA dehydratase (3-hydroxyoctanoyl-CoA)	NP_715663_1 or NP_716207_1 or NP_717291_1 or NP_718651_2 or NP_719439_1	5	SO0572 (enoyl-CoA hydratase/isomerase family protein) — non-enzyme/family/domain annotation; no word in common with the reaction name while another alternative has | SO1680 (enoyl-CoA hydratase IvdD) — no word in common with the reaction name while another alternative has | SO3088 (anaerobic fatty oxidation complex alpha subunit FadJ) — no word in common with the reaction name while another alternative has | SO3908 (enoyl-CoA hydratase EchH) — no word in common with the reaction name while another alternative has	SO0021 (aerobic fatty oxidation complex 3-hydroxyacyl-CoA epimerase alpha subunit FadB) | SO3088 (anaerobic fatty oxidation complex alpha subunit FadJ)	6
ECOAH6	3-hydroxyacyl-CoA dehydratase (3-hydroxytetradecanoyl-CoA)	NP_715663_1 or NP_716207_1 or NP_717291_1 or NP_718651_2 or NP_719439_1	5	SO0572 (enoyl-CoA hydratase/isomerase family protein) — non-enzyme/family/domain annotation; no word in common with the reaction name while another alternative has | SO1680 (enoyl-CoA hydratase IvdD) — no word in common with the reaction name while another alternative has | SO3088 (anaerobic fatty oxidation complex alpha subunit FadJ) — no word in common with the reaction name while another alternative has | SO3908 (enoyl-CoA hydratase EchH) — no word in common with the reaction name while another alternative has	SO0021 (aerobic fatty oxidation complex 3-hydroxyacyl-CoA epimerase alpha subunit FadB) | SO3088 (anaerobic fatty oxidation complex alpha subunit FadJ)	6
ECOAH7	3-hydroxyacyl-CoA dehydratase (3-hydroxyhexadecanoyl-CoA)	NP_715663_1 or NP_716207_1 or NP_717291_1 or NP_718651_2 or NP_719439_1	5	SO0572 (enoyl-CoA hydratase/isomerase family protein) — non-enzyme/family/domain annotation; no word in common with the reaction name while another alternative has | SO1680 (enoyl-CoA hydratase IvdD) — no word in common with the reaction name while another alternative has | SO3088 (anaerobic fatty oxidation complex alpha subunit FadJ) — no word in common with the reaction name while another alternative has | SO3908 (enoyl-CoA hydratase EchH) — no word in common with the reaction name while another alternative has	SO0021 (aerobic fatty oxidation complex 3-hydroxyacyl-CoA epimerase alpha subunit FadB) | SO3088 (anaerobic fatty oxidation complex alpha subunit FadJ)	6
ECOAH2	3-hydroxyacyl-CoA dehydratase (3-hydroxyhexanoyl-CoA)	NP_715663_1 or NP_716207_1 or NP_717291_1 or NP_718651_2 or NP_719439_1	5	SO0572 (enoyl-CoA hydratase/isomerase family protein) — non-enzyme/family/domain annotation; no word in common with the reaction name while another alternative has | SO1680 (enoyl-CoA hydratase IvdD) — no word in common with the reaction name while another alternative has | SO3088 (anaerobic fatty oxidation complex alpha subunit FadJ) — no word in common with the reaction name while another alternative has | SO3908 (enoyl-CoA hydratase EchH) — no word in common with the reaction name while another alternative has	SO0021 (aerobic fatty oxidation complex 3-hydroxyacyl-CoA epimerase alpha subunit FadB) | SO3088 (anaerobic fatty oxidation complex alpha subunit FadJ)	6
ECOAH5	3-hydroxyacyl-CoA dehydratase (3-hydroxydodecanoyl-CoA)	NP_715663_1 or NP_716207_1 or NP_717291_1 or NP_718651_2 or NP_719439_1	5	SO0572 (enoyl-CoA hydratase/isomerase family protein) — non-enzyme/family/domain annotation; no word in common with the reaction name while another alternative has | SO1680 (enoyl-CoA hydratase IvdD) — no word in common with the reaction name while another alternative has | SO3088 (anaerobic fatty oxidation complex alpha subunit FadJ) — no word in common with the reaction name while another alternative has | SO3908 (enoyl-CoA hydratase EchH) — no word in common with the reaction name while another alternative has	SO0021 (aerobic fatty oxidation complex 3-hydroxyacyl-CoA epimerase alpha subunit FadB) | SO3088 (anaerobic fatty oxidation complex alpha subunit FadJ)	6
ECOAH4	3-hydroxyacyl-CoA dehydratase (3-hydroxydecanoyl-CoA)	NP_715663_1 or NP_716207_1 or NP_717291_1 or NP_718651_2 or NP_719439_1	5	SO0572 (enoyl-CoA hydratase/isomerase family protein) — non-enzyme/family/domain annotation; no word in common with the reaction name while another alternative has | SO1680 (enoyl-CoA hydratase IvdD) — no word in common with the reaction name while another alternative has | SO3088 (anaerobic fatty oxidation complex alpha subunit FadJ) — no word in common with the reaction name while another alternative has | SO3908 (enoyl-CoA hydratase EchH) — no word in common with the reaction name while another alternative has	SO0021 (aerobic fatty oxidation complex 3-hydroxyacyl-CoA epimerase alpha subunit FadB) | SO3088 (anaerobic fatty oxidation complex alpha subunit FadJ)	6
ECOAH1	3-hydroxyacyl-CoA dehydratase (3-hydroxybutanoyl-CoA)	NP_715663_1 or NP_716207_1 or NP_717291_1 or NP_718651_2 or NP_719439_1	5	SO0572 (enoyl-CoA hydratase/isomerase family protein) — non-enzyme/family/domain annotation; no word in common with the reaction name while another alternative has | SO1680 (enoyl-CoA hydratase IvdD) — no word in common with the reaction name while another alternative has | SO3088 (anaerobic fatty oxidation complex alpha subunit FadJ) — no word in common with the reaction name while another alternative has | SO3908 (enoyl-CoA hydratase EchH) — no word in common with the reaction name while another alternative has	SO0021 (aerobic fatty oxidation complex 3-hydroxyacyl-CoA epimerase alpha subunit FadB) | SO3088 (anaerobic fatty oxidation complex alpha subunit FadJ)	6
THZPSN	Thiazole phosphate synthesis	NP_719013_1 or NP_719454_1 or (NP_717147_1 and NP_717860_1 and NP_718030_1 and NP_718031_1 and NP_718032_1 and NP_718033	3	SO2264 (cysteine desulfurase IscS) — no word in common with the reaction name while another alternative has | SO2441 (thiazole-phosphate synthase ThiG) — no word in common with the reaction name while another alternative has | SO2442 (sulphur carrier protein ThiS) — no word in common with the reaction name while another alternative has | SO2443 (adenylyltransferase ThiF) — no word in common with the reaction name while another alternative has | SO3464 (thiamine-phosphate kinase ThiL) — no word in common with the reaction name while another alternative has | SO3923 (Fe hydrogenase maturation rSAM protein HydG) — no word in common with the reaction name while another alternative has		6
MLDEP2pp	Murein L,D-endopeptidase (murein5px3p) (periplasm)	NP_715690_2 or NP_717780_2 or NP_718010_1 or NP_718441_1 or NP_719740_1 or YP_007001415_1 or YP_007001416_1	7	SO0048 (predicted non-catalytic member of peptidase subfamily M23B) — non-enzyme/family/domain annotation | SO2180 (periplasmic metalloprotease M23B family) — non-enzyme/family/domain annotation | SO4212 (peptidase M23 family) — non-enzyme/family/domain annotation | SO4538 (predicted non-catalytic member of peptidase subfamily M16B) — non-enzyme/family/domain annotation | SO4811 (periplasmic peptidase family M16B) — non-enzyme/family/domain annotation		5
ECOAH8	3-hydroxyacyl-CoA dehydratase (3-hydroxyoctadecanoyl-CoA)	NP_715663_1 or NP_717291_1 or NP_718651_2 or NP_719439_1	4	SO1680 (enoyl-CoA hydratase IvdD) — no word in common with the reaction name while another alternative has | SO3088 (anaerobic fatty oxidation complex alpha subunit FadJ) — no word in common with the reaction name while another alternative has | SO3908 (enoyl-CoA hydratase EchH) — no word in common with the reaction name while another alternative has	SO0021 (aerobic fatty oxidation complex 3-hydroxyacyl-CoA epimerase alpha subunit FadB) | SO3088 (anaerobic fatty oxidation complex alpha subunit FadJ)	5
MLDEP1pp	Murein L,D-endopeptidase (murein3px3p) (periplasm)	NP_715690_2 or NP_717780_2 or NP_718010_1 or NP_718441_1 or NP_719740_1 or YP_007001415_1 or YP_007001416_1	7	SO0048 (predicted non-catalytic member of peptidase subfamily M23B) — non-enzyme/family/domain annotation | SO2180 (periplasmic metalloprotease M23B family) — non-enzyme/family/domain annotation | SO4212 (peptidase M23 family) — non-enzyme/family/domain annotation | SO4538 (predicted non-catalytic member of peptidase subfamily M16B) — non-enzyme/family/domain annotation | SO4811 (periplasmic peptidase family M16B) — non-enzyme/family/domain annotation		5
MOBDabcpp	Molybdate transport via ABC system (periplasm)	(NP_719143_1 and NP_719144_1 and NP_719145_1) or (NP_719395_2 and NP_719396_1 and NP_719397_1) or (NP_719142_1 and NP_71	5	SO4652 (ABC-type sulfate/thiosulfate uptakesystem substrate-binding subunit Sbp) — no word in common with the reaction name while another alternative has | SO4653 (ABC-type sulfate/thiosulfate uptakesystem permease component 1 CysT) — no word in common with the reaction name while another alternative has | SO4654 (ABC-type sulfate/thiosulfate uptakesystem permease component 2 CysW) — no word in common with the reaction name while another alternative has | SO4655 (ABC-type sulfate/thiosulfate uptakesystem ATPase component CysA) — no word in common with the reaction name while another alternative has		4
HACD5i	3-hydroxyacyl-CoA dehydrogenase (3-oxododecanoyl-CoA)	NP_715663_1 or NP_717726_1 or NP_718651_2	3	SO2123 (chemotaxis signal transduction system methyl accepting sensory transducer) — no word in common with the reaction name while another alternative has | SO3088 (anaerobic fatty oxidation complex alpha subunit FadJ) — no word in common with the reaction name while another alternative has	SO0021 (aerobic fatty oxidation complex 3-hydroxyacyl-CoA epimerase alpha subunit FadB) | SO3088 (anaerobic fatty oxidation complex alpha subunit FadJ)	4
MPTG2	Murein polymerizing transglycosylase 2 (three linked units)	NP_715709_1 or NP_715920_1 or NP_716266_1 or NP_719274_1 or (NP_715709_1 and NP_719081_1) or (NP_715920_1 and NP_719081_	7	SO0067 (penicillin binding protein 1C PbpC) — no word in common with the reaction name while another alternative has | SO0280 (penicillin-binding protein 1A McrA) — no word in common with the reaction name while another alternative has | SO0633 (penicillin-binding protein 1B MrcB) — no word in common with the reaction name while another alternative has | SO3534 (peptidoglycan lipid II flippase MurJ) — no word in common with the reaction name while another alternative has		4
HACD3i	3-hydroxyacyl-CoA dehydrogenase (3-oxooctanoyl-CoA)	NP_715663_1 or NP_717726_1 or NP_718651_2	3	SO2123 (chemotaxis signal transduction system methyl accepting sensory transducer) — no word in common with the reaction name while another alternative has | SO3088 (anaerobic fatty oxidation complex alpha subunit FadJ) — no word in common with the reaction name while another alternative has	SO0021 (aerobic fatty oxidation complex 3-hydroxyacyl-CoA epimerase alpha subunit FadB) | SO3088 (anaerobic fatty oxidation complex alpha subunit FadJ)	4
HACD2i	3-hydroxyacyl-CoA dehydrogenase (3-oxohexanoyl-CoA)	NP_715663_1 or NP_717726_1 or NP_718651_2	3	SO2123 (chemotaxis signal transduction system methyl accepting sensory transducer) — no word in common with the reaction name while another alternative has | SO3088 (anaerobic fatty oxidation complex alpha subunit FadJ) — no word in common with the reaction name while another alternative has	SO0021 (aerobic fatty oxidation complex 3-hydroxyacyl-CoA epimerase alpha subunit FadB) | SO3088 (anaerobic fatty oxidation complex alpha subunit FadJ)	4
HACD1i	3-hydroxyacyl-CoA dehydrogenase (acetoacetyl-CoA)	NP_715663_1 or NP_717726_1 or NP_718651_2	3	SO2123 (chemotaxis signal transduction system methyl accepting sensory transducer) — no word in common with the reaction name while another alternative has | SO3088 (anaerobic fatty oxidation complex alpha subunit FadJ) — no word in common with the reaction name while another alternative has	SO0021 (aerobic fatty oxidation complex 3-hydroxyacyl-CoA epimerase alpha subunit FadB) | SO3088 (anaerobic fatty oxidation complex alpha subunit FadJ)	4
HACD6i	3-hydroxyacyl-CoA dehydrogenase (3-oxotetradecanoyl-CoA)	NP_715663_1 or NP_717726_1 or NP_718651_2	3	SO2123 (chemotaxis signal transduction system methyl accepting sensory transducer) — no word in common with the reaction name while another alternative has | SO3088 (anaerobic fatty oxidation complex alpha subunit FadJ) — no word in common with the reaction name while another alternative has	SO0021 (aerobic fatty oxidation complex 3-hydroxyacyl-CoA epimerase alpha subunit FadB) | SO3088 (anaerobic fatty oxidation complex alpha subunit FadJ)	4
HACD4i	3-hydroxyacyl-CoA dehydrogenase (3-oxodecanoyl-CoA)	NP_715663_1 or NP_717726_1 or NP_718651_2	3	SO2123 (chemotaxis signal transduction system methyl accepting sensory transducer) — no word in common with the reaction name while another alternative has | SO3088 (anaerobic fatty oxidation complex alpha subunit FadJ) — no word in common with the reaction name while another alternative has	SO0021 (aerobic fatty oxidation complex 3-hydroxyacyl-CoA epimerase alpha subunit FadB) | SO3088 (anaerobic fatty oxidation complex alpha subunit FadJ)	4
SALCHS4FEtonex	Salmochelin S4 Fe III transport via ton system extracellular	(NP_717193_1 and NP_718334_1 and NP_718335_1 and NP_720081_1) or (NP_718334_1 and NP_718335_1 and NP_719210_1 and NP_720	4	SO1580 (TonB-dependent haem/haemoglobin receptor) — no word in common with the reaction name while another alternative has | SO3669 (TonB-dependent heme/hemoglobin receptor HmuA) — no word in common with the reaction name while another alternative has | SO4523 (iron-responsive TonB-dependent enterobactin receptor IrgA) — no word in common with the reaction name while another alternative has | SO4422 (TonB-dependent ferric achromobactin receptor) — no word in common with the reaction name while another alternative has		4
HACD8i	3-hydroxyacyl-CoA dehydrogenase (3-oxooctadecanoyl-CoA)	NP_715663_1 or NP_717726_1 or NP_718651_2	3	SO2123 (chemotaxis signal transduction system methyl accepting sensory transducer) — no word in common with the reaction name while another alternative has | SO3088 (anaerobic fatty oxidation complex alpha subunit FadJ) — no word in common with the reaction name while another alternative has	SO0021 (aerobic fatty oxidation complex 3-hydroxyacyl-CoA epimerase alpha subunit FadB) | SO3088 (anaerobic fatty oxidation complex alpha subunit FadJ)	4
HACD7i	3-hydroxyacyl-CoA dehydrogenase (3-oxohexadecanoyl-CoA)	NP_715663_1 or NP_717726_1 or NP_718651_2	3	SO2123 (chemotaxis signal transduction system methyl accepting sensory transducer) — no word in common with the reaction name while another alternative has | SO3088 (anaerobic fatty oxidation complex alpha subunit FadJ) — no word in common with the reaction name while another alternative has	SO0021 (aerobic fatty oxidation complex 3-hydroxyacyl-CoA epimerase alpha subunit FadB) | SO3088 (anaerobic fatty oxidation complex alpha subunit FadJ)	4
KAT1	3-ketoacyl-CoA thiolase	NP_715662_1 or NP_717288_1 or NP_718652_1	3	SO3089 (anaerobic fatty oxidation complex beta subunit FadI) — no word in common with the reaction name while another alternative has	SO0020 (aerobic fatty oxidation complex 3-ketoacyl-CoA thiolase beta subunit FadA) | SO3089 (anaerobic fatty oxidation complex beta subunit FadI)	3
KAT5	3-ketoacyl-CoA thiolase	NP_715662_1 or NP_718652_1	2	SO3089 (anaerobic fatty oxidation complex beta subunit FadI) — no word in common with the reaction name while another alternative has	SO0020 (aerobic fatty oxidation complex 3-ketoacyl-CoA thiolase beta subunit FadA) | SO3089 (anaerobic fatty oxidation complex beta subunit FadI)	3
HXAND	Hypoxanthine dehydrogenase	NP_718613_1 or NP_718614_1 or NP_718616_1	3	SO3048 (aldehyde oxidase / xanthine dehydrogenase family molybdopterin cytosine dinucleotide-binding subunit) — non-enzyme/family/domain annotation | SO3049 (aldehyde oxidase / xanthine dehydrogenase family FeS subunit) — non-enzyme/family/domain annotation | SO3051 (xanthine and CO dehydrogenase family maturation factor XdhC/CoxF family) — non-enzyme/family/domain annotation		3
HACD4	3-hydroxyacyl-CoA dehydrogenase (3-oxodecanoyl-CoA)	NP_715663_1 or NP_718651_2	2	SO3088 (anaerobic fatty oxidation complex alpha subunit FadJ) — no word in common with the reaction name while another alternative has	SO0021 (aerobic fatty oxidation complex 3-hydroxyacyl-CoA epimerase alpha subunit FadB) | SO3088 (anaerobic fatty oxidation complex alpha subunit FadJ)	3
SULabc	Sulfate transport via ABC system	NP_717882_1 or (NP_717473_1 and NP_719497_2 and NP_719968_1 and YP_007001347_1) or (NP_719142_1 and NP_719143_1 and NP_7	5	SO2286 (sulfate transporter SulP family) — non-enzyme/family/domain annotation | SO2899 (putative sulfate transporter CysZ) — non-enzyme/family/domain annotation | SO1799 (molybdenum-pterin binding protein MopI) — no word in common with the reaction name while another alternative has		3
UDPG4E	UDPglucose 4-epimerase	NP_717275_1 or NP_718492_1 or NP_718729_1 or NP_718825_1	4	SO2922 (predicted nucleoside-diphosphate sugar epimerase YfcH) — no word in common with the reaction name while another alternative has | SO3173 (NAD-dependent epimerase/dehydratase family protein) — non-enzyme/family/domain annotation; no word in common with the reaction name while another alternative has | SO3271 (bifunctional UDP GlcNAc C6 dehydratase/C5 epimerase PseB) — no word in common with the reaction name while another alternative has		3
HACD8	3-hydroxyacyl-CoA dehydrogenase (3-oxooctadecanoyl-CoA), peroxisomal	NP_715663_1 or NP_718651_2	2	SO3088 (anaerobic fatty oxidation complex alpha subunit FadJ) — no word in common with the reaction name while another alternative has	SO0021 (aerobic fatty oxidation complex 3-hydroxyacyl-CoA epimerase alpha subunit FadB) | SO3088 (anaerobic fatty oxidation complex alpha subunit FadJ)	3
XAND	Xanthine dehydrogenase	NP_718613_1 or NP_718614_1 or NP_718616_1	3	SO3048 (aldehyde oxidase / xanthine dehydrogenase family molybdopterin cytosine dinucleotide-binding subunit) — non-enzyme/family/domain annotation | SO3049 (aldehyde oxidase / xanthine dehydrogenase family FeS subunit) — non-enzyme/family/domain annotation | SO3051 (xanthine and CO dehydrogenase family maturation factor XdhC/CoxF family) — non-enzyme/family/domain annotation		3
HACD3	3-hydroxyacyl-CoA dehydrogenase (3-oxooctanoyl-CoA)	NP_715663_1 or NP_718651_2	2	SO3088 (anaerobic fatty oxidation complex alpha subunit FadJ) — no word in common with the reaction name while another alternative has	SO0021 (aerobic fatty oxidation complex 3-hydroxyacyl-CoA epimerase alpha subunit FadB) | SO3088 (anaerobic fatty oxidation complex alpha subunit FadJ)	3
HACD5	3-hydroxyacyl-CoA dehydrogenase (3-oxododecanoyl-CoA)	NP_715663_1 or NP_718651_2	2	SO3088 (anaerobic fatty oxidation complex alpha subunit FadJ) — no word in common with the reaction name while another alternative has	SO0021 (aerobic fatty oxidation complex 3-hydroxyacyl-CoA epimerase alpha subunit FadB) | SO3088 (anaerobic fatty oxidation complex alpha subunit FadJ)	3
HACD6	3-hydroxyacyl-CoA dehydrogenase (3-oxotetradecanoyl-CoA)	NP_715663_1 or NP_718651_2	2	SO3088 (anaerobic fatty oxidation complex alpha subunit FadJ) — no word in common with the reaction name while another alternative has	SO0021 (aerobic fatty oxidation complex 3-hydroxyacyl-CoA epimerase alpha subunit FadB) | SO3088 (anaerobic fatty oxidation complex alpha subunit FadJ)	3
HACD1	3-hydroxyacyl-CoA dehydrogenase (acetoacetyl-CoA)	NP_715663_1 or NP_718651_2	2	SO3088 (anaerobic fatty oxidation complex alpha subunit FadJ) — no word in common with the reaction name while another alternative has	SO0021 (aerobic fatty oxidation complex 3-hydroxyacyl-CoA epimerase alpha subunit FadB) | SO3088 (anaerobic fatty oxidation complex alpha subunit FadJ)	3
HACD7	3-hydroxyacyl-CoA dehydrogenase (3-oxohexadecanoyl-CoA)	NP_715663_1 or NP_718651_2	2	SO3088 (anaerobic fatty oxidation complex alpha subunit FadJ) — no word in common with the reaction name while another alternative has	SO0021 (aerobic fatty oxidation complex 3-hydroxyacyl-CoA epimerase alpha subunit FadB) | SO3088 (anaerobic fatty oxidation complex alpha subunit FadJ)	3
