reaction	reaction_name	rule	n_alternatives	flagged_genes	or_joined_subunits	score
DGUNC	Diguanylate cyclase	NP_742536_2 or NP_742726_1 or NP_742833_1 or NP_742959_1 or NP_743316_1 or NP_743499_1 or NP_743569_1 or NP_744134_2 or 	17	PP0563 (two-component system response regulator) — non-enzyme/family/domain annotation; no word in common with the reaction name while another alternative has | PP0672 (sensory box protein) — no word in common with the reaction name while another alternative has | PP0798 (GGDEF domain-containing protein) — non-enzyme/family/domain annotation; no word in common with the reaction name while another alternative has | PP1155 (YaiC/YhcK/ArdA family protein) — non-enzyme/family/domain annotation; no word in common with the reaction name while another alternative has | PP1340 (cell division protein FtsQ) — no word in common with the reaction name while another alternative has | PP1411 (GGDEF domain-containing protein) — non-enzyme/family/domain annotation; no word in common with the reaction name while another alternative has | PP2097 (sensory box protein) — no word in common with the reaction name while another alternative has | PP2354 (two-component system sensor histidine kinase/response regulator) — non-enzyme/family/domain annotation; no word in common with the reaction name while another alternative has | PP3319 (GGDEF domain-containing sensory box protein) — non-enzyme/family/domain annotation; no word in common with the reaction name while another alternative has | PP3348 (GGDEF domain-containing protein) — non-enzyme/family/domain annotation; no word in common with the reaction name while another alternative has | PP3452 (GGDEF domain-containing protein) — non-enzyme/family/domain annotation; no word in common with the reaction name while another alternative has | PP3581 (membrane protein) — no word in common with the reaction name while another alternative has | PP3663 (GGDEF domain-containing protein) — non-enzyme/family/domain annotation; no word in common with the reaction name while another alternative has		13
XAND	Xanthine dehydrogenase	NP_744628_1 or NP_745352_1 or NP_746077_1 or NP_746347_1 or NP_746350_1 or (NP_746394_1 and NP_746395_1) or (NP_744625_1	8	PP2477 (isoquinoline 1-oxidoreductase subunit alpha) — no word in common with the reaction name while another alternative has | PP3208 (Pdr/VanB family oxidoreductase) — non-enzyme/family/domain annotation; no word in common with the reaction name while another alternative has | PP3309 (aromatic aldehyde dehydrogenase FAD-binding subunit) — no word in common with the reaction name while another alternative has | PP3310 (aromatic aldehyde dehydrogenase molybdopterin-binding subunit) — no word in common with the reaction name while another alternative has | PP3622 (isoquinoline 1-oxidoreductase subunit beta) — no word in common with the reaction name while another alternative has | PP3947 (nicotinate dehydrogenase subunit A) — no word in common with the reaction name while another alternative has | PP4230 (hypothetical protein PP_4230) — non-enzyme/family/domain annotation; no word in common with the reaction name while another alternative has | PP4233 (oxidoreductase small subunit) — no word in common with the reaction name while another alternative has	PP2477 (isoquinoline 1-oxidoreductase subunit alpha) | PP3622 (isoquinoline 1-oxidoreductase subunit beta) | PP3947 (nicotinate dehydrogenase subunit A) | PP4233 (oxidoreductase small subunit)	10
CDGUNPD	3,5-cyclic-nucleotide phosphodiesterase	NP_742833_1 or NP_744134_2 or NP_744314_1 or NP_744743_1 or NP_745086_1 or NP_745462_1 or NP_745592_2 or NP_745718_1	8	PP0672 (sensory box protein) — no word in common with the reaction name while another alternative has | PP2165 (two-component system response regulator) — non-enzyme/family/domain annotation; no word in common with the reaction name while another alternative has | PP2599 (chemotaxis sensory transducer family protein) — non-enzyme/family/domain annotation; no word in common with the reaction name while another alternative has | PP2942 (two-component system response regulator) — non-enzyme/family/domain annotation; no word in common with the reaction name while another alternative has | PP3319 (GGDEF domain-containing sensory box protein) — non-enzyme/family/domain annotation; no word in common with the reaction name while another alternative has | PP3454 (transcriptional regulator) — non-enzyme/family/domain annotation; no word in common with the reaction name while another alternative has | PP3581 (membrane protein) — no word in common with the reaction name while another alternative has		7
ALDD2x	Aldehyde dehydrogenase (acetaldehyde, NAD)	NP_742708_1 or NP_744100_1 or NP_744733_2 or NP_744824_1 or NP_744838_1 or NP_745581_1 or NP_745601_1 or NP_745782_1 or 	9	PP1948 (benzaldehyde dehydrogenase) — no word in common with the reaction name while another alternative has | PP2589 (aldehyde dehydrogenase family protein) — non-enzyme/family/domain annotation | PP2694 (aldehyde dehydrogenase family protein) — non-enzyme/family/domain annotation | PP3443 (glyceraldehyde-3-phosphate dehydrogenase) — no word in common with the reaction name while another alternative has | PP3463 (phenylacetaldehyde dehydrogenase) — no word in common with the reaction name while another alternative has | PP3646 (aldehyde dehydrogenase family protein) — non-enzyme/family/domain annotation | PP5258 (L-piperidine-6-carboxylate dehydrogenase) — no word in common with the reaction name while another alternative has		7
MLDEP2pp	Murein L,D-endopeptidase (murein5px3p) (periplasm)	NP_742601_1 or NP_743187_1 or NP_743392_1 or NP_744062_1 or NP_747158_1 or NP_747213_1 or NP_747214_1	7	PP0435 (M23/M37 family peptidase) — non-enzyme/family/domain annotation | PP1026 (M23/M37 family peptidase) — non-enzyme/family/domain annotation | PP1232 (hypothetical protein PP_1232) — non-enzyme/family/domain annotation | PP1908 (putative Peptidase) — non-enzyme/family/domain annotation | PP5057 (M23/M37 family peptidase) — non-enzyme/family/domain annotation		5
ASPTA	Aspartate transaminase	NP_743019_1 or NP_744358_1 or NP_745092_1 or NP_745854_1 or NP_745916_1 or NP_746314_1 or NP_746801_1	7	PP0858 (methionine/glutamine aminotransferase) — no word in common with the reaction name while another alternative has | PP2948 (GntR family transcriptional regulator) — non-enzyme/family/domain annotation; no word in common with the reaction name while another alternative has | PP3786 (aminotransferase) — no word in common with the reaction name while another alternative has | PP4197 (GntR family transcriptional regulator) — non-enzyme/family/domain annotation; no word in common with the reaction name while another alternative has		4
ECOAH6	3-hydroxyacyl-CoA dehydratase (3-hydroxytetradecanoyl-CoA)	NP_744000_1 or NP_744197_1 or NP_744285_1 or NP_744366_1 or NP_745858_1	5	PP1845 (enoyl-CoA hydratase/isomerase family protein) — non-enzyme/family/domain annotation; no word in common with the reaction name while another alternative has | PP2047 (3-hydroxyacyl-CoA dehydrogenase family protein) — non-enzyme/family/domain annotation | PP2217 (enoyl-CoA hydratase) — no word in common with the reaction name while another alternative has | PP3726 (enoyl-CoA hydratase/isomerase family protein) — non-enzyme/family/domain annotation; no word in common with the reaction name while another alternative has		4
ECOAH5	3-hydroxyacyl-CoA dehydratase (3-hydroxydodecanoyl-CoA)	NP_744000_1 or NP_744197_1 or NP_744285_1 or NP_744366_1 or NP_745858_1	5	PP1845 (enoyl-CoA hydratase/isomerase family protein) — non-enzyme/family/domain annotation; no word in common with the reaction name while another alternative has | PP2047 (3-hydroxyacyl-CoA dehydrogenase family protein) — non-enzyme/family/domain annotation | PP2217 (enoyl-CoA hydratase) — no word in common with the reaction name while another alternative has | PP3726 (enoyl-CoA hydratase/isomerase family protein) — non-enzyme/family/domain annotation; no word in common with the reaction name while another alternative has		4
HPYRRx	Hydroxypyruvate reductase (NADH)	NP_742923_1 or NP_743864_1 or NP_744678_1 or NP_746432_1 or NP_746698_1	5	PP1707 (D-isomer specific 2-hydroxyacid dehydrogenase family protein) — non-enzyme/family/domain annotation | PP2533 (D-isomer specific 2-hydroxyacid dehydrogenase family protein) — non-enzyme/family/domain annotation | PP4316 (D-isomer specific 2-hydroxyacid dehydrogenase family protein) — non-enzyme/family/domain annotation | PP4589 (D-isomer specific 2-hydroxyacid dehydrogenase family protein) — non-enzyme/family/domain annotation		4
MSO3abcpp	Methanesulfonate transport via ABC system (periplasm)	(NP_742377_1 and NP_742835_1 and NP_745371_1) or (NP_742377_1 and NP_745080_1 and NP_745371_1) or (NP_742377_1 and NP_74	6	PP0237 (aliphatic sulfonatesABC transporter substrate-binding protein) — no word in common with the reaction name while another alternative has | PP0239 (aliphatic sulfonatesABC transporter permease) — no word in common with the reaction name while another alternative has | PP0674 (ADP/ATP ratio sensor/translation inhibitor) — no word in common with the reaction name while another alternative has | PP3228 (aliphatic sulfonate-binding protein) — no word in common with the reaction name while another alternative has		4
