reaction	reaction_name	rule	n_alternatives	flagged_genes	or_joined_subunits	score
DGUNC	Diguanylate cyclase	NP_384144_1 or NP_384738_1 or NP_385065_1 or NP_385400_1 or NP_386253_1 or NP_386276_1 or NP_436089_2 or NP_436485_1 or 	13	SMc02756 (sensor histidine kinase) — no word in common with the reaction name while another alternative has | SMc03000 (ABC transporter permease) — no word in common with the reaction name while another alternative has | SMc00038 (hypothetical protein SMc00038) — non-enzyme/family/domain annotation; no word in common with the reaction name while another alternative has | SMc01370 (response regulator PleD) — non-enzyme/family/domain annotation; no word in common with the reaction name while another alternative has | SMc01464 (hypothetical protein SMc01464) — non-enzyme/family/domain annotation; no word in common with the reaction name while another alternative has | SMc01872 (cell division transmembrane protein) — no word in common with the reaction name while another alternative has | SMb20389 (hypothetical protein SM_b20389 (plasmid)) — non-enzyme/family/domain annotation; no word in common with the reaction name while another alternative has | SMb20523 (hypothetical protein SM_b20523 (plasmid)) — non-enzyme/family/domain annotation; no word in common with the reaction name while another alternative has | SMb21017 (sugar ABC transporter permease (plasmid)) — no word in common with the reaction name while another alternative has | SMb21018 (sugar ABC transporter permease (plasmid)) — no word in common with the reaction name while another alternative has | SMb21200 (two-component response regulator protein (plasmid)) — non-enzyme/family/domain annotation; no word in common with the reaction name while another alternative has		11
PHACOAOR	Phenylacetyl-CoA oxygenase/reductase	(NP_384977_1 and NP_385837_1 and NP_438097_1 and NP_438098_1 and NP_438099_1) or (NP_438095_1 and NP_438096_1 and NP_438	2	SMc00981 (ferredoxin protein) — no word in common with the reaction name while another alternative has | SMc00302 (hypothetical protein SMc00302) — non-enzyme/family/domain annotation; no word in common with the reaction name while another alternative has | SMb21636 (ferredoxin reductase electron transfer protein (plasmid)) — no word in common with the reaction name while another alternative has | SMb21637 (phenylacetic acid degradation protein (plasmid)) — no word in common with the reaction name while another alternative has | SMb21638 (phenylacetic acid degradation protein (plasmid)) — no word in common with the reaction name while another alternative has		5
UDPG4E	UDPglucose 4-epimerase	NP_384662_1 or NP_386853_1 or NP_435374_1 or NP_436774_1 or NP_436775_1 or NP_436981_1 or NP_437171_1 or NP_437605_1	8	SMc03963 (sulfolipid biosynthesis protein) — no word in common with the reaction name while another alternative has | SMa0241 (epimerase (plasmid)) — no word in common with the reaction name while another alternative has | SMb20244 (CDP-tyvelose-2-epimerase (plasmid)) — no word in common with the reaction name while another alternative has | SMb21052 (epimerase dehydratase (plasmid)) — no word in common with the reaction name while another alternative has		4
ASPTA	Aspartate transaminase	NP_384413_1 or NP_384661_1 or NP_384672_1 or NP_385430_1 or NP_386431_1 or NP_386609_1 or NP_387397_1 or NP_437517_1	8	SMc00387 (aromatic amino acid aminotransferase) — no word in common with the reaction name while another alternative has | SMc02262 (aminotransferase) — no word in common with the reaction name while another alternative has | SMc01340 (aminotransferase) — no word in common with the reaction name while another alternative has | SMc01969 (hypothetical protein SMc01969) — non-enzyme/family/domain annotation; no word in common with the reaction name while another alternative has		4
Kt3pp	Potassium transport out via proton antiport (periplasm)	NP_384635_1 or NP_384912_1 or NP_385888_1 or NP_386734_1 or NP_436118_1 or NP_437535_1	6	SMc00898 (glutathione-regulated potassium-efflux system transmembrane protein) — no word in common with the reaction name while another alternative has | SMc00537 (transporter) — no word in common with the reaction name while another alternative has | SMc00744 (transporter) — no word in common with the reaction name while another alternative has | SMb21555 (potassium-efflux protein (plasmid)) — no word in common with the reaction name while another alternative has		4
TDPGDH	DTDPglucose 4,6-dehydratase	NP_384455_1 or NP_435374_1 or NP_436774_1 or NP_437115_1 or NP_437442_1	5	SMc00430 (oxidoreductase) — no word in common with the reaction name while another alternative has | SMa0241 (epimerase (plasmid)) — no word in common with the reaction name while another alternative has | SMb20244 (CDP-tyvelose-2-epimerase (plasmid)) — no word in common with the reaction name while another alternative has | SMb20832 (cell surface polysaccharide export ABC-2 transporter ATP-binding protein (plasmid)) — no word in common with the reaction name while another alternative has		4
XAND	Xanthine dehydrogenase	NP_385855_1 or NP_436671_1 or NP_436868_1 or (NP_437330_1 and NP_437331_1)	4	SMc00518 (hypothetical protein SMc00518) — non-enzyme/family/domain annotation; no word in common with the reaction name while another alternative has | SMb20131 (oxidoreductase (plasmid)) — no word in common with the reaction name while another alternative has | SMb20342 (isoquinoline 1-oxidoreductase (plasmid)) — no word in common with the reaction name while another alternative has		3
PGLYCP	Phosphoglycolate phosphatase	NP_384917_1 or NP_385494_1 or NP_385963_1 or NP_436332_2 or NP_437979_1	5	SMc00893 (hypothetical protein SMc00893) — non-enzyme/family/domain annotation; no word in common with the reaction name while another alternative has | SMa1978 (hydrolase (plasmid)) — no word in common with the reaction name while another alternative has | SMb20747 (hypothetical protein SM_b20747 (plasmid)) — non-enzyme/family/domain annotation; no word in common with the reaction name while another alternative has		3
TRSARr	Tartronate semialdehyde reductase	NP_385983_1 or NP_435373_1 or NP_435518_1 or NP_437926_1	4	SMc00133 (oxidoreductase) — no word in common with the reaction name while another alternative has | SMa0237 (dehydrogenase (plasmid)) — no word in common with the reaction name while another alternative has | SMa0516 (hypothetical protein SMa0516 (plasmid)) — non-enzyme/family/domain annotation; no word in common with the reaction name while another alternative has		3
NNAM	Nicotinamidase	NP_384685_1 or NP_386688_1 or NP_436048_1 or NP_437013_1	4	SMc02355 (hypothetical protein SMc02355) — non-enzyme/family/domain annotation; no word in common with the reaction name while another alternative has | SMa1471 (hypothetical protein SMa1471 (plasmid)) — non-enzyme/family/domain annotation; no word in common with the reaction name while another alternative has | SMb20491 (hypothetical protein SM_b20491 (plasmid)) — non-enzyme/family/domain annotation; no word in common with the reaction name while another alternative has		3
