org	reaction	model_gene	browser_gene	to_essential	to_essential_important	to_dispensable	to_dispensable_important	mean_fitness_growth_conditions	conditions_to_essential
Btheta	LCARS	NP_812678_1	BT3767	2	0	0	0	-0.14665714285714287	L-Fucose;L-Rhamnose monohydrate
Btheta	GALt2	NP_812500_1	BT3589	1	0	0	0	-0.07267380952380953	D-Galactose
Putida	ACOADH2	NP_745857_1	PP_3725	1	0	0	0	-0.0528154761904762	L-Valine
Putida	ACOAD20	NP_745857_1	PP_3725	1	0	0	0	-0.0528154761904762	L-Isoleucine
Putida	ACACT8r	NP_745884_1	PP_3754	1	0	0	0	-0.047452380952380954	Oleic acid
MR1	NPHS	NP_720255_1	SO4739	8	1	0	0	-0.3511875	Sodium L-Lactate;Sodium pyruvate;Adenosine;Uridine;Cytidine;Sodium D,L-Lactate;L-Glutamine;casamino acids
Smeli	DNMPPA	NP_387274_1	SMc03785	21	0	0	0	0.019666666666666673	D-Glucose;D-Fructose;D-Arabinose;D-Maltose monohydrate;D-Xylose;D-Galactose;D-Raffinose pentahydrate;L-Rhamnose monohydrate;D-Ribose;L-Fucose;D-Cellobiose;Sodium L-Lactate;Sodium D,L-Lactate;Sodium pyruvate;m-Inositol;Glycerol;D-Sorbitol;L-Malic acid disodium salt monohydrate;D-Trehalose dihydrate;D-Salicin;Beta-Lactose
Smeli	FBA2	NP_437398_1	SM_b21192	1	0	0	0	-0.1055238095238095	D-Fructose
Smeli	FBP	NP_436735_1	SM_b20202	9	0	0	0	0.03933333333333334	D-Fructose;L-Rhamnose monohydrate;L-Fucose;Sodium L-Lactate;Sodium D,L-Lactate;Sodium pyruvate;m-Inositol;Glycerol;L-Malic acid disodium salt monohydrate
Smeli	PGMT	NP_437200_1	SM_b21081	1	0	0	0	0.04928571428571428	D-Galactose
