reaction	name	rule	n_conditions_essential	conditions	genes
GLNS	Glutamine synthetase	NP_809698_1 or NP_813250_1	14	Laminaribiose;D-Glucose;D-Raffinose pentahydrate;L-Fucose;Beta-Lactose	BT0785: glutamine synthetase || BT4339: glutamine synthetase
PC	Pyruvate carboxylase	NP_810361_1 or NP_810601_1 or (NP_810610_1 and NP_810828_1)	14	Laminaribiose;D-Glucose;D-Raffinose pentahydrate;L-Fucose;Beta-Lactose	BT1448: biotin carboxyl carrier protein || BT1688: biotin carboxyl carrier protein || BT1697: pyruvate carboxylase subunit B || BT1915: pyruvate carboxylase subunit A
CHORM	Chorismate mutase	NP_812844_1 or NP_812845_1 or NP_812847_1	14	Laminaribiose;D-Glucose;D-Raffinose pentahydrate;L-Fucose;Beta-Lactose	BT3933: chorismate mutase || BT3934: phospho-2-dehydro-3-deoxyheptonate aldolase || BT3936: prephenate dehydratase
BPNT	3',5'-bisphosphate nucleotidase	NP_809324_1 or NP_812914_1	14	Laminaribiose;D-Glucose;D-Raffinose pentahydrate;L-Fucose;Beta-Lactose	BT0411: CysQ, sulfite synthesis pathway protein || BT4003: stationary phase survival protein SurE
DHORTS	Dihydroorotase	NP_809163_1 or NP_809470_1	14	Laminaribiose;D-Glucose;D-Raffinose pentahydrate;L-Fucose;Beta-Lactose	BT0250: dihydroorotase || BT0557: carbamyl phosphate synthetase
ACLS	Acetolactate synthase	NP_810990_1 or (NP_809485_1 and NP_810990_1) or (NP_810989_1 and NP_810990_1)	14	Laminaribiose;D-Glucose;D-Raffinose pentahydrate;L-Fucose;Beta-Lactose	BT0572: hypothetical protein BT_0572 || BT2076: acetohydroxyacid synthase small subunit || BT2077: acetolactate synthase large subunit
TYRTA	Tyrosine transaminase	NP_809460_1 or NP_811328_1 or NP_812287_1 or NP_812846_1	14	Laminaribiose;D-Glucose;D-Raffinose pentahydrate;L-Fucose;Beta-Lactose	BT0547: L,L-diaminopimelate aminotransferase || BT2415: aspartate aminotransferase || BT3375: aspartate aminotransferase || BT3935: aminotransferase
GRTT	Geranyltranstransferase	NP_810971_1 or NP_812173_1	14	Laminaribiose;D-Glucose;D-Raffinose pentahydrate;L-Fucose;Beta-Lactose	BT2058: isoprenyl synthetase || BT3261: octaprenyl-diphosphate synthase
NNATr	Nicotinate-nucleotide adenylyltransferase	NP_810924_1 or NP_811727_1	14	Laminaribiose;D-Glucose;D-Raffinose pentahydrate;L-Fucose;Beta-Lactose	BT2011: nicotinic acid mononucleotide adenylyltransferase || BT2815: mutT family protein
ASPTA	Aspartate transaminase	NP_809460_1 or NP_810389_1 or NP_810631_1 or NP_811328_1 or NP_812287_1 or NP_812846_1	14	Laminaribiose;D-Glucose;D-Raffinose pentahydrate;L-Fucose;Beta-Lactose	BT0547: L,L-diaminopimelate aminotransferase || BT1476: aspartate aminotransferase || BT1718: 2-aminoethylphosphonate pyruvate aminotransferase || BT2415: aspartate aminotransferase || BT3375: aspartate aminotransferase || BT3935: aminotransferase
RBFSb	Riboflavin synthase	NP_813164_2 or (NP_810230_1 and NP_813164_2)	14	Laminaribiose;D-Glucose;D-Raffinose pentahydrate;L-Fucose;Beta-Lactose	BT1317: riboflavin synthase subunit alpha || BT4253: 6,7-dimethyl-8-ribityllumazine synthase
IPPS	2-isopropylmalate synthase	NP_810771_1 or NP_810774_1	14	Laminaribiose;D-Glucose;D-Raffinose pentahydrate;L-Fucose;Beta-Lactose	BT1858: 2-isopropylmalate synthase || BT1861: 2-isopropylmalate synthase
PNTK	Pantothenate kinase	NP_809097_1 or NP_813277_2	14	Laminaribiose;D-Glucose;D-Raffinose pentahydrate;L-Fucose;Beta-Lactose	BT0184: uridine kinase || BT4366: pantothenate kinase
TMPPP	Thiamine-phosphate diphosphorylase	NP_809565_1 or NP_809703_1	14	Laminaribiose;D-Glucose;D-Raffinose pentahydrate;L-Fucose;Beta-Lactose	BT0652: thiamine-phosphate pyrophosphorylase || BT0790: phosphomethylpyrimidine kinase
SERAT	Serine O-acetyltransferase	NP_809306_1 or NP_812168_1	14	Laminaribiose;D-Glucose;D-Raffinose pentahydrate;L-Fucose;Beta-Lactose	BT0393: serine acetyltransferase || BT3256: serine acetyltransferase
RBFSa	Riboflavin synthase	NP_813164_2 or (NP_810230_1 and NP_813164_2)	14	Laminaribiose;D-Glucose;D-Raffinose pentahydrate;L-Fucose;Beta-Lactose	BT1317: riboflavin synthase subunit alpha || BT4253: 6,7-dimethyl-8-ribityllumazine synthase
UMPK	UMP kinase	NP_810973_1 or NP_811155_1 or NP_813219_1	14	Laminaribiose;D-Glucose;D-Raffinose pentahydrate;L-Fucose;Beta-Lactose	BT2060: cytidylate kinase || BT2242: uridylate kinase || BT4308: pantoate--beta-alanine ligase
OMCDC	2-Oxo-4-methyl-3-carboxypentanoate decarboxylation	NP_810770_1 or spontaneous	14	Laminaribiose;D-Glucose;D-Raffinose pentahydrate;L-Fucose;Beta-Lactose	BT1857: 3-isopropylmalate dehydrogenase
ADSK	Adenylyl-sulfate kinase	NP_809326_1 or NP_809527_1	14	Laminaribiose;D-Glucose;D-Raffinose pentahydrate;L-Fucose;Beta-Lactose	BT0413: adenylylsulfate kinase || BT0614: tyrosine-protein kinase in cps region
ANPRT	Anthranilate phosphoribosyltransferase	NP_809443_1 or NP_809444_1 or NP_809445_1	14	Laminaribiose;D-Glucose;D-Raffinose pentahydrate;L-Fucose;Beta-Lactose	BT0530: anthranilate phosphoribosyltransferase || BT0531: anthranilate synthase component II || BT0532: anthranilate synthase component I
HCO3E	HCO3 equilibration reaction	NP_810594_1 or spontaneous	14	Laminaribiose;D-Glucose;D-Raffinose pentahydrate;L-Fucose;Beta-Lactose	BT1681: carbonic anhydrase
ACHBS	2-aceto-2-hydroxybutanoate synthase	(NP_809485_1 and NP_810990_1) or (NP_810989_1 and NP_810990_1)	14	Laminaribiose;D-Glucose;D-Raffinose pentahydrate;L-Fucose;Beta-Lactose	BT0572: hypothetical protein BT_0572 || BT2076: acetohydroxyacid synthase small subunit || BT2077: acetolactate synthase large subunit
IPPMIa	3-isopropylmalate dehydratase	NP_810773_1 or (NP_810772_1 and NP_810773_1)	14	Laminaribiose;D-Glucose;D-Raffinose pentahydrate;L-Fucose;Beta-Lactose	BT1859: 3-isopropylmalate dehydratase small subunit || BT1860: isopropylmalate isomerase large subunit
GTPCI	GTP cyclohydrolase I	NP_810477_1 or NP_812842_1	14	Laminaribiose;D-Glucose;D-Raffinose pentahydrate;L-Fucose;Beta-Lactose	BT1564: 7-cyano-7-deazaguanine reductase || BT3931: GTP cyclohydrolase I
DXPS	1-deoxy-D-xylulose 5-phosphate synthase	NP_810316_1 or NP_813010_1	14	Laminaribiose;D-Glucose;D-Raffinose pentahydrate;L-Fucose;Beta-Lactose	BT1403: 1-deoxy-D-xylulose-5-phosphate synthase || BT4099: 1-deoxy-D-xylulose-5-phosphate synthase
MEPCT	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase	NP_810564_1 or NP_811793_1 or NP_812834_1	14	Laminaribiose;D-Glucose;D-Raffinose pentahydrate;L-Fucose;Beta-Lactose	BT1651: pyrophosphorylase || BT2881: 2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase || BT3923: 2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase
