reaction	name	rule	n_conditions_essential	conditions	genes
NPHS	Naphthoate synthase	NP_717986_1 or NP_720255_1	8	Sodium L-Lactate;Sodium pyruvate;Adenosine;Uridine;Cytidine	SO2396: protein of unknown function DUF2058 || SO4739: naphthoate synthase MenB
PGAMT	Phosphoglucosamine mutase	NP_716824_1 or NP_717926_1	8	Sodium L-Lactate;Sodium pyruvate;Adenosine;Uridine;Cytidine	SO1199: phosphoglucosamine mutase GlmM || SO2336: phosphoglucomutase alpha-D-glucose phosphate-specific Pgm
ACtex	Acetate transport via diffusion (extracellular to periplasm)	NP_715952_1 or NP_717429_1 or NP_718625_1 or NP_719499_1 or NP_719846_1	8	Sodium L-Lactate;Sodium pyruvate;Adenosine;Uridine;Cytidine	SO0312: outer membrane porin || SO1821: outer membrane porin || SO3060: outer membrane porin || SO3969: putative outer membrane lipoprotein YiaD || SO4321: Pal-like T1SS-linked outer membrane lipoprotein
DDPA	3-deoxy-D-arabino-heptulosonate 7-phosphate synthetase	NP_716387_1 or NP_716981_1 or NP_718230_1	8	Sodium L-Lactate;Sodium pyruvate;Adenosine;Uridine;Cytidine	SO0756: phospho-2-dehydro-3-deoxyheptonate aldolase phe-sensitive AroG || SO1361: phospho-2-dehydro-3-deoxyheptonate aldolase tyr-sensitive AroF || SO2646: phospho-2-dehydro-3-deoxyheptonate aldolase trp-sensitive AroH
GLNS	Glutamine synthetase	NP_716891_1 or NP_719933_1	8	Sodium L-Lactate;Sodium pyruvate;Adenosine;Uridine;Cytidine	SO1268: gamma-glutamyl-putrescine synthase PuuA || SO4410: glutamine synthetase GlnA
CHORM	Chorismate mutase	NP_716982_1 or NP_716987_1	8	Sodium L-Lactate;Sodium pyruvate;Adenosine;Uridine;Cytidine	SO1362: bifunctional chorismate mutase T/prephenate dehydrogenase TyrA || SO1367: multifunctional chorismate mutase P/prephenate dehydratase/DAHP synthetase PheA
BPNT	3',5'-bisphosphate nucleotidase	NP_715833_1 or NP_717266_2	8	Sodium L-Lactate;Sodium pyruvate;Adenosine;Uridine;Cytidine	SO0191: 3'(2')5'-bisphosphate nucleotidase CysQ || SO1655: 3'(2')5'-bisphosphate nucleotidase CysQ
NDPK2	Nucleoside-diphosphate kinase (ATP:UDP)	NP_717624_1 or NP_717870_1	8	Sodium L-Lactate;Sodium pyruvate;Adenosine;Uridine;Cytidine	SO2018: adenylate kinase Adk || SO2274: nucleoside diphosphate kinase Ndk
ARGSS	Argininosuccinate synthase	NP_715918_1 or NP_715919_1	8	Sodium L-Lactate;Sodium pyruvate;Adenosine;Uridine;Cytidine	SO0278: argininosuccinate synthase ArgG || SO0279: argininosuccinate lyase ArgH
RBFSb	Riboflavin synthase	NP_719015_1 or NP_719017_1	8	Sodium L-Lactate;Sodium pyruvate;Adenosine;Uridine;Cytidine	SO3466: riboflavin synthase beta subunit RibE || SO3468: riboflavin synthase alpha subunit RibC-like protein
