reaction	name	rule	n_conditions_essential	conditions	genes
DNMPPA	Dihydroneopterin monophosphate dephosphorylase	NP_745786_1 or NP_746377_2 or NP_746626_1 or NP_747240_1 or NP_747247_1	28	L-Arginine;L-Glutamic acid monopotassium salt monohydrate;L-Histidine;Sodium succinate dibasic hexahydrate;a-Ketoglutaric acid disodium salt hydrate	PP3650: NUDIX hydrolase || PP4261: cation-transporting P-type ATPase || PP4516: ATP-dependent DNA 3'-5' helicase || PP5139: cadmium translocating P-type ATPase || PP5146: RNA pyrophosphohydrolase
PRPPS	Phosphoribosylpyrophosphate synthetase	NP_742883_1 or NP_744888_1	28	L-Arginine;L-Glutamic acid monopotassium salt monohydrate;L-Histidine;Sodium succinate dibasic hexahydrate;a-Ketoglutaric acid disodium salt hydrate	PP0722: ribose-phosphate pyrophosphokinase || PP2744: ribose-phosphate pyrophosphokinase family protein
CU2tex	Copper (Cu+2) transport via diffusion (extracellular to periplasm)	NP_743282_1 or NP_746315_1	28	L-Arginine;L-Glutamic acid monopotassium salt monohydrate;L-Histidine;Sodium succinate dibasic hexahydrate;a-Ketoglutaric acid disodium salt hydrate	PP1121: OmpA family protein || PP4198: OmpA family protein
PHETA1	Phenylalanine transaminase	NP_743019_1 or NP_744123_1 or NP_745726_1 or NP_745916_1 or NP_746314_1 or NP_746542_1 or NP_747376_1	28	L-Arginine;L-Glutamic acid monopotassium salt monohydrate;L-Histidine;Sodium succinate dibasic hexahydrate;a-Ketoglutaric acid disodium salt hydrate	PP0858: methionine/glutamine aminotransferase || PP1972: aromatic amino acid aminotransferase || PP3590: D-lysine aminotransferase || PP3786: aminotransferase || PP4197: GntR family transcriptional regulator || PP4429: GntR family transcriptional regulator || PP5275: transcriptional regulator
CLtex	Chloride (Cl-1) transport via diffusion (extracellular to periplasm)	NP_743282_1 or NP_746315_1	28	L-Arginine;L-Glutamic acid monopotassium salt monohydrate;L-Histidine;Sodium succinate dibasic hexahydrate;a-Ketoglutaric acid disodium salt hydrate	PP1121: OmpA family protein || PP4198: OmpA family protein
DNTPPA	Dihydroneopterin triphosphate pyrophosphatase	NP_743223_1 or NP_743507_1 or NP_746377_2 or NP_746626_1 or NP_747240_1 or NP_747247_1	28	L-Arginine;L-Glutamic acid monopotassium salt monohydrate;L-Histidine;Sodium succinate dibasic hexahydrate;a-Ketoglutaric acid disodium salt hydrate	PP1062: MutT/nudix family protein || PP1348: MutT/nudix family protein/thiamine-phosphate pyrophosphorylase || PP4261: cation-transporting P-type ATPase || PP4516: ATP-dependent DNA 3'-5' helicase || PP5139: cadmium translocating P-type ATPase || PP5146: RNA pyrophosphohydrolase
DHDPS	Dihydrodipicolinate synthase	NP_743397_1 or NP_743417_1 or NP_744783_1	28	L-Arginine;L-Glutamic acid monopotassium salt monohydrate;L-Histidine;Sodium succinate dibasic hexahydrate;a-Ketoglutaric acid disodium salt hydrate	PP1237: 4-hydroxy-tetrahydrodipicolinate synthase || PP1257: 1-pyrroline-4-hydroxy-2-carboxylate deaminase || PP2639: 4-hydroxy-tetrahydrodipicolinate synthase
DB4PS	3,4-Dihydroxy-2-butanone-4-phosphate synthase	NP_742679_3 or NP_742693_1 or NP_745943_1	28	L-Arginine;L-Glutamic acid monopotassium salt monohydrate;L-Histidine;Sodium succinate dibasic hexahydrate;a-Ketoglutaric acid disodium salt hydrate	PP0516: bifunctional 3,4-dihydroxy-2-butanone 4-phosphate synthase/GTP cyclohydrolase II || PP0530: 3,4-dihydroxy-2-butanone 4-phosphate synthase || PP3813: bifunctional 3,4-dihydroxy-2-butanone 4-phosphate synthase/GTP cyclohydrolase II
TRDR	Thioredoxin reductase (NADPH)	NP_742674_1 or NP_742947_1 or NP_744588_1 or NP_747170_1	28	L-Arginine;L-Glutamic acid monopotassium salt monohydrate;L-Histidine;Sodium succinate dibasic hexahydrate;a-Ketoglutaric acid disodium salt hydrate	PP0510: thioredoxin || PP0786: thioredoxin reductase || PP2440: alkyl hydroperoxide reductase subunit F || PP5069: thioredoxin
MNtex	Manganese (Mn+2) transport via diffusion (extracellular to periplasm)	NP_743282_1 or NP_746315_1	28	L-Arginine;L-Glutamic acid monopotassium salt monohydrate;L-Histidine;Sodium succinate dibasic hexahydrate;a-Ketoglutaric acid disodium salt hydrate	PP1121: OmpA family protein || PP4198: OmpA family protein
DHQTi	3-dehydroquinate dehydratase, irreversible	NP_742723_1 or NP_744555_1 or NP_745147_1	28	L-Arginine;L-Glutamic acid monopotassium salt monohydrate;L-Histidine;Sodium succinate dibasic hexahydrate;a-Ketoglutaric acid disodium salt hydrate	PP0560: type II 3-dehydroquinate dehydratase || PP2407: type II 3-dehydroquinate dehydratase || PP3003: type II 3-dehydroquinate dehydratase
SDPDS	Succinyl-diaminopimelate desuccinylase	NP_742372_1 or NP_743682_1	28	L-Arginine;L-Glutamic acid monopotassium salt monohydrate;L-Histidine;Sodium succinate dibasic hexahydrate;a-Ketoglutaric acid disodium salt hydrate	PP0203: dipeptidase || PP1525: succinyl-diaminopimelate desuccinylase
ANS	Anthranilate synthase	NP_742888_1 or (NP_742583_1 and NP_742586_1)	28	L-Arginine;L-Glutamic acid monopotassium salt monohydrate;L-Histidine;Sodium succinate dibasic hexahydrate;a-Ketoglutaric acid disodium salt hydrate	PP0417: anthranilate synthase component 1 || PP0420: para-aminobenzoate synthase multi-enzyme complex aminodeoxychorismate synthase || PP0727: hypothetical protein PP_0727
RBFK	Riboflavin kinase	NP_742764_1 or NP_744202_1	28	L-Arginine;L-Glutamic acid monopotassium salt monohydrate;L-Histidine;Sodium succinate dibasic hexahydrate;a-Ketoglutaric acid disodium salt hydrate	PP0602: bifunctional riboflavin kinase/FMN adenylyltransferase || PP2052: bifunctional sugar-phosphatase/mannitol-1-phosphate 5-dehydrogenase
GTPCII	GTP cyclohydrolase II	NP_742679_3 or NP_742685_1 or NP_745943_1	28	L-Arginine;L-Glutamic acid monopotassium salt monohydrate;L-Histidine;Sodium succinate dibasic hexahydrate;a-Ketoglutaric acid disodium salt hydrate	PP0516: bifunctional 3,4-dihydroxy-2-butanone 4-phosphate synthase/GTP cyclohydrolase II || PP0522: GTP cyclohydrolase II || PP3813: bifunctional 3,4-dihydroxy-2-butanone 4-phosphate synthase/GTP cyclohydrolase II
Zn2tex	Zinc (Zn+2) transport via diffusion (extracellular to periplasm)	NP_743282_1 or NP_746315_1	28	L-Arginine;L-Glutamic acid monopotassium salt monohydrate;L-Histidine;Sodium succinate dibasic hexahydrate;a-Ketoglutaric acid disodium salt hydrate	PP1121: OmpA family protein || PP4198: OmpA family protein
DHFR	Dihydrofolate reductase	NP_746741_1 or NP_747233_1	28	L-Arginine;L-Glutamic acid monopotassium salt monohydrate;L-Histidine;Sodium succinate dibasic hexahydrate;a-Ketoglutaric acid disodium salt hydrate	PP4632: bifunctional dihydrofolate reductase/dihydromonapterin reductase || PP5132: dihydrofolate reductase
PGAMT	Phosphoglucosamine mutase	NP_745715_1 or NP_746824_1	28	L-Arginine;L-Glutamic acid monopotassium salt monohydrate;L-Histidine;Sodium succinate dibasic hexahydrate;a-Ketoglutaric acid disodium salt hydrate	PP3578: phosphoglucomutase || PP4716: phosphoglucosamine mutase
SDPTA	Succinyldiaminopimelate transaminase	NP_743745_1 or NP_745916_1	28	L-Arginine;L-Glutamic acid monopotassium salt monohydrate;L-Histidine;Sodium succinate dibasic hexahydrate;a-Ketoglutaric acid disodium salt hydrate	PP1588: N-succinyl-L,L-diaminopimelate aminotransferase || PP3786: aminotransferase
G1PACT	Glucosamine-1-phosphate N-acetyltransferase	NP_742887_1 or NP_747511_1	28	L-Arginine;L-Glutamic acid monopotassium salt monohydrate;L-Histidine;Sodium succinate dibasic hexahydrate;a-Ketoglutaric acid disodium salt hydrate	PP0726: transferase || PP5411: bifunctional N-acetyl glucosamine-1-phosphate uridyltransferase/glucosamine-1-phosphate acetyl transferase
TMPK	Thiamine-phosphate kinase	NP_742682_1 or NP_747146_1	28	L-Arginine;L-Glutamic acid monopotassium salt monohydrate;L-Histidine;Sodium succinate dibasic hexahydrate;a-Ketoglutaric acid disodium salt hydrate	PP0519: thiamin monophosphate kinase || PP5045: tRNA sulfurtransferase
ANPRT	Anthranilate phosphoribosyltransferase	NP_742587_1 or NP_746127_1	28	L-Arginine;L-Glutamic acid monopotassium salt monohydrate;L-Histidine;Sodium succinate dibasic hexahydrate;a-Ketoglutaric acid disodium salt hydrate	PP0421: anthranilate phosphoribosyltransferase || PP3997: glycosyl transferase
TMDS	Thymidylate synthase	NP_744634_1 or NP_747242_1	28	L-Arginine;L-Glutamic acid monopotassium salt monohydrate;L-Histidine;Sodium succinate dibasic hexahydrate;a-Ketoglutaric acid disodium salt hydrate	PP2486: Oye family NADH-dependent flavin oxidoreductase || PP5141: thymidylate synthase
GTPCI	GTP cyclohydrolase I	NP_743978_1 or NP_744660_1	28	L-Arginine;L-Glutamic acid monopotassium salt monohydrate;L-Histidine;Sodium succinate dibasic hexahydrate;a-Ketoglutaric acid disodium salt hydrate	PP1823: GTP cyclohydrolase I || PP2512: GTP cyclohydrolase I
PMPK	Phosphomethylpyrimidine kinase	NP_746887_1 or NP_746888_1	28	L-Arginine;L-Glutamic acid monopotassium salt monohydrate;L-Histidine;Sodium succinate dibasic hexahydrate;a-Ketoglutaric acid disodium salt hydrate	PP4782: phosphomethylpyrimidine kinase || PP4783: thiamine-phosphate synthase
GLNS	Glutamine synthetase	NP_746513_1 or NP_747147_1 or NP_747400_1	28	L-Arginine;L-Glutamic acid monopotassium salt monohydrate;L-Histidine;Sodium succinate dibasic hexahydrate;a-Ketoglutaric acid disodium salt hydrate	PP4399: glutamine synthetase || PP5046: glutamine synthetase || PP5299: glutamate-putrescine ligase
